sujoy ghosh indian
divided into logical
radio are examples
mechanism of extending
send some signals
versus the signal
in-between this part
so-called guard band
band this frequency
due to noise
diagram which shows
guard bands in-between
multiplexer ? demultiplexer
problem with fdm
utilize the full
give the guard
summarize these advantages
advantages and disadvantages
sort of bit
bit more prone
prone to noise
dealing with analog
analog signals fdm
carry analog signals
signals although modulated
modulated digital signals
type of multiplexing
division multiplexing wavelength
multiplexing wavelength division
multiplexing only thing
means different frequencies
doing wavelength division
doing frequency division
fdm but applied
applied to fibers
potential for fibers
slight percentage diviation
sort of compact
compact or pack
pack a lot
lot of channels
high frequencies fibers
large bandwidth capacity
bands are passed
diffraction grating prism
grating prism combined
long distant link
two very interesting
multiplexing and demultiplexing
send a white
prism it breaks
prism to break
shown a prism
plot the power
versus the frequency
fiber maybe giving
fiber maybe delivering
kind of plot
division multiplexing multiplexes
multiplexing multiplexes multiple
multiplexes multiple data
multiple data streams
single fiber optic
fiber optic line
line different wavelength
denoting a wavelength
optical communication domain
domain different frequencies
transmit multiple signals
signals each signal
thing of fiber
separated what rate
rate of data
mentioned that fiber
dense wavelength division
people are finding
ways of packing
pack those wavelengths
costly a cheaper
cwdm so dense
coarse wavelength division
multiplexing or cwdm
cwdm the channels
number of wavelengths
important multiplexing technique
matter of fact
communication or telecommunication
telecommunication time division
service provider side
signal is accomplished
multiplexing by dividing
medium among users
turn to send
burst of data
data or voice
exclusively time division
two basic forms
synchronous time division
statistical or asynchronous
asynchronous time division
division multiplexing first
slicing this channel
divided ; channel
entire frequency range
turn of channel
sends the first
entire frequency band
division multiplexing system
system like fdm
fdm time division
division multiplexing saves
multiplexing saves money
money by allowing
side this sequence
slot for receiver
synchronous division multiplexing
dividing the cable
cable frequency bands
tdm splits cable
splits cable usage
slots each channel
regular time slot
send a pcm
hierarchy of manner
digital signals discussion
double the rate
converted each sample
bit digital signal
pcm ? pulse
pulse coded modulation
modulation that means
amplitude of voice
bits per sample
rate a number
higher level channel
higher lever channels
make a hierarchy
hierarchy of channels
world wide standards
sort of join
form a stream
kind of frame
bandwidth is increasing
signals or analog
analog signals carrying
signals carrying digital
carrying digital data
rate of transmission
transmission media exceeds
media exceeds data
exceeds data rate
rate of signals
send whatever digital
buffer or kind
kind of thing
make it empty
accumulate the bits
bits thus data
exceed data rate
frame ; frame
means a number
number of bits
bits and bytes
slot will send
send a lower
device will send
send a large
device is equal
equal to channel
slots are transmitted
transmitted whether source
source has data
side is blind
stream of bits
send those bits
bits to receiver
round robin fashion
suppose the senders
scheme of things
sort of address
original time division
multiplexer accepts input
input from attached
fashion and transmit
isdn telephone lines
lines are common
examples of synchronous
device generates data
sample the incoming
incoming data stream
devices or buffer
buffer the faster
faster incoming stream
transmit the multiplexer
insert a piece
piece of data
kind of tdm
hybrid multiplexing schemes
entire available channels
number of bands
band is allotted
combination of fdm
fdm and tdm
kind of hybrid
hybrid multiplexing systems
cell phone communication
kind of multiplexing
hybrid multiplexing system
channel is broken
band multiple channels
channels are accommodated
accommodated through tdm
basis and packets
sources are interweaved
mentioned the disadvantage
pure time division
addressed in statistical
multiplexing or stdm
channel is free
kind of scheduling
simple vanilla case
utilizes the channel
slot being allotted
inside that data
stream that means
inside the data
tells the receiver
making a sound
quiescent that means
rate of utilization
world of sending
sending and receiving
receiving data data
data data traffic
computer is communicating
lot of stuff
sees that data
sends another burst
burst and in-between
in-between these bursts
people can share
nodes will transmit
transmit at full
transmit a terminal
two different sources
land up hoping
making a queue
number of packets
strict round robin
packet or cell
queue is processed
kinds of possibilities
decide to send
statistical multiplexer transmits
data from active
active work stations
space is wasted
statistical multiplexer accepts
accepts the incoming
incoming data streams
streams and creates
creates a frame
kind of destination
identify each piece
address is included
lengths are fixed
systems like atm
size is fixed
size may vary
include the length
part is fixed
summarize the advantages
beginning i mentioned
talk about code
talk about multiple
blurred these days
sources are sort
sort of converged
sense the sources
sources are converged
number of telephone
local telephone exchange
users are distributed
case we call
multiple access system
access system cdma
slowly getting blurred
doing some kind
doing some hybrid
tdm ; i.e
bands of frequencies
carrying some wireless
station that means
carrying their mobile
distinction between multiplexing
multiplexing and multiple
discuss code division
multiplexing or multiple
kinds of multiple
division multiple access
frequency division multiple
code division multiple
advantages and good
schemes ? fdm
oldest multiplexing technique
technique your radio
specifically for digital
digital signals tdm
advantage of tdm
require different levels
levels of bandwidth
bandwidth and speed
communicate or make
make an std
exchanges are coming
coming and converging
exchange is communicating
big trunk exchange
lot of tributaries
doing time division
multiplexing that means
means the rate
end is sending
flowing in small
channel we require
require a multiplexing
hierarchies are easy
easy to implement
talk about synchronous
synchronous digital hierarchy
talking about advantages
talk about disadvantages
specially data usage
usage and usage
usage in general
wasting the channel
channel whereas stdm
stdm is making
thing about stdm
stdm another advantage
advantage of stdm
putting a frame
kinds of control
advantages of stdm
varying size cells
cells in atm
form of fdm
low noise sensitivity
optical domain suppose
kind of electrical
motor has started
lightning somewhere nearby
lot of noise
wire will catch
immune to noise
capacity using dwdm
lot of bandwidth
bandwidth is wasted
limited frequency range
range in tdm
stdm takes care
stdm a lot
lot when high
costly than tdm
tdm and fdm
cost is coming
means the wdm
costly than stdm
multiplexing techniques today
kind of network
kinds of communication
network because remember
traditionally for people
talking over telephones
network which carries
wide area data
area data traffic
data traffic today
lecture computers networks
talk about telecom
means the kind
discuss this telecom
sense that first
network even today
wide area communication
exclusive data networks
evolution of telecom
alexander graham bell
graham bell developed
developed the first
couple of telephone
telephone instruments connected
connected by wire
people that means
taking this principle
connecting or stringing
stringing a wire
pair of telephones
good long term
long term strategy
jungle of wires
difficult to manage
central switching office
operator could connect
connect one telephone
number of wires
approximately n2 kind
kind of links
number of links
question of connecting
mentioned this earlier
network for data
data from computers
wide area network
area network traffic
traffic still rides
sort of made
connection is dedicated
kinds of technology
wide area networks
networks are based
networks and telecom
networks the telecom
process of routing
kinds of calls
kind of technology
dsl at subscriber
subscriber end voice
end voice traffic
traffic is transmitted
transmitted as standard
standard analog telephony
analog telephony signals
signals ; data
modem that transmits
transmits the data
data as high
high frequency digital
frequency digital broadband
digital broadband signals
unlike very ordinary
ordinary analog lines
central office end
local loop management
loop management system
system the subscriber
subscriber line access
line access multiplexer
broadband digital signals
signals are directed
dslam that terminates
terminates and coordinates
traffic from multiple
multiple local loop
local loop lines
functions like giving
giving the connections
connections and testing
kind of testing
testing are done
computers networks
sujoy ghosh
ghosh indian
indian institute
technology iit
iit kharagpur
kharagpur lecture
good day
day today
simplest condition
multiple signals
total bandwidth
frequency range
valuable resource
transmission service
leased line
packet switching
switching networks
complex proposition
maximum amount
compression techniques
data capacity
line increases
data devices
modest amount
sum total
substantial bandwidth
current techniques
frequency division
division multiplexing
wavelength division
code division
physical link
receiver pairs
link in-between
direct point-to-point
point-to-point connection
first problem
large amount
important point
computer side
older approach
multi-drop line
host polls
polls machines
total communications
communications load
data rate
simple approaches
multiplexer approach
link carries
carries multiple
multiple channels
time-division multiplexing
entire bandwidth
entire channel
short period
small burst
common approach
frequency spectrum
logical channels
physical channel
exclusive access
fdm sends
sends signals
distinct frequency
frequency ranges
electromagnetic field
electromagnetic radiation
large range
so-called radio
radio frequencies
frequencies constitute
important part
small channels
receiver side
radio side
providers give
coaxial cable
premise connected
multiple video
video channels
single cable
question imagine
stringing wire
hundred cables
cables coming
carrier frequency
carrier frequencies
guard bands
guard band
radio channel
middle frequency
radio station
first station
transmission medium
medium exceeds
required bandwidth
analog signaling
transmit signals
signals broadcast
broadcast radio
cable television
cellular phone
phone system
multiplexing amps
usa nowadays
cellular technology
complex multiplexing
multiplexing techniques
non-overlapping frequency
multiplexer accepts
accepts inputs
assigns frequencies
high-speed communications
communications line
frequency bands
individual users
fat range
communication line
high speed
high-speed line
multiplexed signals
involves analog
analog signals
digital signals
suppose user
similarly channel
simplest kind
frequency band
frequency channel
user hangs
radio spectrum
extending information
frequency versus
signal strength
first channel
so-called guard
bps line
bps sub-channels
bands in-between
full capacity
signals fdm
carry analog
multiplexing wavelength
operating frequencies
optical range
wavelengths means
doing wavelength
doing frequency
optical fibers
great potential
slight percentage
percentage diviation
operating frequency
large bandwidth
high frequencies
frequencies fibers
bandwidth capacity
energy bands
diffraction grating
grating prism
prism combined
long distant
distant link
high reliability
high capacity
interesting properties
white light
refractive index
prism varies
light source
fiber spectrum
power versus
delivering power
multiplexing multiplexes
multiplexes multiple
multiple data
data streams
single fiber
optic line
wavelength lasers
optical communication
communication domain
signal carried
interesting thing
fiber system
good thing
dense wavelength
dwdm channel
finding ways
dense fashion
cheaper alternative
cheaper version
coarse wavelength
spectrum multiplexer
cheaper alternatives
important multiplexing
multiplexing technique
computer communication
service provider
provider side
short duration
round-robin fashion
original user
digital signaling
basic forms
simpler scheme
statistical multiplexing
multiplexing scheme
previous diagram
doing tdm
entire frequency
first burst
multiplexing system
multiplexing saves
saves money
telephone call
receiver number
synchronous division
cable frequency
tdm splits
cable usage
pcm signal
actual practice
signals discussion
voice signal
nyquist theorem
kilo samples
capturing voice
analog value
digital signal
bit digital
pulse coded
coded modulation
basic rate
higher level
level channel
higher lever
lever channels
wide standards
signals carrying
digital data
transmission media
media exceeds
exceeds data
tdm system
previous epoch
exceed data
frame means
bytes put
slow device
lower number
high-speed device
large number
receiving side
round robin
robin fashion
normal scheme
demultiplexing side
attached devices
isdn telephone
telephone lines
common examples
device generates
generates data
faster rate
incoming data
data stream
incoming stream
multiplexed stream
dummy data
multiplexing schemes
hybrid scheme
pure fdm
hybrid multiplexing
multiplexing systems
cell phone
phone communication
hybrid kind
band multiple
reschedule link
packet basis
link remember
demultiplexer side
simple vanilla
vanilla case
fancy kind
efficient manner
address inside
means inside
destination address
effective rate
receiving data
data data
data traffic
user sees
terminal identification
destination identification
require storage
multiplexer end
incoming packets
strict round
transmission channel
receiver address
proper receiver
buffer packets
packet queue
vanilla kind
fancy schemes
high-priority queue
senders decide
data loss
statistical multiplexer
multiplexer transmits
active work
work stations
work station
data packets
packet lengths
size varies
total length
data part
interesting scheme
multiple access
specific convergence
local telephone
telephone exchange
shared medium
access system
system cdma
sense call
cell phones
wireless station
mobile handsets
base station
discuss code
division multiple
good things
simple means
signals tdm
multiplexing hierarchy
telephone network
small exchange
small number
std call
trunk exchange
finally reach
local exchanges
big trunk
tributaries flowing
small tributaries
fat channel
multiplexing hierarchies
synchronous digital
digital hierarchy
efficient bandwidth
specially data
data usage
quiescent period
ordinary tdm
control information
varying sizes
stdm systems
varying size
size cells
fixed size
low noise
noise sensitivity
optical domain
domain suppose
electrical domain
electrical noise
electrical wire
optical fiber
higher capacity
wasted bandwidth
small band
limited frequency
stdm takes
takes care
stdm wdm
developing technology
wdm cost
techniques today
telecom network
telecommunication network
people talking
wide area
area data
traffic today
lecture preview
lecture computers
telecom networks
earliest network
area communication
exclusive data
data networks
alexander graham
graham bell
bell developed
first telephone
telephone instruments
instruments connected
principle forward
good long
long term
term strategy
veritable jungle
subscriber end
wires coming
central switching
switching office
telephone subscribers
parallel network
excellent history
area network
network traffic
area networks
telecom people
voice calls
packet kind
voice traffic
standard analog
analog telephony
telephony signals
dsl modem
high frequency
frequency digital
digital broadband
broadband signals
ordinary analog
analog lines
central office
office end
signal passes
local loop
loop management
management system
subscriber line
line access
access multiplexer
broadband digital
coordinates traffic
loop lines
service kind
computers
networks
prof
sujoy
ghosh
indian
institute
technology
iit
kharagpur
lecture
multiplexing
sharing
medium
good
day
today
talk
means
users
communication
simplest
condition
carry
signal
moment
two
signals
interfere
garbled
multiple
share
divided
giving
portion
total
bandwidth
remember
frequency
range
valuable
resource
concerned
facilitate
number
pairs
senders
receivers
idea
reasons
chief
transmission
service
expensive
leased
line
packet
switching
laying
lines
fairly
complex
proposition
lay
utilize
maximum
amount
compression
techniques
purpose
saves
lot
money
business
send
data
capacity
increases
cost-effective
company
devices
individually
require
modest
requirements
aggregated
sum
substantial
current
accomplish
include
division
wavelength
code
scheme
multiplexer
inputs
side
mixed
fashion
physical
link
depending
put
separated
right
recipients
left
sender
receiver
utilizing
in-between
alternative
direct
point-to-point
connection
problems
first
problem
talking
device
large
wiring
floors
important
point
i
ports
computer
feasible
hundreds
difficult
bottleneck
address
approach
older
multi-drop
host
polls
machines
port
communications
load
greater
rate
simple
approaches
multiplexed
equal
out
carries
channels
information
types
fdm
tdm
stdm
statistical
quickly
details
time-division
user
periodically
entire
channel
dedicated
short
period
small
burst
common
spectrum
logical
exclusive
access
sends
distinct
ranges
oldest
radio
electromagnetic
field
atmosphere
radiation
pass
so-called
frequencies
constitute
part
station
tune
receives
stations
transmitting
nowadays
cable
providers
give
coaxial
premise
connected
apparently
carrying
days
done
travel
broken
video
single
question
imagine
cost
stringing
wire
hundred
cables
coming
building
modulated
carrier
guard
bands
band
principle
middle
occupy
non-overlapping
assigned
separation
happen
exceeds
required
analog
signaling
transmit
broadcast
television
amps
cellular
phone
system
usa
kind
country
mention
systems
technique
assignment
transmitted
accepts
assigns
attached
high-speed
individual
adapt
fat
handle
words
high
speed
demultiplexer
end
separates
separate
involves
susceptible
noise
digital
sort
clean
easily
diagram
note
suppose
similarly
mentioned
hangs
examples
media
mechanism
extending
picture
thing
plot
versus
strength
overlapping
due
issues
shows
bps
bits
sub-channels
takes
full
overlap
utilized
disadvantage
summarize
advantages
disadvantages
bit
prone
dealing
type
operating
higher
optical
wavelengths
doing
fibers
applied
great
potential
huge
slight
percentage
diviation
compact
pack
energy
passed
diffraction
grating
prism
combined
long
distant
split
destination
reliability
interesting
properties
demultiplexing
white
light
breaks
colours
refractive
index
varies
make
source
break
shown
simplicity
fiber
power
delivering
simply
multiplexes
streams
optic
lasers
traditionally
denoting
extensively
domain
carried
finally
protocol
transparent
push
dense
dwdm
combine
improving
people
finding
ways
packing
supposed
scalable
future
equipment
costly
cheaper
recently
cwdm
version
coarse
widely
spaced
costs
alternatives
matter
fact
telecommunication
provider
accomplished
dividing
disposal
duration
turn
round-robin
back
original
voice
exclusively
basic
forms
synchronous
asynchronous
simpler
previous
slicing
sending
quiescent
schematic
allowing
telephone
call
terminal
sequence
slot
clock
synchronized
splits
usage
slots
regular
pcm
view
actual
practice
hierarchy
manner
discussion
khz
nyquist
theorem
kilo
samples
double
8,000
capturing
sample
converted
value
pulse
coded
modulation
levels
distributing
amplitude
divide
parts
making
distinction
64,000
names
grouped
form
level
lever
join
don
bother
figure
world
wide
standards
stream
waves
frame
increasing
work
accumulated
epoch
buffer
empty
accumulate
exceed
bytes
unit
slice
slow
lower
receiving
blind
round
robin
normal
things
physically
run
weakness
agree
input
isdn
generates
faster
incoming
insert
piece
dummy
hybrid
schemes
pure
allotted
combination
cell
accommodated
demand
fixed
reschedule
basis
packets
sources
interweaved
decipher
addressed
free
scheduling
vanilla
case
fancy
utilizes
efficient
relationship
longer
meant
inside
tells
calling
nodes
circuit
bursting
sound
periods
.so
effective
utilization
dramatically
traffic
inherently
communicating
bursts
stuff
suddenly
fast
quiet
processed
sees
sense
works
times
identification
storage
land
hoping
store
forward
queue
memory
stored
strict
arrive
pumped
contained
proper
contending
high-priority
paying
queues
kinds
possibilities
theoretically
decide
filling
overflow
congestion
network
loss
transmits
active
space
wasted
creates
identify
included
assumption
addresses
lengths
atm
size
vary
length
destined
beginning
terms
blurred
converged
diverges
specific
convergence
local
exchange
happening
place
shared
distributed
cdma
slowly
phones
i.e
wireless
mobile
handsets
locations
base
area
discuss
guess
discussed
cheap
popular
lots
specifically
nice
advantage
places
naturally
communicate
std
trunk
reach
connections
exchanges
converging
big
tributaries
flowing
basically
maintained
moved
hierarchies
easy
implement
specially
general
bursty
ordinary
wasting
control
putting
varying
sizes
cells
wdm
writing
separately
low
sensitivity
electrical
motor
started
bad
lightning
nearby
catch
noises
immune
scale
quick
earlier
permanently
limited
reason
care
developing
looked
telecom
telephones
preview
earliest
comparatively
fewer
evolution
54-55
alexander
graham
bell
developed
couple
instruments
connect
subscribers
taking
unwieldy
connecting
pair
term
strategy
veritable
jungle
wires
manage
subscriber
central
office
operator
switchboard
top
links
approximately
46-56
lecturer
parallel
globe
excellent
history
rides
originally
made
session
based
story
process
routing
calls
00-57
dsl
standard
telephony
modem
broadband
unlike
23-57
passes
splitter
loop
management
36-57
40-57
dslam
44-57
directed
terminates
coordinates
router
internet
02-58
front
functions
testing
