sujoy ghosh dept::sujoy ghosh dept
exchange in kolkata::exchange in kolkata
kolkata in order::kolkata in order
order to connect::order to connect
exchange in delhi::exchange in delhi
makes the connection::makes the connection
first two digits::first two digits
digits and decide::digits and decide
last few digits::last few digits
country to find::country to find
makes the routing::makes the routing
routing problem easy::routing problem easy
digits and make::digits and make
talking about connections::talking about connections
essentially telephone service::essentially telephone service
sort of changing::sort of changing
majority of telephone::majority of telephone
points is maintained::points is maintained
number the path::number the path
kind of virtual::kind of virtual
path is maintained::path is maintained
number of advantages::number of advantages
means the quality::means the quality
quality of service::quality of service
bandwidth this channel::bandwidth this channel
contention for bandwidth::contention for bandwidth
bandwidth by multiple::bandwidth by multiple
time-being so first::time-being so first
bandwidth is held::bandwidth is held
service is good::service is good
good second thing::good second thing
path is held::path is held
message bits arrive::message bits arrive
reserved and held::reserved and held
bits may arrive::bits may arrive
traditional telephone circuit::traditional telephone circuit
means actual physical::means actual physical
actual physical connections::actual physical connections
connections are made::connections are made
system the downside::system the downside
total available bandwidth::total available bandwidth
bandwidth the reason::bandwidth the reason
factors ? considerable::factors ? considerable
channel is lying::channel is lying
lying idle remember::lying idle remember
call is held::call is held
sort of inefficient::sort of inefficient
bandwidth another problem::bandwidth another problem
due to historical::due to historical
traditional telephone equipment::traditional telephone equipment
rate of development::rate of development
development of technology::development of technology
generation of technology::generation of technology
tremendous cost benefit::tremendous cost benefit
cost benefit advantage::cost benefit advantage
benefit advantage compared::benefit advantage compared
computer technology started::computer technology started
technology started leading::technology started leading
leading the technology::leading the technology
traditional telecom technology::traditional telecom technology
technology was steady::technology was steady
computer communication field::computer communication field
so-called connectionless service::so-called connectionless service
talking about connection-oriented::talking about connection-oriented
service in telephone::service in telephone
technology in telephones::technology in telephones
traditional service providers::traditional service providers
slowly now depending::slowly now depending
sort of sprang::sort of sprang
service ? connectionless::service ? connectionless
service is packet-by-packet::service is packet-by-packet
packet of data::packet of data
packet is sort::packet is sort
sort of thrown::sort of thrown
system and routed::system and routed
path this connection::path this connection
advantage of connectionless::advantage of connectionless
traditional circuit switch::traditional circuit switch
circuit switch systems::circuit switch systems
technology in terms::technology in terms
terms of silicon::terms of silicon
pricing is lower::pricing is lower
telephone service people::telephone service people
kind of technology::kind of technology
care to guarantee::care to guarantee
address in order::address in order
routed ip networks::routed ip networks
networks are based::networks are based
based on packet::based on packet
packet switching technologies::packet switching technologies
techniques are employed::techniques are employed
service the technology::service the technology
technology being cheaper::technology being cheaper
beginning to dominate::beginning to dominate
dominate all networks::dominate all networks
mentioned this earlier::mentioned this earlier
network for data::network for data
data from computers::data from computers
wide area networks::wide area networks
area networks traffic::area networks traffic
traffic still rides::traffic still rides
sort of made::sort of made
connection is dedicated::connection is dedicated
kinds of technology::kinds of technology
networks and telecom::networks and telecom
process of routing::process of routing
kinds of calls::kinds of calls
media in telephone::media in telephone
talked little bit::talked little bit
details in traditional::details in traditional
traditional analog telephone::traditional analog telephone
analog telephone systems::analog telephone systems
systems the telephone::systems the telephone
telephone is connected::telephone is connected
exchange via category::exchange via category
higher bandwidth cables::higher bandwidth cables
carry multiple telephone::carry multiple telephone
multiple telephone calls::multiple telephone calls
cables for separate::cables for separate
calls specifically digital::calls specifically digital
specifically digital lines::specifically digital lines
lines on fiber::lines on fiber
technique called frequency::technique called frequency
frequency division multiplexing::frequency division multiplexing
remember the earlier::remember the earlier
local connection hut::local connection hut
hut a fat::hut a fat
basically a collection::basically a collection
collection of pairs::collection of pairs
pairs of cables::pairs of cables
connected through individual::connected through individual
bunch of pairs::bunch of pairs
cables that run::cables that run
pairs of copper::pairs of copper
copper cables running::copper cables running
lot of calls::lot of calls
kinds of multiplexing::kinds of multiplexing
specifically time division::specifically time division
today a fiber::today a fiber
two big cities::two big cities
cities a lot::cities a lot
lot of subscriber::lot of subscriber
accommodate a large::accommodate a large
number of channels::number of channels
connected through fiber::connected through fiber
calls are sort::calls are sort
sort of multiplexed::sort of multiplexed
division multiplex fashion::division multiplex fashion
individual copper pairs::individual copper pairs
handsets are powered::handsets are powered
derives its power::derives its power
coming and connecting::coming and connecting
connecting your telephone::connecting your telephone
full duplex communication::full duplex communication
remember we talked::remember we talked
duplex and full::duplex and full
duplex communication half::duplex communication half
communication half duplex::communication half duplex
half duplex communication::half duplex communication
duplex communication means::duplex communication means
communication we require::communication we require
require some kind::require some kind
kind of echo::kind of echo
modems for sending::modems for sending
sending digital data::sending digital data
loop being analog::loop being analog
bit of implications::bit of implications
communicate digital data::communicate digital data
context of computer::context of computer
connect a computer::connect a computer
computer produces digital::computer produces digital
produces digital data::produces digital data
modulated and demodulated::modulated and demodulated
demodulated so modems::demodulated so modems
pairs for sending::pairs for sending
sending the digital::sending the digital
line you remember::line you remember
lines are designed::lines are designed
designed to handle::designed to handle
rate for communication::rate for communication
sampled at doubled::sampled at doubled
doubled the rate::doubled the rate
bits per sample::bits per sample
indicating the level::indicating the level
sending a computer::sending a computer
kbps speed people::kbps speed people
speed people talk::speed people talk
speed because depending::speed because depending
connections are weak::connections are weak
lot of noise::lot of noise
noise so depending::noise so depending
negotiate a lower::negotiate a lower
find the lower::find the lower
fully analog technology::fully analog technology
multiplexing techniques higher::multiplexing techniques higher
in-between for connecting::in-between for connecting
connecting between exchanges::connecting between exchanges
bunch of codecs::bunch of codecs
codecs for coders::codecs for coders
coders and decoders::coders and decoders
coding and decoding::coding and decoding
convert the analog::convert the analog
signal is ready::signal is ready
signals to reach::signals to reach
reach its final::reach its final
bit about signaling::bit about signaling
mention some names::mention some names
basically what signaling::basically what signaling
signaling is signaling::signaling is signaling
exchange between terminal::exchange between terminal
routers for setting::routers for setting
setting up circuits::setting up circuits
advanced network services::advanced network services
making a telephone::making a telephone
making a simple::making a simple
simple voice call::simple voice call
voice should communicate::voice should communicate
order to achieve::order to achieve
sort of switches::sort of switches
routers and multiplexers::routers and multiplexers
exchange some information::exchange some information
information for basic::information for basic
kinds of services::kinds of services
service provider side::service provider side
bill a person::bill a person
making the connections::making the connections
capture those digits::capture those digits
order to make::order to make
part of signaling::part of signaling
types of signaling::types of signaling
sort of converging::sort of converging
standards in common::standards in common
common channel signaling::common channel signaling
interfere with voice::interfere with voice
signaling is done::signaling is done
call is set::call is set
channel signaling works::channel signaling works
purpose that means::purpose that means
signal is converted::signal is converted
converted to digital::converted to digital
make a frame::make a frame
stuff this frame::stuff this frame
control purpose ss7::control purpose ss7
widely accepted standard::widely accepted standard
out of band::out of band
plane that means::plane that means
connection is taking::connection is taking
network of switch::network of switch
controllers ; first::controllers ; first
network of subscribers::network of subscribers
primary service-giving network::primary service-giving network
network but overlaid::network but overlaid
kinds of extra::kinds of extra
advanced signaling system::advanced signaling system
local exchange supports::local exchange supports
means his telephone::means his telephone
answer his call::answer his call
make a note::make a note
end ? circuit::end ? circuit
caller id number::caller id number
kinds of intelligent::kinds of intelligent
signaling that means::signaling that means
arbitrarily complex message::arbitrarily complex message
complex message transfer::complex message transfer
kind of states::kind of states
quiescent that means::quiescent that means
services have improved::services have improved
exchange then finds::exchange then finds
finds some resource::finds some resource
resource to serve::resource to serve
finds the resource::finds the resource
exchange is ready::exchange is ready
ready to receive::ready to receive
receive the numbers::receive the numbers
dial some numbers::dial some numbers
simply a local::simply a local
side starts ringing::side starts ringing
sends the signal::sends the signal
side the line::side the line
bill this person::bill this person
control plane protocols::control plane protocols
application service element::application service element
application level functionality::application level functionality
interpreting signaling messages::interpreting signaling messages
systems to invoke::systems to invoke
invoke procedure calls::invoke procedure calls
calls on remote::calls on remote
signaling connection control::signaling connection control
connection control part::connection control part
control part sccp::control part sccp
message transfer part3::message transfer part3
telephone user part::telephone user part
responsible for setting::responsible for setting
setting up voice::setting up voice
calls the tup::calls the tup
tup interprets dialed::tup interprets dialed
interprets dialed digits::interprets dialed digits
network as mentioned::network as mentioned
started getting converted::started getting converted
convert analog voice::convert analog voice
analog voice signals::analog voice signals
signals into digital::signals into digital
handled by digital::handled by digital
convert the digital::convert the digital
back into analog::back into analog
older analog technology::older analog technology
network is digital::network is digital
attempts to make::attempts to make
make this digital::make this digital
integrated service digital::integrated service digital
service digital network::service digital network
isdn was envisaged::isdn was envisaged
end-to-end digital service::end-to-end digital service
means it starts::means it starts
end now home::end now home
important because people::important because people
connected by cat::connected by cat
difficult and costly::difficult and costly
proposition to change::proposition to change
rate for isdn::rate for isdn
isdn for higher::isdn for higher
primary rate equivalent::primary rate equivalent
system uses out-of-band::system uses out-of-band
network terminating device::network terminating device
local passive bus::local passive bus
kind of termination::kind of termination
service with voice::service with voice
historical and technological::historical and technological
deployed some places::deployed some places
places in india::places in india
lot of places::lot of places
places in europe::places in europe
problem with isdn::problem with isdn
altogether new technology::altogether new technology
technology called atm::technology called atm
digitizing the local::digitizing the local
digital subscriber loop::digital subscriber loop
loop or dsl::loop or dsl
two basic approaches::two basic approaches
office or company::office or company
sort of outlet::sort of outlet
give all kinds::give all kinds
technology of multiplexing::technology of multiplexing
give both data::give both data
data and voice::data and voice
remote subscriber terminal::remote subscriber terminal
copper twisted pair::copper twisted pair
twisted pair remains::twisted pair remains
equipment is integrated::equipment is integrated
enabling a service::enabling a service
provider to deliver::provider to deliver
voice and high-speed::voice and high-speed
high-speed data service::high-speed data service
picture that shows::picture that shows
analog and dsl::analog and dsl
side the data::side the data
digital service digital::digital service digital
service digital service::service digital service
digital service access::digital service access
service access multiplexer::service access multiplexer
plain old previous::plain old previous
previous voice services::previous voice services
dsl at subscriber::dsl at subscriber
end has voice::end has voice
transmitted as standard::transmitted as standard
standard analog telephony::standard analog telephony
analog telephony signals::analog telephony signals
signals ; data::signals ; data
traffic is transmitted::traffic is transmitted
modem that transmits::modem that transmits
transmits the data::transmits the data
data as high-frequency::data as high-frequency
high-frequency digital broadband::high-frequency digital broadband
digital broadband signals::digital broadband signals
unlike ordinary analog::unlike ordinary analog
ordinary analog lines::ordinary analog lines
central office end::central office end
local loop management::local loop management
loop management system::loop management system
subscriber line access::subscriber line access
line access multiplexer::line access multiplexer
broadband digital signals::broadband digital signals
signals are directed::signals are directed
dslam that terminates::dslam that terminates
terminates and coordinates::terminates and coordinates
traffic from multiple::traffic from multiple
multiple local loop::multiple local loop
local loop lines::local loop lines
dslam the traffic::dslam the traffic
performs various functions::performs various functions
giving the connections::giving the connections
connections ; testing::connections ; testing
services are done::services are done
talking about switches::talking about switches
part of computer::part of computer
types of switches::types of switches
kind of switches::kind of switches
special special version::special special version
talking about packet::talking about packet
heart of data::heart of data
talk about switches::talk about switches
switches first thing::switches first thing
order in square::order in square
kind of lines::kind of lines
user is connected::user is connected
essentially a switch::essentially a switch
office and switches::office and switches
switches establish temporary::switches establish temporary
establish temporary circuits::establish temporary circuits
establish a temporary::establish a temporary
station and switching::station and switching
ammonites the cost::ammonites the cost
etc.over a large::etc.over a large
number of switches::number of switches
cheap these days::cheap these days
days a switch::days a switch
years back cost::years back cost
type of switch::type of switch
computer networks::computer networks
sujoy ghosh::sujoy ghosh
ghosh dept::ghosh dept
computer science::computer science
engineering iit::engineering iit
iit kharagpur::iit kharagpur
kharagpur lecture::kharagpur lecture
telecom networks::telecom networks
good day::good day
telecom network::telecom network
earliest networks::earliest networks
wide area::wide area
area communication::area communication
exclusive data::exclusive data
data networks::data networks
alexander graham::alexander graham
graham bell::graham bell
bell developed::bell developed
first telephone::first telephone
telephone instruments::telephone instruments
instruments connected::instruments connected
principle forward::principle forward
good long-term::good long-term
long-term strategy::long-term strategy
veritable jungle::veritable jungle
subscriber end::subscriber end
wires coming::wires coming
central switching::central switching
switching office::switching office
switch board::switch board
links increases::links increases
telephone subscribers::telephone subscribers
telephone user::telephone user
older movies::older movies
movies depicting::movies depicting
crank crank::crank crank
switch operator::switch operator
subscriber tells::subscriber tells
tells connect::tells connect
jumper wire::jumper wire
telephone operator::telephone operator
indented subscriber::indented subscriber
difficult thing::difficult thing
electromechanical gadget::electromechanical gadget
stowager exchanges::stowager exchanges
interesting story::interesting story
stowager exchange::stowager exchange
prepares coffins::prepares coffins
stowager thought::stowager thought
good idea::good idea
electromechanical system::electromechanical system
mechanical switches::mechanical switches
electromechanical exchange::electromechanical exchange
exchange served::exchange served
electromechanical things::electromechanical things
electronic switches::electronic switches
operate previously::operate previously
physical copper::physical copper
copper connection::copper connection
jumper cable::jumper cable
plug board::plug board
local exchange::local exchange
exchange building::exchange building
exchange switch::exchange switch
individual subscribers::individual subscribers
local loop::local loop
telephone parlance::telephone parlance
analog carrier::analog carrier
carrier systems::carrier systems
individual subscriber::individual subscriber
thick kind::thick kind
black cable::black cable
pair kind::pair kind
individual pairs::individual pairs
telephones developed::telephones developed
naturally people::naturally people
people found::people found
neighbouring towns::neighbouring towns
local switching::local switching
wires involved::wires involved
telecom evolution::telecom evolution
single switching::single switching
so-called trunk::so-called trunk
trunk exchanges::trunk exchanges
local exchanges::local exchanges
trunk exchange::trunk exchange
two-tier hierarchy::two-tier hierarchy
automatic switching::automatic switching
office enables::office enables
enables connections::enables connections
connection request::connection request
local call::local call
locally connected::locally connected
general scenario::general scenario
telecom grew::telecom grew
customers wanted::customers wanted
local telephone::local telephone
higher level::higher level
level switching::level switching
public switched::public switched
switched telephone::switched telephone
telephone network::telephone network
individual telephones::individual telephones
telephone company::telephone company
connect fiber::connect fiber
std inside::std inside
remote side::remote side
telecom circle::telecom circle
main trunk::main trunk
high speed::high speed
speed lines::speed lines
local trunk::local trunk
final callee::final callee
international calls::international calls
making isd::making isd
isd calls::isd calls
telephone call::telephone call
call routing::call routing
call means::call means
telephone connection::telephone connection
older telephone::older telephone
telephone systems::telephone systems
office set::office set
physical link::physical link
copper path::copper path
switching offices::switching offices
destination telephone::destination telephone
lower level::lower level
offices examine::offices examine
telephone number::telephone number
telephone numbers::telephone numbers
systematic manner::systematic manner
std call::std call
methodical manner::methodical manner
kolkata trunk::kolkata trunk
remote caller::remote caller
trunk call::trunk call
so-called subscriber::so-called subscriber
subscriber trunk::subscriber trunk
trunk dialing::trunk dialing
main tax::main tax
tax exchange::tax exchange
entire country::entire country
number belongs::number belongs
routing problem::routing problem
problem easy::problem easy
essentially telephone::essentially telephone
telephone service::telephone service
connection-oriented service::connection-oriented service
overwhelming majority::overwhelming majority
telephone connections::telephone connections
dedicated connection::dedicated connection
end points::end points
call number::call number
physical connection::physical connection
virtual connection::virtual connection
physical connections::physical connections
continuous path::continuous path
entire session::entire session
multiple users::multiple users
landline phones::landline phones
actual path::actual path
message bits::message bits
held constant::held constant
bits arrive::bits arrive
traditional telephone::traditional telephone
telephone circuit::telephone circuit
circuit switched::circuit switched
actual physical::actual physical
connection-oriented system::connection-oriented system
considerable periods::considerable periods
lying idle::lying idle
idle remember::idle remember
entire duration::entire duration
historical reasons::historical reasons
telephone equipment::telephone equipment
telephone system::telephone system
long history::long history
tremendous cost::tremendous cost
cost benefit::cost benefit
benefit advantage::benefit advantage
advantage compared::advantage compared
previous generation::previous generation
computer technology::computer technology
technology started::technology started
technology base::technology base
traditional telecom::traditional telecom
telecom technology::telecom technology
computer communication::computer communication
communication field::communication field
competing technology::competing technology
so-called connectionless::so-called connectionless
connectionless service::connectionless service
great hindrance::great hindrance
traditional technology::traditional technology
traditional service::traditional service
service providers::service providers
essentially sort::essentially sort
first data::first data
destination address::destination address
destination written::destination written
packet-by-packet service::packet-by-packet service
dropped in-between::dropped in-between
arrive earlier::arrive earlier
major advantage::major advantage
traditional circuit::traditional circuit
circuit switch::circuit switch
switch systems::switch systems
recent technology::recent technology
higher volume::higher volume
service people::service people
definite shift::definite shift
special care::special care
final recipient::final recipient
proper order::proper order
extra effort::extra effort
packet switching::packet switching
switching technologies::switching technologies
computer systems::computer systems
special techniques::special techniques
traditional networks::traditional networks
current networks::current networks
parallel network::parallel network
excellent history::excellent history
area networks::area networks
telecom people::telecom people
voice calls::voice calls
packet kind::packet kind
transmission media::transmission media
traditional analog::traditional analog
analog telephone::analog telephone
utp cables::utp cables
higher bandwidth::higher bandwidth
bandwidth cables::bandwidth cables
multiple telephone::multiple telephone
telephone calls::telephone calls
separate cables::separate cables
separate calls::separate calls
digital lines::digital lines
analog systems::analog systems
frequency division::frequency division
division multiplexing::division multiplexing
dominant standard::dominant standard
earlier figure::earlier figure
local connection::local connection
connection hut::connection hut
fat cable::fat cable
cases today::cases today
subscribers coming::subscribers coming
copper cables::copper cables
cables running::cables running
exchange level::exchange level
carry lot::carry lot
multiplexing techniques::multiplexing techniques
specific version::specific version
big cities::big cities
subscriber pairs::subscriber pairs
great thing::great thing
large number::large number
huge bandwidth::huge bandwidth
division multiplex::division multiplex
multiplex fashion::multiplex fashion
local loops::local loops
individual copper::individual copper
copper pairs::copper pairs
subscriber handsets::subscriber handsets
battery bank::battery bank
ordinary handsets::ordinary handsets
telephone set::telephone set
echo suppressors::echo suppressors
echo cancellors::echo cancellors
full duplex::full duplex
duplex communication::duplex communication
communication half::communication half
half duplex::half duplex
communication means::communication means
echo cancellation::echo cancellation
digital data::digital data
computer network::computer network
computer produces::computer produces
control purpose::control purpose
kbps speed::kbps speed
local line::local line
computer lines::computer lines
basic rate::basic rate
communication purpose::communication purpose
nyquist rate::nyquist rate
kilo samples::kilo samples
computer data::computer data
modem pairs::modem pairs
speed people::speed people
people talk::people talk
kbps modem::kbps modem
line condition::line condition
lower speed::lower speed
actual practice::actual practice
analog technology::analog technology
analog signal::analog signal
digital signal::digital signal
decoding standards::decoding standards
digital signals::digital signals
final destination::final destination
vast area::vast area
signaling refers::signaling refers
information exchange::information exchange
terminal devices::terminal devices
advanced network::advanced network
network services::network services
simple voice::simple voice
voice call::voice call
main communication::main communication
intermediate nodes::intermediate nodes
basic setting::basic setting
service provider::service provider
provider side::provider side
isd call::isd call
actual transfer::actual transfer
signaling systems::signaling systems
common channel::common channel
channel signaling::channel signaling
signaling works::signaling works
extra bits::extra bits
purpose ss7::purpose ss7
signaling system::signaling system
complex standard::complex standard
switch controllers::switch controllers
overlay network::overlay network
control plane::control plane
actual connection::actual connection
taking place::taking place
give instructions::give instructions
voice set::voice set
primary service-giving::primary service-giving
service-giving network::service-giving network
basic network::basic network
extra services::extra services
advanced signaling::advanced signaling
exchange supports::exchange supports
hand set::hand set
source number::source number
intelligent services::intelligent services
band signaling::band signaling
signaling purpose::signaling purpose
separate channel::separate channel
regular channel::regular channel
complex message::complex message
message transfer::message transfer
state diagram::state diagram
rough diagram::rough diagram
hook nowadays::hook nowadays
telephone services::telephone services
dialing tone::dialing tone
dial tone::dial tone
small fraction::small fraction
long-distance call::long-distance call
side starts::side starts
starts ringing::starts ringing
local switch::local switch
entire path::entire path
ringing noise::ringing noise
start talking::start talking
plane protocols::plane protocols
huge area::huge area
software development::software development
application service::application service
service element::service element
application level::application level
level functionality::level functionality
interpreting signaling::interpreting signaling
signaling messages::signaling messages
transaction capabilities::transaction capabilities
invoke procedure::invoke procedure
procedure calls::procedure calls
remote machines::remote machines
signaling connection::signaling connection
connection control::connection control
control part::control part
part sccp::part sccp
sequence numbering::sequence numbering
flow control::flow control
transfer part3::transfer part3
main applications::main applications
user part::user part
tup interprets::tup interprets
interprets dialed::interprets dialed
dialed digits::dialed digits
reserves resources::reserves resources
maintains accounts::maintains accounts
digital technology::digital technology
exchanges started::exchanges started
convert analog::convert analog
analog voice::analog voice
voice signals::voice signals
digital information::digital information
older analog::older analog
integrated service::integrated service
service digital::service digital
digital network::digital network
so-called isdn::so-called isdn
end-to-end digital::end-to-end digital
digital service::digital service
home users::home users
costly proposition::costly proposition
network termination::network termination
voice channel::voice channel
out-of-band signaling::out-of-band signaling
higher users::higher users
primary rate::primary rate
rate equivalent::rate equivalent
voice channels::voice channels
network terminating::network terminating
terminating device::terminating device
isdn exchange::isdn exchange
local passive::local passive
passive bus::passive bus
larger users::larger users
isdn turned::isdn turned
problem isdn::problem isdn
broadband service::broadband service
voice data::voice data
technological reasons::technological reasons
people thought::people thought
discuss atm::discuss atm
digital subscriber::digital subscriber
subscriber loop::subscriber loop
basic approaches::basic approaches
large user::large user
advanced technology::advanced technology
multiplexing signals::multiplexing signals
remote subscriber::remote subscriber
individual users::individual users
copper twisted::copper twisted
twisted pair::twisted pair
pair remains::pair remains
deliver voice::deliver voice
high-speed data::high-speed data
data service::data service
shows subscribers::shows subscribers
dsl lines::dsl lines
service access::service access
access multiplexer::access multiplexer
voice switch::voice switch
previous voice::previous voice
voice services::voice services
voice traffic::voice traffic
standard analog::standard analog
analog telephony::analog telephony
telephony signals::telephony signals
data traffic::data traffic
dsl modem::dsl modem
high-frequency digital::high-frequency digital
digital broadband::digital broadband
broadband signals::broadband signals
ordinary analog::ordinary analog
analog lines::analog lines
central office::central office
office end::office end
signals pass::signals pass
loop management::loop management
management system::management system
subscriber line::subscriber line
line access::line access
broadband digital::broadband digital
coordinates traffic::coordinates traffic
loop lines::loop lines
lecture lecture::lecture lecture
important part::important part
special special::special special
special version::special version
packet switches::packet switches
telephone networks::telephone networks
direct lines::direct lines
square kind::square kind
switches establish::switches establish
temporary circuits::temporary circuits
temporary connection::temporary connection
switching station::switching station
switching system::switching system
switch controller::switch controller
switching element::switching element
development etc.over::development etc.over
ethernet switches::ethernet switches
rupees today::rupees today
common type::common type
computer::computer
networks::networks
prof::prof
sujoy::sujoy
ghosh::ghosh
dept::dept
science::science
engineering::engineering
iit::iit
kharagpur::kharagpur
lecture::lecture
telecom::telecom
good::good
day::day
today::today
talk::talk
means::means
kind::kind
network::network
telephones::telephones
nowadays::nowadays
host::host
things::things
discuss::discuss
important::important
sense::sense
first::first
earliest::earliest
wide::wide
area::area
communication::communication
fewer::fewer
exclusive::exclusive
data::data
evolution::evolution
alexander::alexander
graham::graham
bell::bell
developed::developed
telephone::telephone
couple::couple
instruments::instruments
connected::connected
wire::wire
connect::connect
people::people
subscribers::subscribers
taking::taking
principle::principle
forward::forward
unwieldy::unwieldy
connecting::connecting
wires::wires
pair::pair
communicate::communicate
long-term::long-term
strategy::strategy
veritable::veritable
jungle::jungle
costly::costly
difficult::difficult
manage::manage
subscriber::subscriber
end::end
handle::handle
coming::coming
premise::premise
idea::idea
central::central
switching::switching
office::office
operator::operator
switch::switch
board::board
figure::figure
number::number
matter::matter
fact::fact
top::top
naturally::naturally
links::links
approximately::approximately
case::case
increases::increases
large::large
question::question
individually::individually
finally::finally
connection::connection
made::made
49-07::49-07
system::system
user::user
town::town
cranking::cranking
older::older
movies::movies
depicting::depicting
lift::lift
crank::crank
basically::basically
ring::ring
give::give
indication::indication
person::person
lady::lady
find::find
out::out
tells::tells
jumper::jumper
indented::indented
