important nonlinear data::important nonlinear data
tree in modeling::tree in modeling
modeling a computer::modeling a computer
system often displays::system often displays
system s representation::system s representation
8.1.2 the tree::8.1.2 the tree
tree abstract data::tree abstract data
lists in section::lists in section
tree an element::tree an element
element is stored::element is stored
positions satisfy parent-child::positions satisfy parent-child
satisfy parent-child relationships::satisfy parent-child relationships
relationships that define::relationships that define
define the tree::define the tree
structure a position::structure a position
supports the method::supports the method
return the element::return the element
stored at position::stored at position
adt then supports::adt then supports
allowing a user::allowing a user
user to navigate::user to navigate
return the position::return the position
root of tree::root of tree
empty t.is root::empty t.is root
true if position::true if position
tree t t.parent::tree t t.parent
parent of position::parent of position
return the number::return the number
number of children::number of children
children of position::children of position
position p t.children::position p t.children
generate an iteration::generate an iteration
position p t.is::position p t.is
number of positions::number of positions
contained in tree::contained in tree
tree t t.is::tree t t.is
true if tree::true if tree
positions of tree::positions of tree
tree t iter::tree t iter
stored within tree::stored within tree
methods that accepts::methods that accepts
accepts a position::accepts a position
argument should generate::argument should generate
generate a valueerror::generate a valueerror
position is invalid::position is invalid
reports the children::reports the children
generates an empty::generates an empty
iteration in similar::iteration in similar
generate empty iterations::generate empty iterations
discuss general means::discuss general means
means for iterating::means for iterating
tree in sections::tree in sections
define any methods::define any methods
methods for creating::methods for creating
creating or modifying::creating or modifying
point we prefer::point we prefer
prefer to describe::prefer to describe
describe different tree::describe different tree
tree update methods::tree update methods
methods in conjunction::methods in conjunction
conjunction with specific::conjunction with specific
applications of trees::applications of trees
tree abstract base::tree abstract base
abstract base class::abstract base class
class in python::class in python
python in discussing::python in discussing
discussing the object-oriented::discussing the object-oriented
object-oriented design principle::object-oriented design principle
principle of abstraction::principle of abstraction
abstraction in section::abstraction in section
managed in python::managed in python
python via duck::python via duck
defined the notion::defined the notion
adt in section::adt in section
presented several classes::presented several classes
classes that implement::classes that implement
implement the queue::implement the queue
arrayqueue in section::arrayqueue in section
linkedqueue in section::linkedqueue in section
circularqueue in section::circularqueue in section
gave any formal::gave any formal
adt in python::adt in python
implementations were self-contained::implementations were self-contained
happen to adhere::happen to adhere
mechanism to designate::mechanism to designate
designate the relationships::designate the relationships
class that serves::class that serves
choose to define::choose to define
adt our reason::adt our reason
reason for doing::reason for doing
level of abstraction::level of abstraction
allowing greater code::allowing greater code
greater code reuse::greater code reuse
concrete tree implementations::concrete tree implementations
nested position class::nested position class
accessor methods included::accessor methods included
define any internal::define any internal
representation for storing::representation for storing
storing a tree::storing a tree
code fragment remain::code fragment remain
fragment remain abstract::fragment remain abstract
raises a notimplementederror::raises a notimplementederror
approach for defining::approach for defining
defining abstract base::defining abstract base
abstract base classes::abstract base classes
classes and abstract::classes and abstract
python s abc::python s abc
described in section::described in section
subclasses are responsible::subclasses are responsible
responsible for overriding::responsible for overriding
overriding abstract methods::overriding abstract methods
provide a working::provide a working
chosen internal representation::chosen internal representation
includes several concrete::includes several concrete
methods with implementations::methods with implementations
rely on calls::rely on calls
class in defining::class in defining
defining the tree::defining the tree
declare ten accessor::declare ten accessor
ten accessor methods::ten accessor methods
left as abstract::left as abstract
implementations for methods::implementations for methods
methods is root::methods is root
empty in section::empty in section
explore general algorithms::explore general algorithms
algorithms for traversing::algorithms for traversing
traversing a tree::traversing a tree
provide concrete implementations::provide concrete implementations
positions and iter::positions and iter
class the beauty::class the beauty
concrete methods defined::concrete methods defined
subclasses this promotes::subclasses this promotes
promotes greater code::promotes greater code
subclasses to reimplement::subclasses to reimplement
reimplement such behaviors::reimplement such behaviors
behaviors we note::behaviors we note
class being abstract::class being abstract
reason to create::reason to create
create a direct::create a direct
exists to serve::exists to serve
base for inheritance::base for inheritance
users will create::users will create
instances of concrete::instances of concrete
8.1.3 computing depth::8.1.3 computing depth
depth and height::depth and height
number of ancestors::number of ancestors
tree of figure::tree of figure
node storing international::node storing international
international has depth::international has depth
present a simple::present a simple
computing the depth::computing the depth
number of levels::number of levels
levels separating position::levels separating position
class the running::class the running
denotes the depth::denotes the depth
performs a constant-time::performs a constant-time
constant-time recursive step::constant-time recursive step
form a single::form a single
informative to characterize::informative to characterize
characterize the running::characterize the running
height the height::height the height
children the height::children the height
positions we leave::positions we leave
leave the justification::leave the justification
present an algorithm::present an algorithm
implemented in code::implemented in code
nonpublic method height1::nonpublic method height1
class it computes::class it computes
computes the height::computes the height
tree t based::tree t based
based on proposition::based on proposition
depth from code::depth from code
defined the positions::defined the positions
implemented to run::implemented to run
height1 calls algorithm::height1 calls algorithm
calls algorithm depth::calls algorithm depth
set of leaf::set of leaf
algorithm height1 runs::algorithm height1 runs
compute the height::compute the height
original recursive definition::original recursive definition
parameterize a function::parameterize a function
calculate the height::calculate the height
important to understand::important to understand
understand why algorithm::understand why algorithm
efficient than height1::efficient than height1
height1 the algorithm::height1 the algorithm
algorithm is recursive::algorithm is recursive
root eventually invokes::root eventually invokes
invokes the recursion::invokes the recursion
determine the running::determine the running
algorithm by summing::algorithm by summing
analyses of recursive::analyses of recursive
amount of work::amount of work
work per position::work per position
overhead of computing::overhead of computing
computing the maximum::computing the maximum
iteration of children::iteration of children
implementation of children::implementation of children
iteration is generated::iteration is generated
denotes the number::denotes the number
algorithm height2 spends::algorithm height2 spends
compute the maximum::compute the maximum
order to complete::order to complete
complete the analysis::complete the analysis
denote the number::denote the number
contributes one unit::contributes one unit
sum by proposition::sum by proposition
revisiting the public::revisiting the public
ability to compute::ability to compute
heights of subtrees::heights of subtrees
subtrees is beneficial::subtrees is beneficial
user might expect::user might expect
designating the tree::designating the tree
wrap the nonpublic::wrap the nonpublic
public height method::public height method
interpretation when invoked::interpretation when invoked
invoked on tree::invoked on tree
trees a binary::trees a binary
node is labeled::node is labeled
left child precedes::left child precedes
precedes a right::precedes a right
node the subtree::node the subtree
tree is proper::tree is proper
children some people::children some people
full binary trees::full binary trees
proper binary tree::proper binary tree
children a binary::children a binary
proper is improper::proper is improper
class of binary::class of binary
binary trees arises::binary trees arises
arises in contexts::arises in contexts
represent a number::represent a number
result from answering::result from answering
answering a series::answering a series
series of yes-or-no::series of yes-or-no
questions each internal::questions each internal
follow an edge::follow an edge
tracing a path::tracing a path
leaf such binary::leaf such binary
represents a decision::represents a decision
ancestors are answered::ancestors are answered
binary tree figure::binary tree figure
illustrates a decision::illustrates a decision
prospective investor chapter::prospective investor chapter
binary treewhose leaves::binary treewhose leaves
variables or constants::variables or constants
node is leaf::node is leaf
variable or constant::variable or constant
node is internal::node is internal
value is defined::value is defined
defined by applying::defined by applying
applying its operation::applying its operation
children an arithmetic::children an arithmetic
arithmetic expression tree::arithmetic expression tree
improper binary tree::improper binary tree
binary tree representing::binary tree representing
representing an arithmetic::representing an arithmetic
expression this tree::expression this tree
represents the expression::represents the expression
internal node labeled::internal node labeled
recursive binary tree::recursive binary tree
binary tree definition::binary tree definition
define a binary::define a binary
stores an element::stores an element
element a binary::element a binary
8.2.1 the binary::8.2.1 the binary
binary tree abstract::binary tree abstract
tree that supports::tree that supports
supports three additional::supports three additional
additional accessor methods::additional accessor methods
position that represents::position that represents
represents the left::represents the left
left child t.right::left child t.right
represents the right::represents the right
right child t.sibling::right child t.sibling
represents the sibling::represents the sibling
define specialized update::define specialized update
specialized update methods::specialized update methods
methods for binary::methods for binary
describe specific implementations::describe specific implementations
implementations and applications::implementations and applications
applications of binary::applications of binary
trees the binarytree::trees the binarytree
binarytree abstract base::binarytree abstract base
tree was defined::tree was defined
class in section::class in section
binary tree adt::binary tree adt
rely on inheritance::rely on inheritance
inheritance to define::inheritance to define
define the binarytree::define the binarytree
binarytree class based::binarytree class based
existing tree class::existing tree class
binarytree class remains::binarytree class remains
class remains abstract::class remains abstract
provide complete specifications::provide complete specifications
behaviors our python::behaviors our python
binary tree supports::binary tree supports
defined for general::defined for general
class also inherits::class also inherits
inherits the nested::inherits the nested
tree class definition::tree class definition
definition in addition::definition in addition
class provides declarations::class provides declarations
abstract methods left::abstract methods left
supported by concrete::supported by concrete
subclasses of binarytree::subclasses of binarytree
two concrete implementations::two concrete implementations
implementations of methods::implementations of methods
method is derived::method is derived
combination of left::combination of left
identify the sibling::identify the sibling
method is abstract::method is abstract
derive a generator::derive a generator
ordered children based::ordered children based
behavior of abstract::behavior of abstract
left and right::left and right
properties of binary::properties of binary
binary trees binary::binary trees binary
trees binary trees::trees binary trees
interesting properties dealing::interesting properties dealing
dealing with relationships::dealing with relationships
heights and number::heights and number
number of nodes::number of nodes
nodes we denote::nodes we denote
denote the set::denote the set
binary tree grows::binary tree grows
relating the height::relating the height
nodes a detailed::nodes a detailed
properties is left::properties is left
left as exercise::left as exercise
exercise r-8.8 proposition::exercise r-8.8 proposition
nonempty binary tree::nonempty binary tree
number of external::number of external
number of internal::number of internal
trees relating internal::trees relating internal
relating internal nodes::relating internal nodes
nodes to external::nodes to external
tree in addition::tree in addition
earlier binary tree::earlier binary tree
binary tree properties::binary tree properties
nodes and external::nodes and external
binary tree proposition::binary tree proposition
nonempty proper binary::nonempty proper binary
justify this proposition::justify this proposition
proposition by removing::proposition by removing
empty the piles::empty the piles
pile is empty::pile is empty
node we place::node we place
shown in figure::shown in figure
removes one internal::removes one internal
leaves the tree::leaves the tree
binary tree repeating::binary tree repeating
repeating this operation::repeating this operation
eventually are left::eventually are left
final tree consisting::final tree consisting
single node note::single node note
external and internal::external and internal
sequence of operations::sequence of operations
remove the node::remove the node
internal-node pile figure::internal-node pile figure
operation that removes::operation that removes
removes an external::removes an external
justification of proposition::justification of proposition
improper binary trees::improper binary trees
trees and nonbinary::trees and nonbinary
c-8.32 through c-8.34::c-8.32 through c-8.34
trees the tree::trees the tree
tree and binarytree::tree and binarytree
formally abstract base::formally abstract base
provide a great::provide a great
deal of support::deal of support
defined key implementation::defined key implementation
key implementation details::key implementation details
navigate between parents::navigate between parents
tree must provide::tree must provide
provide methods root::provide methods root
case of binarytree::case of binarytree
additional accessors left::additional accessors left
representation of trees::representation of trees
trees we describe::trees we describe
section we begin::section we begin
defined 8.3.1 linked::defined 8.3.1 linked
8.3.1 linked structure::8.3.1 linked structure
structure for binary::structure for binary
trees a natural::trees a natural
realize a binary::realize a binary
children and parent::children and parent
tree itself maintains::tree itself maintains
maintains an instance::maintains an instance
instance variable storing::instance variable storing
storing a reference::storing a reference
linked structure representation::linked structure representation
figure 8.11b figure::figure 8.11b figure
structure for representing::structure for representing
trees python implementation::trees python implementation
linked binary tree::linked binary tree
binary tree structure::binary tree structure
define a concrete::define a concrete
concrete linkedbinarytree class::concrete linkedbinarytree class
class that implements::class that implements
implements the binary::implements the binary
adt by subclassing::adt by subclassing
subclassing the binarytree::subclassing the binarytree
class our general::class our general
developing the positionallist::developing the positionallist
positionallist in section::positionallist in section
define a simple::define a simple
nonpublic node class::nonpublic node class
class to represent::class to represent
represent a node::represent a node
public position class::public position class
class that wraps::class that wraps
wraps a node::wraps a node
node we provide::node we provide
provide a validate::provide a validate
checking the validity::checking the validity
instance when unwrapping::instance when unwrapping
make position utility::make position utility
utility for wrapping::utility for wrapping
wrapping a node::wrapping a node
position to return::position to return
caller those definitions::caller those definitions
definitions are provided::definitions are provided
provided in code::provided in code
class is declared::class is declared
declared to inherit::declared to inherit
immediately from binarytree.position::immediately from binarytree.position
binarytree class definition::binarytree class definition
tree.position a minor::tree.position a minor
position class inherits::position class inherits
derived appropriately relative::derived appropriately relative
class definition continues::class definition continues
methods that remain::methods that remain
classes the constructor::classes the constructor
creates an empty::creates an empty
tree by initializing::tree by initializing
methods are implemented::methods are implemented
implemented with careful::implemented with careful
validate and make::validate and make
make position utilities::make position utilities
utilities to safeguard::utilities to safeguard
safeguard against boundary::safeguard against boundary
boundary cases operations::boundary cases operations
operations for updating::operations for updating
updating a linked::updating a linked
functionality for examining::functionality for examining
examining an existing::examining an existing
existing binary tree::existing binary tree
linkedbinarytree class results::linkedbinarytree class results
provided any means::provided any means
means for changing::means for changing
changing the structure::changing the structure
structure or content::structure or content
tree we chose::tree we chose
declare update methods::declare update methods
methods as part::methods as part
tree or binarytree::tree or binarytree
principle of encapsulation::principle of encapsulation
representation we prefer::representation we prefer
tree class offer::tree class offer
options for updating::options for updating
updating a tree::updating a tree
provide update methods::provide update methods
forms of update::forms of update
place an update::place an update
class that inherits::class that inherits
base will inherit::base will inherit
inherit the update::inherit the update
replaces the element::replaces the element
study in section::study in section
enforce that internal::enforce that internal
store only operators::store only operators
operators as elements::operators as elements
linked binary trees::linked binary trees
set of update::set of update
methods to support::methods to support
support for general::support for general
create a root::create a root
empty t.add left::empty t.add left
node storing element::node storing element
link the node::link the node
child of position::child of position
return the resulting::return the resulting
left child t.add::left child t.add
child t.add right::child t.add right
right child t.replace::right child t.replace
replace the element::replace the element
previously stored element::previously stored element
stored element t.delete::stored element t.delete
node at position::node at position
two children t.attach::two children t.attach
attach the internal::attach the internal
structure of trees::structure of trees
subtrees of leaf::subtrees of leaf
error condition occurs::error condition occurs
chosen this collection::chosen this collection
collection of operations::collection of operations
case analyses involving::case analyses involving
relationships and boundary::relationships and boundary
number of operations::number of operations
operations to perform::operations to perform
treatment of positional::treatment of positional
avoid the problem::avoid the problem
problem of undesirable::problem of undesirable
undesirable update methods::undesirable update methods
methods being inherited::methods being inherited
inherited by subclasses::inherited by subclasses
subclasses of linkedbinarytree::subclasses of linkedbinarytree
chosen an implementation::chosen an implementation
provide nonpublic versions::provide nonpublic versions
providing the underscored::providing the underscored
delete in lieu::delete in lieu
delete our implementations::delete our implementations
methods are provided::methods are provided
linkedbinarytree can invoke::linkedbinarytree can invoke
invoke the nonpublic::invoke the nonpublic
preserving a public::preserving a public
application a subclass::application a subclass
choose to wrap::choose to wrap
nonpublic update methods::nonpublic update methods
method to expose::method to expose
user we leave::user we leave
task of defining::task of defining
defining a mutablelinkedbinarytree::defining a mutablelinkedbinarytree
public methods wrapping::public methods wrapping
binary tree implementation::binary tree implementation
implementation to summarize::implementation to summarize
summarize the efficiencies::summarize the efficiencies
analyze the running::analyze the running
including derived methods::including derived methods
implemented in linkedbinarytree::implemented in linkedbinarytree
storing the number::storing the number
method is empty::method is empty
inherited from tree::inherited from tree
call to len::call to len
accessor methods root::accessor methods root
children are implemented::children are implemented
directly in linkedbinarytree::directly in linkedbinarytree
sibling and children::sibling and children
methods are derived::methods are derived
derived in binarytree::derived in binarytree
number of calls::number of calls
root calls root::root calls root
relies on equivalence::relies on equivalence
testing of positions::testing of positions
leaf calls left::leaf calls left
right and verifies::right and verifies
analyzed in section::analyzed in section
8.1.3 the depth::8.1.3 the depth
method at position::method at position
position p runs::position p runs
update methods add::update methods add
methods add root::methods add root
nodes per operation::nodes per operation
summarizes the performance::summarizes the performance
linked structure implementation::linked structure implementation
binary tree operation::binary tree operation
tree operation running::tree operation running
running time len::running time len
n-node binary tree::n-node binary tree
binary tree implemented::binary tree implemented
structure the space::structure the space
8.3.2 array-based representation::8.3.2 array-based representation
tree an alternative::tree an alternative
numbering the positions::numbering the positions
numbers the positions::numbers the positions
order from left::order from left
left to right::left to right
numbering is based::numbering is based
based on potential::based on potential
nodes with level::nodes with level
node with level::node with level
trees the level::trees the level
level numbering function::level numbering function
function f suggests::function f suggests
suggests a representation::suggests a representation
element at position::element at position
stored at index::stored at index
array we show::array we show
tree by means::tree by means
array one advantage::array one advantage
implemented using simple::implemented using simple
simple arithmetic operations::simple arithmetic operations
leave the details::leave the details
array-based representation depends::array-based representation depends
array a requires::array a requires
number of empty::number of empty
worst-case space usage::worst-case space usage
tree is space::tree is space
general binary trees::general binary trees
exponential worst-case space::exponential worst-case space
worst-case space requirement::worst-case space requirement
representation is prohibitive::representation is prohibitive
prohibitive another drawback::prohibitive another drawback
operations for trees::operations for trees
deleting a node::deleting a node
node and promoting::node and promoting
promoting its child::promoting its child
child that moves::child that moves
8.3.3 linked structure::8.3.3 linked structure
structure for general::structure for general
trees when representing::trees when representing
representing a binary::representing a binary
node explicitly maintains::node explicitly maintains
explicitly maintains fields::explicitly maintains fields
maintains fields left::maintains fields left
right as references::right as references
references to individual::references to individual
realize a general::realize a general
store a single::store a single
container of references::container of references
list of references::list of references
linked representation .figure::linked representation .figure
structure the analysis::structure the analysis
analysis is left::analysis is left
collection to store::collection to store
store the children::store the children
iterating that collection::iterating that collection
collection operation running::collection operation running
n-node general tree::n-node general tree
general tree implemented::general tree implemented
tree traversal algorithms::tree traversal algorithms
algorithms a traversal::algorithms a traversal
position p depends::position p depends
incrementing a counter::incrementing a counter
counter to performing::counter to performing
performing some complex::performing some complex
describe several common::describe several common
common traversal schemes::common traversal schemes
schemes for trees::schemes for trees
discuss several common::discuss several common
applications of tree::applications of tree
traversals 8.4.1 preorder::traversals 8.4.1 preorder
preorder and postorder::preorder and postorder
traversals of general::traversals of general
children are traversed::children are traversed
subtrees are traversed::subtrees are traversed
children the pseudo-code::children the pseudo-code
shown in code::shown in code
perform the visit::perform the visit
action for position::action for position
traverse the subtree::traverse the subtree
preorder for performing::preorder for performing
performing the preorder::performing the preorder
rooted at position::rooted at position
tree t figure::tree t figure
portrays the order::portrays the order
tree are visited::tree are visited
preorder traversal algorithm::preorder traversal algorithm
traversal algorithm paper::traversal algorithm paper
algorithm paper title::algorithm paper title
paper title abstract::paper title abstract
position are ordered::position are ordered
ordered from left::ordered from left
traversal algorithms postorder::traversal algorithms postorder
algorithms postorder traversal::algorithms postorder traversal
traversal another important::traversal another important
important tree traversal::important tree traversal
tree traversal algorithm::tree traversal algorithm
traverses the subtrees::traverses the subtrees
visits the root::visits the root
traversal is portrayed::traversal is portrayed
position p code::position p code
postorder for performing::postorder for performing
performing the postorder::performing the postorder
tree t paper::tree t paper
analysis both preorder::analysis both preorder
postorder traversal algorithms::postorder traversal algorithms
algorithms are efficient::algorithms are efficient
ways to access::ways to access
tree the analysis::tree the analysis
algorithms is similar::algorithms is similar
traversal algorithm requires::traversal algorithm requires
visit itself takes::visit itself takes
traversal of tree::traversal of tree
tree this running::tree this running
traversal must visit::traversal must visit
trees 8.4.2 breadth-first::trees 8.4.2 breadth-first
8.4.2 breadth-first tree::8.4.2 breadth-first tree
breadth-first tree traversal::breadth-first tree traversal
traversals are common::traversals are common
ways of visiting::ways of visiting
visiting the positions::visiting the positions
traverse a tree::traverse a tree
positions at depth::positions at depth
visit the positions::visit the positions
traversal a breadth-first::traversal a breadth-first
software for playing::software for playing
games a game::games a game
game tree represents::game tree represents
choices of moves::choices of moves
displays a partial::displays a partial
partial game tree::partial game tree
tree for tic-tac-toe::tree for tic-tac-toe
displaying the order::displaying the order
positions are visited::positions are visited
unable to explore::unable to explore
explore a complete::explore a complete
complete game tree::complete game tree
deep as computational::deep as computational
traversing entire subtrees::traversing entire subtrees
queue to produce::queue to produce
produce a fifo::produce a fifo
calls to enqueue::calls to enqueue
calls to dequeue::calls to dequeue
dequeue algorithm breadthfirst::dequeue algorithm breadthfirst
algorithm for performing::algorithm for performing
performing a breadth-first::performing a breadth-first
8.4.3 inorder traversal::8.4.3 inorder traversal
tree the standard::tree the standard
introduced for general::introduced for general
applied to binary::applied to binary
introduce another common::introduce another common
common traversal algorithm::common traversal algorithm
visit a position::visit a position
subtrees the inorder::subtrees the inorder
viewed as visiting::viewed as visiting
visiting the nodes::visiting the nodes
inorder traversal visits::inorder traversal visits
inorder traversal algorithm::inorder traversal algorithm
traverse the left::traverse the left
traverse the right::traverse the right
inorder for performing::inorder for performing
performing an inorder::performing an inorder
tree the inorder::tree the inorder
tree to represent::tree to represent
represent an arithmetic::represent an arithmetic
traversal visits positions::traversal visits positions
albeit without parentheses::albeit without parentheses
trees binary search::trees binary search
binary search trees::binary search trees
trees an important::trees an important
traversal algorithm arises::traversal algorithm arises
store an ordered::store an ordered
sequence of elements::sequence of elements
defining a structure::defining a structure
structure we call::structure we call
call a binary::call a binary
binary search tree::binary search tree
set whose unique::set whose unique
set of integers::set of integers
integers a binary::integers a binary
position p stores::position p stores
tree is shown::tree is shown
tree t visits::tree t visits
visits the elements::visits the elements
elements in nondecreasing::elements in nondecreasing
search tree storing::search tree storing
tree storing integers::tree storing integers
integers the solid::integers the solid
path is traversed::path is traversed
traversed when searching::traversed when searching
traversing a path::traversing a path
position p encountered::position p encountered
compare our search::compare our search
search terminates successfully::search terminates successfully
reach an empty::reach an empty
search terminates unsuccessfully::search terminates unsuccessfully
binary decision tree::binary decision tree
element being searched::element being searched
illustrate several examples::illustrate several examples
operation in figure::operation in figure
recall from proposition::recall from proposition
small as log::small as log
small height chapter::small height chapter
study of search::study of search
8.4.4 implementing tree::8.4.4 implementing tree
implementing tree traversals::implementing tree traversals
traversals in python::traversals in python
python when first::python when first
stated that tree::stated that tree
make any assumption::make any assumption
report their results::report their results
produce these iterations::produce these iterations
iterations to begin::iterations to begin
easy to produce::easy to produce
produce an iteration::produce an iteration
special method iter::special method iter
base class tree::base class tree
rely on python::rely on python
python s generator::python s generator
mechanism for producing::mechanism for producing
implementation of tree::implementation of tree
tree s elements::tree s elements
order as positions::order as positions
yield each element::yield each element
element code fragment::element code fragment
iterating all elements::iterating all elements
tree this code::tree this code
class to implement::class to implement
implement the positions::implement the positions
choice of tree::choice of tree
provide independent implementations::provide independent implementations
tree adt preorder::tree adt preorder
adt preorder traversal::adt preorder traversal
traversal we begin::traversal we begin
support a public::support a public
method with calling::method with calling
calling signature t.preorder::calling signature t.preorder
generates a preorder::generates a preorder
algorithm for generating::algorithm for generating
generating a preorder::generating a preorder
described in code::described in code
tree that serves::tree that serves
subtree to traverse::subtree to traverse
traverse a standard::traverse a standard
define a nonpublic::define a nonpublic
nonpublic utility method::nonpublic utility method
desired recursive parameterization::desired recursive parameterization
public method preorder::public method preorder
method preorder invoke::method preorder invoke
tree our implementation::tree our implementation
generate a preorder::generate a preorder
iteration of positions::iteration of positions
def subtree preorder::def subtree preorder
positions in subtree::positions in subtree
caller code fragment::caller code fragment
support for performing::support for performing
performing a preorder::performing a preorder
utility subtree preorder::utility subtree preorder
preorder are generators::preorder are generators
perform a visit::perform a visit
yield each position::yield each position
decide what action::decide what action
action to perform::action to perform
position the subtree::position the subtree
subtree preorder method::subtree preorder method
relying on generators::relying on generators
slightly different form::slightly different form
form in order::form in order
order to yield::order to yield
yield all positions::yield all positions
subtree of child::subtree of child
call self subtree::call self subtree
reyield each position::reyield each position
outer context note::outer context note
loop over self.children::loop over self.children
public preorder method::public preorder method
method to re-yield::method to re-yield
re-yield all positions::re-yield all positions
recursive process starting::recursive process starting
tree is empty::tree is empty
provided full support::provided full support
generator a user::generator a user
official tree adt::official tree adt
