computer networks prof::computer networks prof
networks or gigabit::networks or gigabit
kind of technologies::kind of technologies
routed virtual topology::routed virtual topology
circuits or leased::circuits or leased
dynamic ? provisioning::dynamic ? provisioning
circuits on demand::circuits on demand
demand and optical::demand and optical
explosive traffic growth::explosive traffic growth
bursty traffic pattern::bursty traffic pattern
increase bandwidth efficiency::increase bandwidth efficiency
efficiency to make::efficiency to make
make the core::make the core
core more flexible::core more flexible
naturally a packet::naturally a packet
fixed light path::fixed light path
light path kind::light path kind
system to simplify::system to simplify
simplify network control::simplify network control
control and management::control and management
management and making::management and making
making the core::making the core
core more intelligent::core more intelligent
point of view::point of view
bandwidth becomes cheaper::bandwidth becomes cheaper
demand will grow::demand will grow
happy to send::happy to send
send some simple::send some simple
download entire videos::download entire videos
bandwidth intensive applications::bandwidth intensive applications
require a lot::require a lot
lot of bandwidth::lot of bandwidth
users ? point::users ? point
bandwidth you give::bandwidth you give
lot more applications::lot more applications
introduced high bandwidth::introduced high bandwidth
vendors ? point::vendors ? point
view expenditure rate::view expenditure rate
rate is higher::rate is higher
higher than revenue::higher than revenue
longer-term equipment investment::longer-term equipment investment
long in future::long in future
investment is lower::investment is lower
bandwidth efficient solutions::bandwidth efficient solutions
infrastructure existing today::infrastructure existing today
optical packet switching::optical packet switching
switching or optical::switching or optical
lack of optical::lack of optical
packet is coming::packet is coming
means some light::means some light
pulse is coming::pulse is coming
buffer for optical::buffer for optical
thing called fiber::thing called fiber
fiber delay lines::fiber delay lines
fiber delay line::fiber delay line
akin to buffer::akin to buffer
good so fiber::good so fiber
lines are bulky::lines are bulky
bulky and provide::bulky and provide
provide only limited::provide only limited
limited and deterministic::limited and deterministic
deterministic delays store::deterministic delays store
forward with feedback::forward with feedback
feedback fdls lead::feedback fdls lead
lead to fixed::lead to fixed
fixed packet length::fixed packet length
length and synchronous::length and synchronous
coupling of header::coupling of header
header and payload::header and payload
payload requires stringent::payload requires stringent
requires stringent synchronization::requires stringent synchronization
things are difficult::things are difficult
switching or obs::switching or obs
long and variable::long and variable
variable length payload::variable length payload
payload so first::payload so first
length payload means::length payload means
burst of packets::burst of packets
packets to travel::packets to travel
domain we collect::domain we collect
collect a number::collect a number
number of packets::number of packets
packets together forming::packets together forming
forming a burst::forming a burst
source ? destination::source ? destination
path and send::path and send
send this burst::send this burst
approach to optical::approach to optical
switching a burst::switching a burst
low amortized overhead::low amortized overhead
fragmentation a control::fragmentation a control
out of band::out of band
control and reserves::control and reserves
configures the switches::configures the switches
temporary light path::temporary light path
destination a burst::destination a burst
buffering is needed::buffering is needed
needed our original::needed our original
domain are avoided::domain are avoided
side that means::side that means
means the client::means the client
switching or reservation::switching or reservation
protocol is done::protocol is done
send the control::send the control
programming that means::programming that means
burst does arrive::burst does arrive
doing any processing::doing any processing
dedicated control channel::dedicated control channel
lines nor oeo::lines nor oeo
conversions for burst::conversions for burst
photonic burst switching::photonic burst switching
burst switching fabric::burst switching fabric
switching fabric inside::switching fabric inside
core that means::core that means
means it leverages::means it leverages
optics for burst::optics for burst
switching and electronics::switching and electronics
electronics for control::electronics for control
control packet processing::control packet processing
processing and fabric::processing and fabric
cell ip packet::cell ip packet
packet or sonet::packet or sonet
purely optical plane::purely optical plane
care intermediate optics::care intermediate optics
optics is transparent::optics is transparent
control packet purpose::control packet purpose
make a control::make a control
assembles a burst::assembles a burst
length threshold reached::length threshold reached
packet is generated::packet is generated
out the control::out the control
separate control channel::separate control channel
means the destinations::means the destinations
forming into bursts::forming into bursts
mentioned it fiber::mentioned it fiber
forward or feed::forward or feed
ram for store::ram for store
functions so fdl::functions so fdl
units are bulky::units are bulky
affect signal quality::affect signal quality
schemes still involving::schemes still involving
area of research::area of research
present a simple::present a simple
delay we give::delay we give
give a delay::give a delay
send a burst::send a burst
delay line required::delay line required
required to delay::required to delay
delay the burst::delay the burst
processed and switch::processed and switch
fabric is configured::fabric is configured
configured cp carries::configured cp carries
carries the burst::carries the burst
burst length info::burst length info
facilitates delayed reservation::facilitates delayed reservation
reservation for intelligent::reservation for intelligent
intelligent efficient allocation::intelligent efficient allocation
allocation of bandwidth::allocation of bandwidth
bandwidth and fdl::bandwidth and fdl
require for programming::require for programming
programming these intervening::programming these intervening
intervening optical nodes::intervening optical nodes
arrives at oeo::arrives at oeo
domain for processing::domain for processing
optical to electrical::optical to electrical
conversion and configure::conversion and configure
configure the switch::configure the switch
conversion and leaves::conversion and leaves
leaves the oeo::leaves the oeo
delay is calculated::delay is calculated
spent delta amount::spent delta amount
optical switch fabric::optical switch fabric
switch fabric depending::switch fabric depending
offset is exhausted::offset is exhausted
reached your destination::reached your destination
finally to conclude::finally to conclude
programming switching paradigm::programming switching paradigm
paradigm that offers::paradigm that offers
offers many advantages::offers many advantages
kind of solution::kind of solution
variations and adopting::variations and adopting
network to work::network to work
approaches in wdm::approaches in wdm
circuit switching path::circuit switching path
light path routing::light path routing
assignment and setting::assignment and setting
talked about optical::talked about optical
talk about sonet::talk about sonet
infrastructure the sonet::infrastructure the sonet
means packet oriented::means packet oriented
packet oriented fiber::packet oriented fiber
oriented fiber optic::oriented fiber optic
fiber optic infrastructures::fiber optic infrastructures
means large routers::means large routers
discussing about sonet::discussing about sonet
capacity of fault::capacity of fault
recovering from fault::recovering from fault
repercussion is tremendous::repercussion is tremendous
put in lot::put in lot
lot of reliability::lot of reliability
preview computer networks::preview computer networks
protection and restoration::protection and restoration
employed in optical::employed in optical
talking about protection::talking about protection
schemes of rotation::schemes of rotation
outline of presentation::outline of presentation
network is unreliable::network is unreliable
failures can occur::failures can occur
node may fail::node may fail
fail a link::fail a link
fiber optic line::fiber optic line
line may cut::line may cut
node might fail::node might fail
failures at nodes::failures at nodes
deploy optical networks::deploy optical networks
service provider attempts::service provider attempts
attempts to give::attempts to give
level of service::level of service
failures are unavoidable::failures are unavoidable
unavoidable in real::unavoidable in real
give some reliability::give some reliability
redundancy a system::redundancy a system
order to achieve::order to achieve
talk about path::talk about path
path to guarantee::path to guarantee
guarantee that data::guarantee that data
line we show::line we show
show the primary::show the primary
channel our communication::channel our communication
backup or secondary::backup or secondary
destination is link::destination is link
link this channel::link this channel
share any link::share any link
primary path fails::primary path fails
failure which means::failure which means
dedicated link protection::dedicated link protection
shared link protection::shared link protection
protection is practical::protection is practical
compare between path::compare between path
switching and line::switching and line
line switching path::line switching path
scheme and line::scheme and line
connected which means::connected which means
edge connected disjoint::edge connected disjoint
connected disjoint paths::connected disjoint paths
pair of nodes::pair of nodes
single edge failure::single edge failure
failure can disconnect::failure can disconnect
disconnect the network::disconnect the network
ring simple minded::ring simple minded
simple minded scheme::simple minded scheme
paths and provisioning::paths and provisioning
double the number::double the number
number of paths::number of paths
wise mutually node::wise mutually node
node are edge::node are edge
network better approach::network better approach
problem of coordination::problem of coordination
cycles in mesh::cycles in mesh
show this computer::show this computer
schemes of protection::schemes of protection
link may fail::link may fail
digging a hole::digging a hole
network the core::network the core
give a high::give a high
service although failures::service although failures
network in order::network in order
mechanism to recover::mechanism to recover
recover from network::recover from network
prevent the lot::prevent the lot
lot of data::lot of data
low physical level::low physical level
layers like data::layers like data
data link layer::data link layer
protection is sort::protection is sort
sort of implemented::sort of implemented
implemented at higher::implemented at higher
tolerate a small::tolerate a small
amount of data::amount of data
provide reliable communication::provide reliable communication
reliable communication service::reliable communication service
fast and routes::fast and routes
provide more efficient::provide more efficient
routes or additional::routes or additional
techniques for protection::techniques for protection
protect a path::protect a path
protect a link::protect a link
protection this depends::protection this depends
kind of redundancy::kind of redundancy
considerations and tradeoffs::considerations and tradeoffs
support for fast::support for fast
talking about earlier::talking about earlier
calling them client::calling them client
tolerate some small::tolerate some small
loss so depending::loss so depending
service will fail::service will fail
protection or restoration::protection or restoration
layer we require::layer we require
require some switching::require some switching
layer ? hardware::layer ? hardware
put in order::put in order
support for low::support for low
low priority traffic::low priority traffic
priority traffic supported::priority traffic supported
bandwidth ; traffic::bandwidth ; traffic
dropped in case::dropped in case
order to give::order to give
give some protection::give some protection
naturally the redundant::naturally the redundant
network to carry::network to carry
carry the low::carry the low
naturally the provision::naturally the provision
support for mesh::support for mesh
topologies ? mesh::topologies ? mesh
topologies are bandwidth::topologies are bandwidth
fast signaling mechanism::fast signaling mechanism
flexibility in choice::flexibility in choice
choice of routes::choice of routes
routes by preplanned::routes by preplanned
types of topologies::types of topologies
ring and mesh::ring and mesh
set a point-to-point::set a point-to-point
kind of reliability::kind of reliability
sonet a sonet::sonet a sonet
form of ring::form of ring
mutually touching rings::mutually touching rings
telecom people put::telecom people put
rings through fiber::rings through fiber
fiber optic networks::fiber optic networks
networks the rings::networks the rings
easy to handle::easy to handle
discuss the protection::discuss the protection
mechanism in ring::mechanism in ring
wider geographical area::wider geographical area
geographical area ring::geographical area ring
mesh a mesh::mesh a mesh
giving proper protection::giving proper protection
two alternatives paths::two alternatives paths
give protection giving::give protection giving
protection giving protection::protection giving protection
protection in mesh::protection in mesh
considerations are maintenance::considerations are maintenance
maintenance of large::maintenance of large
large distributed routing::large distributed routing
distributed routing tables::distributed routing tables
date topology maps::date topology maps
thing as links::thing as links
recomputed and stored::recomputed and stored
failure for mesh::failure for mesh
link please note::link please note
ways to protect::ways to protect
ways of provisioning::ways of provisioning
provisioning the extra::provisioning the extra
extra bandwidth capacity::extra bandwidth capacity
divided as dedicated::divided as dedicated
dedicated path protection::dedicated path protection
shared path protection::shared path protection
path protection dedicated::path protection dedicated
protection dedicated path::protection dedicated path
protection and shared::protection and shared
signal is coming::signal is coming
two different links::two different links
switch the switch::switch the switch
determines which signal::determines which signal
top one fails::top one fails
kind of hot::kind of hot
source of information::source of information
primary one fails::primary one fails
give an alternate::give an alternate
dedicate path protection::dedicate path protection
dedicated alternative path::dedicated alternative path
shared mode protection::shared mode protection
carrying any signal::carrying any signal
source is passing::source is passing
switch will flip::switch will flip
signal under normal::signal under normal
share this path::share this path
mode of protection::mode of protection
line is sharing::line is sharing
mode of operation::mode of operation
operation this part::operation this part
switch could switch::switch could switch
switch the signal::switch the signal
carrying the signal::carrying the signal
switch may sense::switch may sense
carrying some low::carrying some low
low priority data::low priority data
fiber would switch::fiber would switch
switch to give::switch to give
give the services::give the services
experienced a link::experienced a link
protection that means::protection that means
give a protection::give a protection
link has failed::link has failed
implemented this link::implemented this link
protection may fail::protection may fail
switching is finer::switching is finer
span protection span::span protection span
two edge connected::two edge connected
edge connected i.e::edge connected i.e
two edge disjoint::two edge disjoint
edge disjoint paths::edge disjoint paths
edge or node::edge or node
node disjoint paths::node disjoint paths
node or edge::node or edge
lot of extra::lot of extra
layer and mesh::layer and mesh
protection of mesh::protection of mesh
networks to protect::networks to protect
protect the mesh::protect the mesh
single unit pre-computed::single unit pre-computed
unit pre-computed routes::unit pre-computed routes
pre-computed routes means::pre-computed routes means
routes and alternative::routes and alternative
routes are pre-computed::routes are pre-computed
protection is protection::protection is protection
route per light::route per light
route per failure::route per failure
on-the-fly route computation::on-the-fly route computation
centralized route computation::centralized route computation
computation and coordination::computation and coordination
coordination route computation::coordination route computation
coordination are done::coordination are done
done at end::done at end
nodes or distributed::nodes or distributed
distributed route computations::distributed route computations
path this alternate::path this alternate
path please note::path please note
switch the entire::switch the entire
path you switch::path you switch
takes a diversion::takes a diversion
re-compute the path::re-compute the path
talked about protection::talked about protection
form a cycle::form a cycle
cycle ? cycle::cycle ? cycle
cycle of provisioning::cycle of provisioning
provisioning of light::provisioning of light
link in-between breaks::link in-between breaks
form these cycles::form these cycles
ready and pre-computed::ready and pre-computed
working and protection::working and protection
fibers the working::fibers the working
shown in solid::shown in solid
lines whereas protection::lines whereas protection
shown with dashed::shown with dashed
level of protection::level of protection
network ; depending::network ; depending
put your protection::put your protection
unidirectional light path::unidirectional light path
path from node::path from node
link bc fails::link bc fails
path is rerouted::path is rerouted
rerouted by nodes::rerouted by nodes
point in coming::point in coming
doing line protection::doing line protection
point i continue::point i continue
taking a local::taking a local
case of failure::case of failure
taking a global::taking a global
entire global picture::entire global picture
node is coming::node is coming
erroneous connection due::erroneous connection due
nodes as link::nodes as link
so-called race condition::so-called race condition
two different failures::two different failures
things may happen::things may happen
happen after node::happen after node
fails ? node::fails ? node
connected to node::connected to node
invoke line protection::invoke line protection
line protection independently::line protection independently
differently as failure::differently as failure
failure of link::failure of link
lead to race::lead to race
advantages and disadvantages::advantages and disadvantages
disadvantages of protection::disadvantages of protection
bit of restoration::bit of restoration
protection is simple::protection is simple
require much extra::require much extra
ring would sort::ring would sort
back in action::back in action
higher layer protocols::higher layer protocols
recover from single::recover from single
single link faults::single link faults
multiple link faults::multiple link faults
kinds of funny::kinds of funny
usage of resource::usage of resource
lot of resources::lot of resources
restoration and link::restoration and link
compute the path::compute the path
resource is reserved::resource is reserved
current actual situation::current actual situation
protocol for keeping::protocol for keeping
compute some root::compute some root
reserve the path::reserve the path
restore the original::restore the original
path is discovered::path is discovered
practical than path::practical than path
link restoration path::link restoration path
restoration path restoration::restoration path restoration
path restoration means::path restoration means
out an alternative::out an alternative
find an alternative::find an alternative
disadvantages of restoration::disadvantages of restoration
recover from multiplex::recover from multiplex
multiplex element faults::multiplex element faults
protocol to exchange::protocol to exchange
find the current::find the current
situation and form::situation and form
form the alternatives::form the alternatives
usage of resources::usage of resources
requires extra process::requires extra process
set up path::set up path
path or reserve::path or reserve
comparison between protection::comparison between protection
protection the resources::protection the resources
resources are reserved::resources are reserved
restoration the resources::restoration the resources
dynamically computed resource::dynamically computed resource
computed resource efficiency::computed resource efficiency
protection is short::protection is short
restoration can survive::restoration can survive
survive under multiple::survive under multiple
survivable after multiple::survivable after multiple
services so restoration::services so restoration
handle multiple faults::handle multiple faults
multiple faults implementation::multiple faults implementation
simple and restoration::simple and restoration
naturally more complex::naturally more complex
talk about physical::talk about physical
links we talk::links we talk
talk about virtual::talk about virtual
virtual wavelength paths::virtual wavelength paths
paths also routing::paths also routing
controlled or distributed::controlled or distributed
distributed ; resource::distributed ; resource
reservation are done::reservation are done
topic of fault::topic of fault
management in ring::management in ring
ubiquitous in wan::ubiquitous in wan
people will love::people will love
love these things::love these things
give very high::give very high
kind of protection::kind of protection
two different cases::two different cases
unidirectional path switch::unidirectional path switch
path switch rings::path switch rings
rings and bidirectional::rings and bidirectional
bidirectional line switch::bidirectional line switch
line switch rings::line switch rings
rings or upsr::rings or upsr
upsr and blsr::upsr and blsr
diagram of upsr::diagram of upsr
protection fiber working::protection fiber working
fiber working fiber::fiber working fiber
direction and protection::direction and protection
counter clockwise direction::counter clockwise direction
protection fiber part::protection fiber part
unidirectional path switched::unidirectional path switched
path switched ring::path switched ring
limitations of upsr::limitations of upsr
reuse the fiber::reuse the fiber
nodes are side::nodes are side
side by side::side by side
sort of covered::sort of covered
spatially reuse fiber::spatially reuse fiber
reuse fiber capacity::reuse fiber capacity
ring each bidirectional::ring each bidirectional
bidirectional sonet sdh::bidirectional sonet sdh
sonet sdh connection::sonet sdh connection
wavelength the entire::wavelength the entire
adms of sonet::adms of sonet
efficient for lower-speed::efficient for lower-speed
lower-speed access networks::lower-speed access networks
link the relays::link the relays
bidirectional line switched::bidirectional line switched
line switched rings::line switched rings
rings or blsr::rings or blsr
talking about blsr::talking about blsr
spatial reuse capabilities::spatial reuse capabilities
capabilities and additional::capabilities and additional
additional protection mechanisms::additional protection mechanisms
mechanisms and adopts::mechanisms and adopts
four-fiber bidirectional line::four-fiber bidirectional line
line switched ring::line switched ring
two working fibers::two working fibers
two protection fibers::two protection fibers
two such working::two such working
communicate both ways::communicate both ways
communication so spatial::communication so spatial
talking about bidirectional::talking about bidirectional
bidirectional traffic supports::bidirectional traffic supports
pre-compute a span::pre-compute a span
case of line::case of line
version of blsr::version of blsr
fibers are working::fibers are working
fibers that means::fibers that means
give the protection::give the protection
fiber that means::fiber that means
reserve the resource::reserve the resource
sense a failure::sense a failure
adjust the switch::adjust the switch
span or working::span or working
transmission receiver pair::transmission receiver pair
reuse in upsr::reuse in upsr
capacity is equal::capacity is equal
working capacity link::working capacity link
capacity link failure::capacity link failure
failure is path::failure is path
case of upsr::case of upsr
upsr or span::upsr or span
span or line::span or line
blsr in case::NNP in case
direction node failure::direction node failure
protection and line::protection and line
line protection restoration::line protection restoration
restoration is faster::restoration is faster
faster in upsr::faster in upsr
slower in blsrs::slower in blsrs
blsrs and restoration::blsrs and restoration
complexity is low::complexity is low
high and high::high and high
high another thing::high another thing
thing we talked::thing we talked
deploy your network::deploy your network
failure is acceptable::failure is acceptable
two different hubs::two different hubs
hubs take independent::hubs take independent
destination this shows::destination this shows
shows a dual::shows a dual
homing to handle::homing to handle
hub on node::hub on node
ring you communicate::ring you communicate
communicate with hub::communicate with hub
communicating with hub::communicating with hub
mentioned this point::mentioned this point
protection mechanism built::protection mechanism built
wdm link carrying::wdm link carrying
link carrying sonet::link carrying sonet
carrying sonet traffic::carrying sonet traffic
working fiber pair::working fiber pair
pair and protection::pair and protection
protection fiber pair::protection fiber pair
pair please note::pair please note
multiple virtual links::multiple virtual links
link is cut::link is cut
traffic is restored::traffic is restored
layer that means::layer that means
assign new wavelengths::assign new wavelengths
sonet is riding::sonet is riding
