keyphrase	dispersion	tfidf	localspan	cscore	keyword
allowed characterization 	0.0000000000	0.008491751039	0.0	1.0	False
short 	0.0000000000	0.00260334665561	0.0	0.0	False
abstinence or monogamy 	0.0000000000	0.0	0.0	1.58496250072	False
contraceptives 	0.0000000000	0.0042458755195	0.0	0.0	False
clinical importance hpvs 	0.0000000000	0.0	0.0	1.58496250072	False
fundamental 	0.0000000000	0.0042458755195	0.0	0.0	False
life-threatening hpv-induced 	0.0000000000	0.008491751039	0.0	1.0	False
part sexually 	0.0000000000	0.008491751039	0.0	0.0	False
infection are important 	0.0000000000	0.0	0.0	1.58496250072	False
hpv epidemiology 	0.0000000000	0.008491751039	0.0	1.0	False
committee 	0.0000000000	0.0042458755195	0.0	0.0	False
importance hpvs represent 	0.0000000000	0.0	0.0	1.58496250072	False
sexually transmitted 	0.0000000000	0.016983502078	0.0	2.0	False
period and subclinical 	0.0000000000	0.0	0.0	1.58496250072	False
sexuality 	0.0000000000	0.0042458755195	0.0	0.0	False
significant reduction 	0.0000000000	0.008491751039	0.0	1.0	False
diseases 	0.0000000000	0.008491751039	0.0	0.0	False
barrier method 	0.0000000000	0.008491751039	0.0	1.0	False
importance hpvs 	0.0000000000	0.008491751039	0.0	0.0	False
type and location 	0.0000000000	0.0	0.0	1.58496250072	False
association 	0.0000000000	0.0042458755195	0.0	0.0	False
realistic 	0.0000000000	0.00260334665561	0.0	0.0	False
transmitted 	0.0000000000	0.008491751039	0.0	0.0	False
found 	0.0000000000	0.00328505772777	0.0	0.0	False
exposure to hpv 	0.0000000000	0.0	0.0	1.58496250072	False
exploring virus-cell 	0.0000000000	0.008491751039	0.0	1.0	False
abnormal 	0.0000000000	0.00260334665561	0.0	0.0	False
genomes replicate 	0.0000000000	0.008491751039	0.0	1.0	False
verruciformis 	0.0000000000	0.0042458755195	0.0	0.0	False
sexually 	0.0000000000	0.008491751039	0.0	0.0	False
sexual 	0.0000000000	0.008491751039	0.0	0.0	False
event 	0.0000000000	0.0042458755195	0.0	0.0	False
highly visible 	0.0000000000	0.008491751039	0.0	1.0	False
cervical carcinoma 	0.0000000000	0.008491751039	0.0	1.0	False
reduces the risk 	0.0000000000	0.0	0.0	1.58496250072	False
highly visible society-wide 	0.0000000000	0.0	0.0	1.58496250072	False
respiratory papillomatosis 	0.0000000000	0.008491751039	0.0	1.0	False
cellular differentiation 	0.0000000000	0.008491751039	0.0	1.0	False
treat and prevent 	0.0000000000	0.0	0.0	1.58496250072	False
barrier 	0.0000000000	0.0042458755195	0.0	0.0	False
interactions 	0.0000000000	0.0042458755195	0.0	0.0	False
unlike retroviruses 	0.0000000000	0.008491751039	0.0	1.0	False
benign warts 	0.0000000000	0.008491751039	0.0	1.0	False
obligation 	0.0000000000	0.0042458755195	0.0	0.0	False
implication 	0.0000000000	0.0042458755195	0.0	0.0	False
method contraceptives 	0.0000000000	0.008491751039	0.0	1.0	False
incorporated 	0.0000000000	0.0042458755195	0.0	0.0	False
sexual contact 	0.0000000000	0.008491751039	0.0	1.0	False
risk of cervical 	0.0000000000	0.0	0.0	1.58496250072	False
number 	0.0000000000	0.00164252886389	0.0	0.0	False
warts 	0.0000000000	0.0042458755195	0.0	0.0	False
falls far short 	0.0000000000	0.0	0.0	1.58496250072	False
latent period 	0.0000000000	0.008491751039	0.0	1.0	False
protective against development 	0.0000000000	0.0	0.0	1.58496250072	False
rates 	0.0000000000	0.0042458755195	0.0	0.0	False
widely disseminated lesions 	0.0000000000	0.0	0.0	1.58496250072	False
surprisingly in malignant 	0.0000000000	0.0	0.0	1.58496250072	False
molecular 	0.0000000000	0.0042458755195	0.0	0.0	False
ranging 	0.0000000000	0.00260334665561	0.0	0.0	False
reduction in hpv 	0.0000000000	0.0	0.0	1.58496250072	False
exploring 	0.0000000000	0.00260334665561	0.0	0.0	False
tool 	0.0000000000	0.00260334665561	0.0	0.0	False
low copy number 	0.0000000000	0.0	0.0	1.58496250072	False
suggest that avoidance 	0.0000000000	0.0	0.0	1.58496250072	False
outlined the obligation 	0.0000000000	0.0	0.0	1.58496250072	False
basal 	0.0000000000	0.0042458755195	0.0	0.0	False
part 	0.0000000000	0.00781003996683	0.0	0.0	False
hpv dna genomes 	0.0000000000	0.0	0.0	1.58496250072	False
immunodeficiency virus 	0.0000000000	0.00520669331122	0.0	1.0	False
pathogens 	0.0000000000	0.0042458755195	0.0	0.0	False
avoidance of exposure 	0.0000000000	0.0	0.0	1.58496250072	False
copy 	0.0000000000	0.00260334665561	0.0	0.0	False
wide 	0.0000000000	0.00260334665561	0.0	0.0	False
infectious 	0.0000000000	0.0042458755195	0.0	0.0	False
risks 	0.0000000000	0.0042458755195	0.0	0.0	False
considerations for adolescent 	0.0000000000	0.0	0.0	1.58496250072	False
behaviors 	0.0000000000	0.0042458755195	0.0	0.0	False
america association 	0.0000000000	0.008491751039	0.0	1.0	False
illness 	0.0000000000	0.0042458755195	0.0	0.0	False
difficult to eradicate 	0.0000000000	0.0	0.0	1.58496250072	False
inundating 	0.0000000000	0.0042458755195	0.0	0.0	False
spectrum 	0.0000000000	0.00260334665561	0.0	0.0	False
risks of hpv-related 	0.0000000000	0.0	0.0	1.58496250072	False
involve casual physical 	0.0000000000	0.0	0.0	1.58496250072	False
barrier method contraceptives 	0.0000000000	0.0	0.0	1.58496250072	False
depending 	0.0000000000	0.00260334665561	0.0	0.0	False
physical contact 	0.0000000000	0.008491751039	0.0	1.0	False
long latent period 	0.0000000000	0.0	0.0	1.58496250072	False
finding 	0.0000000000	0.00260334665561	0.0	0.0	False
normal 	0.0000000000	0.00164252886389	0.0	0.0	False
overwhelmingly suggest 	0.0000000000	0.008491751039	0.0	0.0	False
retroviruses 	0.0000000000	0.0042458755195	0.0	0.0	False
virus 	0.0000000000	0.00260334665561	0.0	0.0	False
carcinoma 	0.0000000000	0.0042458755195	0.0	0.0	False
significant 	0.0000000000	0.00164252886389	0.0	0.0	False
genomes and identification 	0.0000000000	0.0	0.0	1.58496250072	False
perinatal vertical transmission 	0.0000000000	0.0	0.0	1.58496250072	False
america 	0.0000000000	0.00260334665561	0.0	0.0	False
casual physical 	0.0000000000	0.008491751039	0.0	1.0	False
number in basal 	0.0000000000	0.0	0.0	1.58496250072	False
infections 	0.0000000000	0.008491751039	0.0	0.0	False
tissue culture 	0.0000000000	0.008491751039	0.0	1.0	False
terminal event 	0.0000000000	0.008491751039	0.0	1.0	False
biology have allowed 	0.0000000000	0.0	0.0	1.58496250072	False
campaign directed 	0.0000000000	0.008491751039	0.0	0.0	False
malignant lesions 	0.0000000000	0.008491751039	0.0	1.0	False
malignant 	0.0000000000	0.00260334665561	0.0	0.0	False
impact 	0.0000000000	0.00260334665561	0.0	0.0	False
partners 	0.0000000000	0.0042458755195	0.0	0.0	False
latent 	0.0000000000	0.0042458755195	0.0	0.0	False
knowledge 	0.0000000000	0.00260334665561	0.0	0.0	False
terminal 	0.0000000000	0.00260334665561	0.0	0.0	False
integrate 	0.0000000000	0.00260334665561	0.0	0.0	False
awareness 	0.0000000000	0.0042458755195	0.0	0.0	False
sexually transmitted diseases 	0.0000000000	0.0	0.0	1.58496250072	False
anogenital cancers 	0.0000000000	0.008491751039	0.0	1.0	False
common 	0.0000000000	0.000960817791726	0.0	0.0	False
important implication 	0.0000000000	0.008491751039	0.0	1.0	False
virus which integrate 	0.0000000000	0.0	0.0	1.58496250072	False
achieved 	0.0000000000	0.00260334665561	0.0	0.0	False
culture 	0.0000000000	0.0042458755195	0.0	0.0	False
actively 	0.0000000000	0.0042458755195	0.0	0.0	False
dna genomes replicate 	0.0000000000	0.0	0.0	1.58496250072	False
characterization of hpv 	0.0000000000	0.0	0.0	1.58496250072	False
realistic goal 	0.0000000000	0.008491751039	0.0	1.0	False
carcinomas 	0.0000000000	0.008491751039	0.0	0.0	False
multifaceted 	0.0000000000	0.0042458755195	0.0	0.0	False
identification 	0.0000000000	0.0042458755195	0.0	0.0	False
perinatal vertical 	0.0000000000	0.008491751039	0.0	0.0	False
propagated 	0.0000000000	0.0042458755195	0.0	0.0	False
avoidance 	0.0000000000	0.0042458755195	0.0	0.0	False
viral-induced abnormal cell 	0.0000000000	0.0	0.0	1.58496250072	False
cervical cancer 	0.0000000000	0.008491751039	0.0	1.0	False
vertical 	0.0000000000	0.0042458755195	0.0	0.0	False
importance 	0.0000000000	0.00260334665561	0.0	0.0	False
transmitted infectious 	0.0000000000	0.008491751039	0.0	1.0	False
cervical 	0.0000000000	0.008491751039	0.0	0.0	False
hpv-induced 	0.0000000000	0.0042458755195	0.0	0.0	False
ranging from benign 	0.0000000000	0.0	0.0	1.58496250072	False
life cycle 	0.0000000000	0.008491751039	0.0	1.0	False
expression 	0.0000000000	0.00260334665561	0.0	0.0	False
eradicate 	0.0000000000	0.0042458755195	0.0	0.0	False
hpv gene 	0.0000000000	0.008491751039	0.0	0.0	False
cancer 	0.0000000000	0.008491751039	0.0	0.0	False
short of making 	0.0000000000	0.0	0.0	1.58496250072	False
copy number 	0.0000000000	0.008491751039	0.0	0.0	False
period 	0.0000000000	0.000960817791726	0.0	0.0	False
papillomatosis 	0.0000000000	0.0042458755195	0.0	0.0	False
cellular genome 	0.0000000000	0.016983502078	0.0	2.0	False
epidermodysplasia verruciformis 	0.0000000000	0.008491751039	0.0	1.0	False
pediatrics committee 	0.0000000000	0.008491751039	0.0	1.0	False
hpv type 	0.0000000000	0.008491751039	0.0	1.0	False
perspectives 	0.0000000000	0.0042458755195	0.0	0.0	False
addition 	0.0000000000	0.00260334665561	0.0	0.0	False
hpv infection 	0.0000000000	0.016983502078	2.96428571429	3.0	False
markedly 	0.0000000000	0.0042458755195	0.0	0.0	False
immunodeficiency 	0.0000000000	0.00260334665561	0.0	0.0	False
reduction 	0.0000000000	0.0042458755195	0.0	0.0	False
pathogens as summarized 	0.0000000000	0.0	0.0	1.58496250072	False
replicate 	0.0000000000	0.0042458755195	0.0	0.0	False
treat 	0.0000000000	0.0042458755195	0.0	0.0	False
exploring virus-cell interactions 	0.0000000000	0.0	0.0	1.58496250072	False
preventable 	0.0000000000	0.0042458755195	0.0	0.0	False
tumorigenic pathogens 	0.0000000000	0.008491751039	0.0	0.0	False
life 	0.0000000000	0.00260334665561	0.0	0.0	False
molecular biology 	0.0000000000	0.008491751039	0.0	1.0	False
overwhelmingly 	0.0000000000	0.0042458755195	0.0	0.0	False
hpv integration 	0.0000000000	0.008491751039	0.0	1.0	False
pediatricians 	0.0000000000	0.0042458755195	0.0	0.0	False
unlike 	0.0000000000	0.00260334665561	0.0	0.0	False
association of pediatrics 	0.0000000000	0.0	0.0	1.58496250072	False
recurrent respiratory 	0.0000000000	0.008491751039	0.0	1.0	False
long latent 	0.0000000000	0.008491751039	0.0	0.0	False
adolescent sexuality 	0.0000000000	0.008491751039	0.0	1.0	False
outlined 	0.0000000000	0.00260334665561	0.0	0.0	False
cell growth 	0.0000000000	0.008491751039	0.0	1.0	False
surprisingly 	0.0000000000	0.00260334665561	0.0	0.0	False
viral-induced 	0.0000000000	0.0042458755195	0.0	0.0	False
tissue 	0.0000000000	0.008491751039	0.0	0.0	False
actively involved 	0.0000000000	0.008491751039	0.0	1.0	False
suggest 	0.0000000000	0.0042458755195	0.0	0.0	False
recurrent 	0.0000000000	0.0042458755195	0.0	0.0	False
benign 	0.0000000000	0.0042458755195	0.0	0.0	False
widely 	0.0000000000	0.00260334665561	0.0	0.0	False
malignant lesions hpv 	0.0000000000	0.0	0.0	1.58496250072	False
difficult 	0.0000000000	0.00781003996683	0.0	0.0	False
development 	0.0000000000	0.0042458755195	0.0	0.0	False
involve casual 	0.0000000000	0.008491751039	0.0	0.0	False
immunocompromised host 	0.0000000000	0.008491751039	0.0	1.0	False
lesions hpv 	0.0000000000	0.008491751039	0.0	1.0	False
normal tissue adjacent 	0.0000000000	0.0	0.0	1.58496250072	False
infection rates 	0.0000000000	0.008491751039	0.0	1.0	False
cycle 	0.0000000000	0.0042458755195	0.0	0.0	False
sexually transmitted infectious 	0.0000000000	0.0	0.0	1.58496250072	False
early 	0.0000000000	0.00260334665561	0.0	0.0	False
modes 	0.0000000000	0.0042458755195	0.0	0.0	False
prevention of hpv 	0.0000000000	0.0	0.0	3.16992500144	False
adolescents 	0.0000000000	0.008491751039	0.0	0.0	False
disseminated 	0.0000000000	0.0042458755195	0.0	0.0	False
contact 	0.0000000000	0.008491751039	0.0	0.0	False
inundating adolescents 	0.0000000000	0.008491751039	0.0	1.0	False
invasive 	0.0000000000	0.0042458755195	0.0	0.0	False
prevention 	0.0000000000	0.008491751039	0.0	0.0	False
human immunodeficiency virus 	0.0000000000	0.0	0.0	1.58496250072	False
committee on adolescents 	0.0000000000	0.0	0.0	1.58496250072	False
human 	0.0000000000	0.00492758659166	0.0	0.0	False
differentiation 	0.0000000000	0.00260334665561	0.0	0.0	False
campaign 	0.0000000000	0.0042458755195	0.0	0.0	False
characterization 	0.0000000000	0.0042458755195	0.0	0.0	False
location 	0.0000000000	0.0042458755195	0.0	0.0	False
life-threatening hpv-induced illness 	0.0000000000	0.0	0.0	1.58496250072	False
dna genomes 	0.0000000000	0.008491751039	0.0	0.0	False
wide spectrum 	0.0000000000	0.008491751039	0.0	1.0	False
basal cells 	0.0000000000	0.008491751039	0.0	1.0	False
advances 	0.0000000000	0.00260334665561	0.0	0.0	False
fundamental knowledge 	0.0000000000	0.008491751039	0.0	1.0	False
lesions hpv dna 	0.0000000000	0.0	0.0	1.58496250072	False
family of multifaceted 	0.0000000000	0.0	0.0	1.58496250072	False
helpful 	0.0000000000	0.0042458755195	0.0	0.0	False
involved in adolescent 	0.0000000000	0.0	0.0	1.58496250072	False
reduces 	0.0000000000	0.00260334665561	0.0	0.0	False
human immunodeficiency 	0.0000000000	0.00520669331122	0.0	0.0	False
found in normal 	0.0000000000	0.0	0.0	1.58496250072	False
growth 	0.0000000000	0.00260334665561	0.0	0.0	False
early age 	0.0000000000	0.008491751039	0.0	1.0	False
markedly reduces 	0.0000000000	0.008491751039	0.0	1.0	False
viral 	0.0000000000	0.0042458755195	0.0	0.0	False
hpv-related 	0.0000000000	0.0042458755195	0.0	0.0	False
visible society-wide 	0.0000000000	0.008491751039	0.0	1.0	False
integration 	0.0000000000	0.00520669331122	0.0	0.0	False
critical 	0.0000000000	0.0042458755195	0.0	0.0	False
fragments 	0.0000000000	0.0042458755195	0.0	0.0	False
monogamy 	0.0000000000	0.0042458755195	0.0	0.0	False
gene expression 	0.0000000000	0.008491751039	0.0	1.0	False
adolescents has outlined 	0.0000000000	0.0	0.0	1.58496250072	False
biology 	0.0000000000	0.00260334665561	0.0	0.0	False
epidemiology 	0.0000000000	0.0042458755195	0.0	0.0	False
host 	0.0000000000	0.0042458755195	0.0	0.0	False
epithelial lesions 	0.0000000000	0.008491751039	0.0	1.0	False
falls 	0.0000000000	0.0042458755195	0.0	0.0	False
difficult to study 	0.0000000000	0.0	0.0	1.58496250072	False
recurrent respiratory papillomatosis 	0.0000000000	0.0	0.0	1.58496250072	False
rare 	0.0000000000	0.0042458755195	0.0	0.0	False
abstinence 	0.0000000000	0.0042458755195	0.0	0.0	False
important tool 	0.0000000000	0.008491751039	0.0	1.0	False
partners markedly reduces 	0.0000000000	0.0	0.0	1.58496250072	False
obligation of pediatricians 	0.0000000000	0.0	0.0	1.58496250072	False
hpvs 	0.0000000000	0.008491751039	0.0	0.0	False
pediatric perspectives 	0.0000000000	0.008491751039	0.0	1.0	False
sexual behaviors 	0.0000000000	0.008491751039	0.0	1.0	False
considerations 	0.0000000000	0.0042458755195	0.0	0.0	False
abnormal cell growth 	0.0000000000	0.0	0.0	1.58496250072	False
fragments incorporated 	0.0000000000	0.008491751039	0.0	1.0	False
casual physical contact 	0.0000000000	0.0	0.0	1.58496250072	False
making an impact 	0.0000000000	0.0	0.0	1.58496250072	False
contact and perinatal 	0.0000000000	0.0	0.0	1.58496250072	False
tumorigenic 	0.0000000000	0.0042458755195	0.0	0.0	False
adolescent 	0.0000000000	0.008491751039	0.0	0.0	False
long 	0.0000000000	0.00260334665561	0.0	0.0	False
clinical 	0.0000000000	0.00164252886389	0.0	0.0	False
low 	0.0000000000	0.0042458755195	0.0	0.0	False
virus-cell 	0.0000000000	0.0042458755195	0.0	0.0	False
sequelae 	0.0000000000	0.0042458755195	0.0	0.0	False
visible society-wide campaign 	0.0000000000	0.0	0.0	1.58496250072	False
summarized here human 	0.0000000000	0.0	0.0	1.58496250072	False
human papillomaviruses 	0.0000000000	0.016983502078	0.0	2.0	False
advances in molecular 	0.0000000000	0.0	0.0	1.58496250072	False
hpv infection rates 	0.0000000000	0.0	0.0	1.58496250072	False
directed 	0.0000000000	0.00260334665561	0.0	0.0	False
fortunately advances 	0.0000000000	0.008491751039	0.0	1.0	False
cells 	0.0000000000	0.0042458755195	0.0	0.0	False
cancers 	0.0000000000	0.0042458755195	0.0	0.0	False
found as fragments 	0.0000000000	0.0	0.0	1.58496250072	False
adolescent education 	0.0000000000	0.008491751039	0.0	1.0	False
warts to invasive 	0.0000000000	0.0	0.0	1.58496250072	False
epithelial 	0.0000000000	0.0042458755195	0.0	0.0	False
gene functions 	0.0000000000	0.008491751039	0.0	0.0	False
education 	0.0000000000	0.00260334665561	0.0	0.0	False
physical 	0.0000000000	0.0042458755195	0.0	0.0	False
functions 	0.0000000000	0.00260334665561	0.0	0.0	False
rare carcinomas 	0.0000000000	0.008491751039	0.0	1.0	False
hpv 	1.0000000000	0.059442257273	0.0	0.0	False
epidermodysplasia 	0.0000000000	0.0042458755195	0.0	0.0	False
genome 	0.0000000000	0.008491751039	0.0	0.0	False
important 	0.0000000000	0.00781003996683	0.0	0.0	False
illness in children 	0.0000000000	0.0	0.0	1.58496250072	False
sequelae and prevention 	0.0000000000	0.0	0.0	1.58496250072	False
exposure 	0.0000000000	0.0042458755195	0.0	0.0	False
immunocompromised 	0.0000000000	0.0042458755195	0.0	0.0	False
partners markedly 	0.0000000000	0.008491751039	0.0	0.0	False
event for viral 	0.0000000000	0.0	0.0	1.58496250072	False
spectrum of epithelial 	0.0000000000	0.0	0.0	1.58496250072	False
age 	0.0000000000	0.00260334665561	0.0	0.0	False
hpv-related sequelae 	0.0000000000	0.008491751039	0.0	1.0	False
abnormal cell 	0.0000000000	0.008491751039	0.0	0.0	False
transmitted infectious diseases 	0.0000000000	0.0	0.0	1.58496250072	False
