keyphrase	dispersion	tfidf	cscore	keyword
cytomegalovirus 	0.0000000000	0.00785859416328	0.0	False
abnormal 	0.0000000000	0.0096369499006	0.0	False
mycobacterium avium-intracellulare 	0.0000000000	0.0157171883266	1.0	False
gastrointestinal tract 	0.0000000000	0.0096369499006	1.0	False
treponema 	0.0000000000	0.00785859416328	0.0	False
normal series 	0.0000000000	0.0157171883266	1.0	False
avium-intracellulare 	0.0000000000	0.00785859416328	0.0	False
series of biopsy 	0.0000000000	0.0	1.58496250072	False
normal 	0.0000000000	0.00608023842596	0.0	False
inflammation 	0.0000000000	0.00785859416328	0.0	False
glands 	0.0000000000	0.00785859416328	0.0	False
ferritin level 	0.0000000000	0.0157171883266	1.0	False
ultrastructural 	0.0000000000	0.0157171883266	0.0	False
common 	0.0000000000	0.00177835573732	0.0	False
aspirates yielded 	0.0000000000	0.0157171883266	1.0	False
men 	0.0000000000	0.00785859416328	0.0	False
vitamin 	0.0000000000	0.00785859416328	0.0	False
positive for candida 	0.0000000000	0.0	1.58496250072	False
serum ferritin 	0.0000000000	0.0157171883266	1.0	False
vitamin b12 levels 	0.0000000000	0.0	1.58496250072	False
microscopy revealed nonspecific 	0.0000000000	0.0	1.58496250072	False
hiv enteropathy 	0.0000000000	0.0	1.0	False
limits 	0.0000000000	0.0048184749503	0.0	False
similar ultrastructural 	0.0000000000	0.0157171883266	1.0	False
similar 	0.0000000000	0.0048184749503	0.0	False
study 	0.0000000000	0.00304011921298	0.0	False
carbohydrate absorption 	0.0000000000	0.0157171883266	1.0	False
patients had similar 	0.0000000000	0.0	1.58496250072	False
nonspecific lymphocytic 	0.0000000000	0.0157171883266	0.0	False
enteropathy 	0.0000000000	0.00785859416328	0.0	False
conclude 	0.0000000000	0.00785859416328	0.0	False
complete the study 	0.0000000000	0.0	1.58496250072	False
antrum 	0.0000000000	0.00785859416328	0.0	False
lymphocytic 	0.0000000000	0.00785859416328	0.0	False
erythrocyte 	0.0000000000	0.00785859416328	0.0	False
defects 	0.0000000000	0.00785859416328	0.0	False
determine 	0.0000000000	0.00785859416328	0.0	False
esophagus 	0.0000000000	0.0235757824898	0.0	False
mucosal absorption 	0.0000000000	0.0157171883266	1.0	False
findings 	0.0000000000	0.00785859416328	0.0	False
positive 	0.0000000000	0.00177835573732	0.0	False
due 	0.0000000000	0.0048184749503	0.0	False
immunodeficiency 	0.0000000000	0.0048184749503	0.0	False
results were abnormal 	0.0000000000	0.0	1.58496250072	False
function and structure 	0.0000000000	0.0	1.58496250072	False
test results 	0.0000000000	0.0157171883266	0.0	False
specimens 	0.0000000000	0.0157171883266	0.0	False
duodenal aspirates 	0.0000000000	0.0157171883266	1.0	False
pathogen 	0.0000000000	0.00785859416328	0.0	False
function 	0.0000000000	0.0048184749503	0.0	False
stomach 	0.0000000000	0.00785859416328	0.0	False
complete 	0.0000000000	0.0048184749503	0.0	False
xylose 	0.0000000000	0.00785859416328	0.0	False
revealed nonspecific 	0.0000000000	0.0157171883266	0.0	False
infection 	nan	0.0121604768519	0.0	False
defect 	0.0000000000	0.00785859416328	0.0	False
immunodeficiency virus 	0.0000000000	0.0096369499006	0.0	False
rectum 	0.0000000000	0.0235757824898	0.0	False
serum vitamin b12 	0.0000000000	0.0	1.58496250072	False
specimens were positive 	0.0000000000	0.0	1.58496250072	False
intestinal crypts 	0.0000000000	0.0157171883266	1.0	False
inflammation without infection 	0.0000000000	0.0	1.58496250072	False
infection and gastrointestinal 	0.0000000000	0.0	1.58496250072	False
patients 	nan	0.0273610729168	0.0	False
microscopy revealed 	0.0000000000	0.0157171883266	1.0	False
biochemical and endoscopic 	0.0000000000	0.0	1.58496250072	False
biochemical 	0.0000000000	0.00785859416328	0.0	False
serum ferritin level 	0.0000000000	0.0	1.58496250072	False
conclude that abnormal 	0.0000000000	0.0	1.58496250072	False
helicobacter 	0.0000000000	0.00785859416328	0.0	False
hiv-positive 	0.0000000000	0.0157171883266	0.0	False
mycobacterium 	0.0000000000	0.00785859416328	0.0	False
structure in hiv-positive 	0.0000000000	0.0	1.58496250072	False
xylose absorption test 	0.0000000000	0.0	1.58496250072	False
carbohydrate 	0.0000000000	0.00785859416328	0.0	False
vitamin b12 	0.0000000000	0.0157171883266	0.0	False
examined 	0.0000000000	0.00785859416328	0.0	False
aspects of hiv 	0.0000000000	0.0	1.58496250072	False
biopsy specimens 	0.0000000000	0.0314343766531	2.0	False
intestine 	0.0000000000	0.0048184749503	0.0	False
absorption test 	0.0000000000	0.0157171883266	0.0	False
patients with gastrointestinal 	0.0000000000	0.0	1.58496250072	False
lymphocytic inflammation 	0.0000000000	0.0157171883266	0.0	False
serum 	0.0000000000	0.0157171883266	0.0	False
hiv 	0.0000000000	0.00785859416328	0.0	False
candida albicans 	0.0000000000	0.0157171883266	1.0	False
duodenal aspirates yielded 	0.0000000000	0.0	1.58496250072	False
responsible 	0.0000000000	0.00785859416328	0.0	False
elevated 	0.0000000000	0.00785859416328	0.0	False
b12 	0.0000000000	0.00785859416328	0.0	False
test 	0.0000000000	0.0048184749503	0.0	False
helicobacter pylori 	0.0000000000	0.0157171883266	1.0	False
aspirates 	0.0000000000	0.00785859416328	0.0	False
gastrointestinal tract infection 	0.0000000000	0.0	1.58496250072	False
level was elevated 	0.0000000000	0.0	1.58496250072	False
gastrointestinal symptoms 	0.0000000000	0.0314343766531	2.0	False
epithelial-stromal 	0.0000000000	0.00785859416328	0.0	False
pylori 	0.0000000000	0.00785859416328	0.0	False
light microscopy revealed 	0.0000000000	0.0	1.58496250072	False
xylose absorption 	0.0000000000	0.0157171883266	0.0	False
virus 	0.0000000000	0.0048184749503	0.0	False
levels 	0.0000000000	0.0048184749503	0.0	False
two 	nan	0.0	0.0	False
tract 	0.0000000000	0.0048184749503	0.0	False
absorption and ultrastructural 	0.0000000000	0.0	1.58496250072	False
yielded a pathogen 	0.0000000000	0.0	1.58496250072	False
revealed 	0.0000000000	0.0048184749503	0.0	False
structure 	0.0000000000	0.0048184749503	0.0	False
duodenum 	0.0000000000	0.00785859416328	0.0	False
symptoms were due 	0.0000000000	0.0	1.58496250072	False
erythrocyte folate 	0.0000000000	0.0157171883266	1.0	False
light 	0.0000000000	0.0048184749503	0.0	False
findings are common 	0.0000000000	0.0	1.58496250072	False
defects in carbohydrate 	0.0000000000	0.0	1.58496250072	False
aspects 	0.0000000000	0.0048184749503	0.0	False
treponema infection 	0.0000000000	0.0157171883266	1.0	False
nonspecific 	0.0000000000	0.00785859416328	0.0	False
epithelial-stromal junction 	0.0000000000	0.0157171883266	1.0	False
endoscopic findings 	0.0000000000	0.0157171883266	1.0	False
endoscopic 	0.0000000000	0.00785859416328	0.0	False
