peter baer galvin::peter baer galvin
single mode bit::single mode bit
bit * cpus::bit * cpus
cpus that support::cpus that support
virtual machine manager::virtual machine manager
system the vmm::system the vmm
privileges than ordinary::privileges than ordinary
ordinary user programs::ordinary user programs
kernel * system::kernel * system
form of software::form of software
hardware s interrupt::hardware s interrupt
handler to transfer::handler to transfer
switching the mode::switching the mode
bit to kernel::bit to kernel
process the interrupt::process the interrupt
interrupt handler checks::interrupt handler checks
interrupt was generated::interrupt was generated
checks additional parameters::checks additional parameters
passed through registers::passed through registers
kernel service routine::kernel service routine
routine to handle::routine to handle
handle the service::handle the service
call * user::call * user
programs  attempts::programs  attempts
attempts to execute::attempts to execute
execute illegal instructions::execute illegal instructions
privileged or non-existent::privileged or non-existent
access forbidden memory::access forbidden memory
forbidden memory areas::forbidden memory areas
generate software interrupts::generate software interrupts
handler and control::handler and control
control is transferred::control is transferred
possibly dumps data::possibly dumps data
terminates the offending::terminates the offending
program 1.5.2 timer::program 1.5.2 timer
kernel begins executing::kernel begins executing
begins executing user::begins executing user
executing user code::executing user code
timer is set::timer is set
set to generate::set to generate
generate an interrupt::generate an interrupt
timer interrupt handler::timer interrupt handler
interrupt handler reverts::interrupt handler reverts
handler reverts control::handler reverts control
system * timer::system * timer
requiring kernel mode::requiring kernel mode
creating and deleting::creating and deleting
deleting both user::deleting both user
user and system::user and system
processes * ensuring::processes * ensuring
processes * suspending::processes * suspending
suspending and resuming::suspending and resuming
processes * process::processes * process
synchronization and communication::synchronization and communication
communication * deadlock::communication * deadlock
blocks of memory::blocks of memory
processes * determining::processes * determining
determining which blocks::determining which blocks
blocks of code::blocks of code
code and data::code and data
data to move::data to move
out of memory::out of memory
allocating and deallocating::allocating and deallocating
memory as needed::memory as needed
management 1.8.1 file-system::management 1.8.1 file-system
1.8.1 file-system management::1.8.1 file-system management
files and directories::files and directories
directories * supporting::directories * supporting
primitives for manipulating::primitives for manipulating
files onto secondary::files onto secondary
storage * backing::storage * backing
backing up files::backing up files
files onto stable::files onto stable
stable permanent storage::stable permanent storage
permanent storage media::permanent storage media
media 1.8.2 mass-storage::media 1.8.2 mass-storage
1.8.2 mass-storage management::1.8.2 mass-storage management
free disk space::free disk space
disk space management::disk space management
management * storage::management * storage
allocation * disk::allocation * disk
disk scheduling note::disk scheduling note
note the trade-offs::note the trade-offs
trade-offs regarding size::trade-offs regarding size
mass storage devices::mass storage devices
including floppy disks::including floppy disks
smaller higher-speed storage::smaller higher-speed storage
higher-speed storage space::higher-speed storage space
storage space serves::storage space serves
frequently needed portions::frequently needed portions
portions of larger::portions of larger
larger slower storage::larger slower storage
slower storage areas::slower storage areas
hierarchy of memory::hierarchy of memory
memory storage ranges::memory storage ranges
ranges from cpu::ranges from cpu
registers to hard::registers to hard
drives and external::drives and external
responsible for determining::responsible for determining
determining what information::determining what information
information to store::information to store
level of cache::level of cache
choice of cache::choice of cache
impact on system::impact on system
performance * data::performance * data
drive to main::drive to main
data being written::data being written
path each step::path each step
fetch more data::fetch more data
cache the excess::cache the excess
excess in order::excess in order
order to satisfy::order to satisfy
satisfy future requests::satisfy future requests
future requests faster::future requests faster
faster for writing::faster for writing
amounts of data::amounts of data
fill an entire::fill an entire
entire " block::entire " block
complicated when multiple::complicated when multiple
worse multiple computers::worse multiple computers
access common data::access common data
important to ensure::important to ensure
1.8.4 i systems::1.8.4 -NONE- systems
i subsystem consists::NNP subsystem consists
component that includes::component that includes
general device-driver interface::general device-driver interface
interface * drivers::interface * drivers
drivers for specific::drivers for specific
specific hardware devices::specific hardware devices
unix implements multiple::unix implements multiple
implements multiple device::implements multiple device
multiple device interfaces::multiple device interfaces
types of devices::types of devices
accessing the device::accessing the device
character by character::character by character
block by block::block by block
doing a long::doing a long
size " field::size " field
major and minor::major and minor
minor device numbers::minor device numbers
major number signifies::major number signifies
signifies which device::signifies which device
device driver handles::device driver handles
block or character::block or character
options usually differ::options usually differ
security * protection::security * protection
protection involves ensuring::protection involves ensuring
interfere with resources::interfere with resources
e.g " protection::e.g " protection
variables are misused::variables are misused
security involves protecting::security involves protecting
protecting the system::protecting the system
system from deliberate::system from deliberate
attempting to gain::attempting to gain
gain unauthorized access::gain unauthorized access
access and privileges::access and privileges
external attackers attempting::external attackers attempting
attempting to access::attempting to access
access or damage::access or damage
damage the system::damage the system
kernel data structures::kernel data structures
structures 1.10.4 bitmaps::structures 1.10.4 bitmaps
collection of objects::collection of objects
state of blocks::state of blocks
disk or pages::disk or pages
pages in memory::pages in memory
environments 1.11.1 traditional::environments 1.11.1 traditional
1.11.1 traditional computing::1.11.1 traditional computing
computing 1.11.2 mobile::computing 1.11.2 mobile
1.11.2 mobile computing::1.11.2 mobile computing
computing * computing::computing * computing
computing on small::computing on small
small handheld devices::small handheld devices
phones or tablets::phones or tablets
opposed to laptops::opposed to laptops
fall under traditional::fall under traditional
advantage of additional::advantage of additional
additional built-in sensors::additional built-in sensors
internet using wireless::internet using wireless
cellular telephone technology::cellular telephone technology
technology * limited::technology * limited
limited in storage::limited in storage
computing power relative::computing power relative
generally uses slower::generally uses slower
consume less battery::consume less battery
power and produce::power and produce
produce less heat::produce less heat
two dominant oses::two dominant oses
dominant oses today::dominant oses today
today are google::today are google
android and apple::android and apple
ios 1.11.3 distributed::ios 1.11.3 distributed
1.11.3 distributed systems::1.11.3 distributed systems
systems * distributed::systems * distributed
distributed systems consist::distributed systems consist
consist of multiple::consist of multiple
network and cooperating::network and cooperating
fashion * networks::fashion * networks
networks may range::networks may range
range from small::range from small
small tight lans::small tight lans
lans to broad::lans to broad
broad reaching wans::broad reaching wans
wans o wan::wans o wan
wan = wide::wan = wide
wide area network::wide area network
corporation o man::corporation o man
man = metropolitan::man = metropolitan
metropolitan area network::metropolitan area network
covering a region::covering a region
region the size::region the size
lan = local::lan = local
local area network::local area network
campus o pan::campus o pan
pan = personal::pan = personal
personal area network::personal area network
network access speeds::network access speeds
network may range::network may range
form of file::form of file
access to complex::access to complex
complex well-coordinated network::complex well-coordinated network
well-coordinated network operating::well-coordinated network operating
network operating systems::network operating systems
systems * shared::systems * shared
resources may include::resources may include
resources 1.11.4 client-server::resources 1.11.4 client-server
1.11.4 client-server computing::1.11.4 client-server computing
server provides services::server provides services
systems which serve::systems which serve
serve as clients::serve as clients
clients and servers::clients and servers
servers are processes::servers are processes
process may act::process may act
client and server::client and server
resources * served::resources * served
include disk space::include disk space
system 1.11.5 peer-to-peer::system 1.11.5 peer-to-peer
1.11.5 peer-to-peer computing::1.11.5 peer-to-peer computing
computer or process::computer or process
network may provide::network may provide
clear " leader::clear " leader
employ a central::employ a central
central " directory::central " directory
directory " server::directory " server
location of resources::location of resources
searching to find::searching to find
resources * e.g::resources * e.g
server to locate::server to locate
locate a desired::locate a desired
communication is peer::communication is peer
peer to peer::peer to peer
service 1.11.6 virtualization::service 1.11.6 virtualization
guest " operating::guest " operating
systems to run::systems to run
run on virtual::run on virtual
virtual machines hosted::virtual machines hosted
single physical machine::single physical machine
development and support::development and support
student could run::student could run
windows based personal::windows based personal
based personal computer::based personal computer
computer the student::computer the student
full root access::full root access
underlying windows machine::underlying windows machine
unaffected * system::unaffected * system
vmm and translated::vmm and translated
system calls made::system calls made
virtualization can slow::virtualization can slow
slow down program::slow down program
things if virtual::things if virtual
device * depending::device * depending
bypassing the virtual::bypassing the virtual
virtual machines figure::virtual machines figure
system using vmware::system using vmware
follow these steps::follow these steps
download the free::download the free
free " vmware::free " vmware
player " tool::player " tool
tool from http::tool from http
choose a linux::choose a linux
hundreds of virtual::hundreds of virtual
virtual machine images::virtual machine images
images at http::images at http
boot the virtual::boot the virtual
machine within vmware::machine within vmware
player 1.11.7 cloud::player 1.11.7 cloud
1.11.7 cloud computing::1.11.7 cloud computing
computing * delivers::computing * delivers
network * types::network * types
types of cloud::types of cloud
service o private::service o private
company for internal::company for internal
public and private::public and private
components o software::components o software
internet o platform::internet o platform
server o infrastructure::server o infrastructure
servers or storage::servers or storage
storage o service::storage o service
providers may provide::providers may provide
type of service::type of service
service * clouds::service * clouds
thousands of physical::thousands of physical
millions of virtual::millions of virtual
petabytes of total::petabytes of total
storage * web::storage * web
web hosting services::web hosting services
services may offer::services may offer
computing 1.11.8 real-time::computing 1.11.8 real-time
1.11.8 real-time embedded::1.11.8 real-time embedded
real-time embedded systems::real-time embedded systems
systems * embedded::systems * embedded
embedded into devices::embedded into devices
climate control systems::climate control systems
toasters and refrigerators::toasters and refrigerators
involve specialized chips::involve specialized chips
generic cpus applied::generic cpus applied
simple electronic devices::simple electronic devices
process control devices::process control devices
control devices require::control devices require
devices require real-time::devices require real-time
open-source operating systems::open-source operating systems
flourish conference held::flourish conference held
held at uic::held at uic
subject of free::subject of free
libre and open::libre and open
open source software::open source software
software is published::software is published
modify the code::modify the code
code * open-source::code * open-source
developed and maintained::developed and maintained
connected often unpaid::connected often unpaid
good * critics::good * critics
argue that open-source::argue that open-source
counter that bugs::counter that bugs
bugs are found::bugs are found
found and fixed::found and fixed
pairs of eyes::pairs of eyes
resource for studying::resource for studying
studying os development::studying os development
students can examine::students can examine
examine the source::examine the source
lot of code::lot of code
code was open-source::code was open-source
protect the privacy::protect the privacy
copyright protection algorithms::copyright protection algorithms
richard stallman started::richard stallman started
started the gnu::started the gnu
project to produce::project to produce
produce an open-source::produce an open-source
published the gnu::published the gnu
founded the free::founded the free
free software foundation::free software foundation
foundation to promote::foundation to promote
promote open-source development::promote open-source development
development * fsf::development * fsf
fsf and gnu::fsf and gnu
gnu general public::gnu general public
general public license::general public license
software have full::software have full
rights to copy::rights to copy
copy and change::copy and change
linux * developed::linux * developed
developed by linus::developed by linus
torvalds in finland::torvalds in finland
first full operating::first full operating
full operating system::full operating system
operating system developed::operating system developed
developed by gnu::developed by gnu
distributions of linux::distributions of linux
linux have evolved::linux have evolved
evolved from linus::evolved from linus
linus s original::linus s original
group of end-users::group of end-users
end-users and operating::end-users and operating
player 1.12.3 bsd::player 1.12.3 bsd
1.12.3 bsd unix::1.12.3 bsd unix
unix * unix::unix * unix
developed at att::developed at att
att bell labs::att bell labs
source code made::source code made
computer science students::computer science students
including the university::including the university
university of california::university of california
california at berkeley::california at berkeley
ucb * ucb::ucb * ucb
ucb students developed::ucb students developed
students developed unix::students developed unix
released their product::released their product
product as bsd::product as bsd
binary and source-code::binary and source-code
format * bsd::format * bsd
needed from att::needed from att
versions of bsd::versions of bsd
including free bsd::including free bsd
code is located::code is located
mac operating system::mac operating system
system is darwin::system is darwin
derived from bsd::derived from bsd
solaris * solaris::solaris * solaris
unix operating system::unix operating system
system for computers::system for computers
computers from sun::computers from sun
microsystems * solaris::microsystems * solaris
based on bsd::based on bsd
migrated to att::migrated to att
basis * parts::basis * parts
parts of solaris::parts of solaris
covered by att::covered by att
change the open-source::change the open-source
components of solaris::components of solaris
portions of solaris::portions of solaris
solaris * open::solaris * open
source code online::source code online
download and unpack::download and unpack
unpack the entire::unpack the entire
package 1.13.5 utility::package 1.13.5 utility
free software movement::free software movement
movement is gaining::movement is gaining
rapidly in popularity::rapidly in popularity
leading to thousands::leading to thousands
thousands of ongoing::thousands of ongoing
ongoing projects involving::ongoing projects involving
projects involving untold::projects involving untold
involving untold numbers::involving untold numbers
numbers of programmers::numbers of programmers
programmers * sites::programmers * sites
summary operating-system structures::summary operating-system structures
operating-system structures references::operating-system structures references
systems are structured::systems are structured
structured and organized::structured and organized
organized different design::organized different design
issues and choices::issues and choices
choices are examined::choices are examined
examined and compared::examined and compared
oses are presented::oses are presented
operating-system services figure::operating-system services figure
view of operating::view of operating
operating system services::operating system services
system services oses::system services oses
services oses provide::services oses provide
oses provide environments::oses provide environments
users can issue::users can issue
batch command systems::batch command systems
generally older systems::generally older systems
systems using punch::systems using punch
cards of job-control::cards of job-control
today for specialty::today for specialty
specialty systems designed::specialty systems designed
purpose * program::purpose * program
load a program::load a program
program into ram::program into ram
run the program::run the program
terminate the program::terminate the program
responsible for transferring::responsible for transferring
devices * file-system::devices * file-system
addition to raw::addition to raw
raw data storage::raw data storage
responsible for maintaining::responsible for maintaining
directory and subdirectory::directory and subdirectory
mapping file names::mapping file names
names to specific::names to specific
blocks of data::blocks of data
tools for navigating::tools for navigating
navigating and utilizing::navigating and utilizing
utilizing the file::utilizing the file
system * communications::system * communications
running on separate::running on separate
processors or separate::processors or separate
memory or message::memory or message
systems may offer::systems may offer
hardware and software::hardware and software
detected and handled::detected and handled
minimum of harmful::minimum of harmful
repercussions some systems::repercussions some systems
systems may include::systems may include
include complex error::include complex error
complex error avoidance::complex error avoidance
avoidance or recovery::avoidance or recovery
redundant systems debugging::redundant systems debugging
debugging and diagnostic::debugging and diagnostic
diagnostic tools aid::diagnostic tools aid
tools aid users::tools aid users
users and administrators::users and administrators
administrators in tracing::administrators in tracing
problems other systems::problems other systems
e.g cpu cycles::e.g cpu cycles
devices some resources::devices some resources
resources are managed::resources are managed
managed with generic::managed with generic
specially tuned systems::specially tuned systems
resource and operating::resource and operating
environment * accounting::environment * accounting
track of system::track of system
activity and resource::activity and resource
statistical record keeping::statistical record keeping
optimize future performance::optimize future performance
performance * protection::performance * protection
wayward internal processes::wayward internal processes
processes or malicious::processes or malicious
malicious outsiders authentication::malicious outsiders authentication
access are obvious::access are obvious
system highly secure::system highly secure
highly secure systems::highly secure systems
systems may log::systems may log
log all process::log all process
security regulation dictate::security regulation dictate
dictate the storage::dictate the storage
records on permanent::records on permanent
permanent non-erasable medium::permanent non-erasable medium
medium for extended::medium for extended
times in secure::times in secure
user operating-system interface::user operating-system interface
interface 2.2.1 command::interface 2.2.1 command
2.2.1 command interpreter::2.2.1 command interpreter
launches the requested::launches the requested
program that launches::program that launches
accesses the system::accesses the system
system * unix::system * unix
configured to launch::configured to launch
automatically at login::automatically at login
file of initial::file of initial
settings and commands::settings and commands
executed upon startup::executed upon startup
provide different functionality::provide different functionality
shell without launching::shell without launching
launching any external::launching any external
programs most provide::programs most provide
rudimentary command interpretation::rudimentary command interpretation
command interpretation structure::command interpretation structure
shell script programming::shell script programming
processing of wild::processing of wild
wild card file::wild card file
card file naming::card file naming
re-direction on unix::re-direction on unix
systems those details::systems those details
details are handled::details are handled
list of filenames::list of filenames
cards are passed::cards are passed
interpret the wild::interpret the wild
program sees fit::program sees fit
sees fit figure::sees fit figure
bourne shell command::bourne shell command
shell command interpreter::shell command interpreter
interpreter in solaris::interpreter in solaris
2.2.2 graphical user::2.2.2 graphical user
graphical user interface::graphical user interface
icons * icons::icons * icons
represent some item::represent some item
icon is activated::icon is activated
xerox parc research::xerox parc research
parc research facility::parc research facility
systems the gui::systems the gui
end for activating::end for activating
activating a traditional::activating a traditional
traditional command line::traditional command line
command line interpreter::command line interpreter
line interpreter running::line interpreter running
true graphical shell::true graphical shell
right * mac::right * mac
advent of osx::advent of osx
partially on unix::partially on unix
command line interface::command line interface
mice and keyboards::mice and keyboards
keyboards are impractical::keyboards are impractical
impractical for small::impractical for small
small mobile devices::small mobile devices
touch-screen interface today::touch-screen interface today
patterns of swipes::patterns of swipes
today a virtual::today a virtual
touch screen figure::touch screen figure
touchscreen 2.2.3 choice::touchscreen 2.2.3 choice
choice of interface::choice of interface
systems allow individual::systems allow individual
users to select::users to select
select their desired::select their desired
customize its operation::customize its operation
ability to switch::ability to switch
interfaces as needed::interfaces as needed
needed system administrators::needed system administrators
administrators generally determine::administrators generally determine
determine which interface::determine which interface
interface a user::interface a user
interfaces usually provide::interfaces usually provide
provide an option::provide an option
terminal emulator window::terminal emulator window
window for entering::window for entering
entering command-line commands::entering command-line commands
commands * command-line::commands * command-line
entered into shell::entered into shell
calls * system::calls * system
system calls provide::system calls provide
provide a means::provide a means
means for user::means for user
user or application::user or application
programs to call::programs to call
assembly for optimal::assembly for optimal
performance * figure::performance * figure
illustrates the sequence::illustrates the sequence
sequence of system::sequence of system
system calls required::system calls required
required to copy::required to copy
copy a file::copy a file
number of system::number of system
system calls invoked::system calls invoked
single simple command::single simple command
simple command read::simple command read
read the man::read the man
page for strace::page for strace
strace mkdir temp::strace mkdir temp
strace cd temp::strace cd temp
date > t.t::date > t.t
strace cp t.t::strace cp t.t
low-level system calls::low-level system calls
application programming interface::application programming interface
shows the read::shows the read
api on unix::api on unix
unix based systems::unix based systems
direct system calls::direct system calls
greater program portability::greater program portability
systems the api::systems the api
api then makes::api then makes
system call interface::system call interface
lookup to access::lookup to access
access specific numbered::access specific numbered
specific numbered system::specific numbered system
numbered system calls::numbered system calls
shown in figure::shown in figure
user application invoking::user application invoking
invoking the open::invoking the open
call * parameters::call * parameters
passed to system::passed to system
calls via registers::calls via registers
stack large blocks::stack large blocks
memory address passed::memory address passed
passing of parameters::passing of parameters
types of system::types of system
calls six major::calls six major
outlined in figure::outlined in figure
standard library calls::standard library calls
generate system calls::generate system calls
2.4.1 process control::2.4.1 process control
control * process::control * process
process control system::process control system
control system calls::control system calls
system calls include::system calls include
calls include end::calls include end
allocate and free::allocate and free
memory * processes::memory * processes
resumed,and eventually stopped::resumed,and eventually stopped
pauses or stops::pauses or stops
launched or resumed::launched or resumed
provide core dumps::provide core dumps
diagnostic or recovery::diagnostic or recovery
tools * compare::tools * compare
process is launched::process is launched
launched in dos::launched in dos
interpreter first unloads::interpreter first unloads
free up memory::free up memory
loads the process::loads the process
process and transfers::process and transfers
process has completed::process has completed
running a program::running a program
command interpreter remains::command interpreter remains
remains completely resident::remains completely resident
resident when executing::resident when executing
executing a process::executing a process
user can switch::user can switch
place the running::place the running
interpreter first executes::interpreter first executes
fork " system::fork " system
original command interpreter::original command interpreter
interpreter the original::interpreter the original
process then executes::process then executes
exec " system::exec " system
replaces its code::replaces its code
child to complete::child to complete
complete before issuing::complete before issuing
process to complete::process to complete
freebsd running multiple::freebsd running multiple
running multiple programs::running multiple programs
programs 2.4.2 file::programs 2.4.2 file
2.4.2 file management::2.4.2 file management
management * file::management * file
file management system::file management system
management system calls::management system calls
calls include create::calls include create
include create file::include create file
set file attributes::set file attributes
supported for directories::supported for directories
actual directory structure::actual directory structure
implemented using ordinary::implemented using ordinary
means further details::means further details
covered in chapters::covered in chapters
2.4.3 device management::2.4.3 device management
management * device::management * device
device management system::device management system
calls include request::calls include request
include request device::include request device
devices * devices::devices * devices
e.g disk drives::e.g disk drives
systems represent devices::systems represent devices
devices as special::devices as special
file " calls::file " calls
system 2.4.4 information::system 2.4.4 information
2.4.4 information maintenance::2.4.4 information maintenance
maintenance * information::maintenance * information
information maintenance system::information maintenance system
maintenance system calls::maintenance system calls
calls include calls::calls include calls
attributes * systems::attributes * systems
provide the ability::provide the ability
ability to dump::ability to dump
single step programs::single step programs
step programs pausing::step programs pausing
programs pausing execution::programs pausing execution
tracing the operation::tracing the operation
operation of programs::operation of programs
programs 2.4.5 communication::programs 2.4.5 communication
communication * communication::communication * communication
communication system calls::communication system calls
calls create communication::calls JJ communication
transfer status information::transfer status information
message passing model::message passing model
model must support::model must support
identify a remote::identify a remote
process and host::process NN host
communicate o establish::communicate o establish
establish a connection::establish a connection
processes o open::processes o open
open and close::open and close
close the connection::close the connection
connection as needed::connection as needed
needed o transmit::needed o transmit
connection o wait::connection o wait
wait for incoming::wait for incoming
blocking or non-blocking::blocking or non-blocking
state o delete::state o delete
delete the connection::delete the connection
shared memory model::shared memory model
create and access::create and access
shared amongst processes::shared amongst processes
provide locking mechanisms::provide locking mechanisms
locking mechanisms restricting::locking mechanisms restricting
mechanisms restricting simultaneous::mechanisms restricting simultaneous
restricting simultaneous access::restricting simultaneous access
access o free::access o free
free up shared::free up shared
and dynamically allocate::-NONE- dynamically allocate
needed * message::needed * message
passing is simpler::passing is simpler
simpler and easier::simpler and easier
data * shared::data * shared
approach where large::approach where large
processes are reading::processes are reading
reading the data::reading the data
number of processes::number of processes
protection * protection::protection * protection
protection provides mechanisms::protection provides mechanisms
mechanisms for controlling::mechanisms for controlling
controlling which users::controlling which users
processes have access::processes have access
resources * system::resources * system
adjusted as needed::adjusted as needed
granted elevated access::granted elevated access
elevated access permissions::elevated access permissions
carefully controlled temporary::carefully controlled temporary
controlled temporary circumstances::controlled temporary circumstances
concern on multi-user::concern on multi-user
age of ubiquitous::age of ubiquitous
ubiquitous network connectivity::ubiquitous network connectivity
programs * system::programs * system
system programs provide::system programs provide
provide os functionality::provide os functionality
functionality through separate::functionality through separate
kernel or command::kernel or command
utilities or system::utilities or system
systems also ship::systems also ship
calculators and simple::calculators and simple
border between system::border between system
system and non-system::system and non-system
applications * system::applications * system
programs to create::programs to create
generally manipulate files::generally manipulate files
directories o status::directories o status
utilities to check::utilities to check
number of users::number of users
store and recall::store and recall
recall configuration information::recall configuration information
applications o file::applications o file
e.g text editors::e.g text editors
change file contents::change file contents
contents o programming-language::contents o programming-language
library archive management::library archive management
interpreters for common::interpreters for common
support for make::support for make
make o program::make o program
loading and execution::loading and execution
debuggers o communications::debuggers o communications
programs for providing::programs for providing
connectivity between processes::connectivity between processes
processes and users::processes and users
remote command execution::remote command execution
execution o background::execution o background
system is booted::system is booted
system is running::system is running
handling necessary services::handling necessary services
services examples include::services examples include
examples include network::examples include network
include network daemons::include network daemons
system error monitoring::system error monitoring
error monitoring services::error monitoring services
operating systems today::operating systems today
set of application::set of application
programs to provide::programs to provide
provide additional services::provide additional services
files or checking::files or checking
users  views::users  views
system is determined::system is determined
make system calls::make system calls
exception of simple::exception of simple
design and implementation::design and implementation
implementation 2.6.1 design::implementation 2.6.1 design
2.6.1 design goals::2.6.1 design goals
goals * requirements::goals * requirements
requirements define properties::requirements define properties
step in designing::step in designing
designing any large::designing any large
large complex system::large complex system
system o user::system o user
requirements are features::requirements are features
features that users::features that users
commonly understood vernacular::commonly understood vernacular
include any implementation::include any implementation
box o system::box o system
requirements are written::requirements are written
include more details::include more details
details about implementation::details about implementation
developers and subcontractors::developers and subcontractors
detailed * requirements::detailed * requirements
requirements for operating::requirements for operating
systems can vary::systems can vary
vary greatly depending::vary greatly depending
scope and usage::scope and usage
mechanisms and policies::mechanisms and policies
policies * policies::policies * policies
done mechanisms determine::done mechanisms determine
separated and implemented::separated and implemented
adjusted without re-writing::adjusted without re-writing
re-writing the code::re-writing the code
loading new data::loading new data
priority of background::priority of background
background versus foreground::background versus foreground
versus foreground tasks::versus foreground tasks
tasks 2.6.3 implementation::tasks 2.6.3 implementation
oses were written::oses were written
language this provided::language this provided
provided direct control::provided direct control
control over hardware-related::control over hardware-related
platform * recent::platform * recent
advances in compiler::advances in compiler
oses are written::oses are written
sections of code::sections of code
fine-tuned and optimized::fine-tuned and optimized
optimized by hand::optimized by hand
developed using emulators::developed using emulators
hardware is unavailable::hardware is unavailable
e.g not built::e.g not built
platform for development::platform for development
e.g smart phones::e.g smart phones
structure for efficient::structure for efficient
performance and implementation::performance and implementation
partitioned into separate::partitioned into separate
carefully defined tasks::carefully defined tasks
characteristics these subsystems::characteristics these subsystems
2.7.1 simple structure::2.7.1 simple structure
structure when dos::structure when dos
written its developers::written its developers
idea how big::idea how big
big and important::big and important
benefit of modern::benefit of modern
modern software engineering::modern software engineering
software engineering techniques::software engineering techniques
exceed its original::exceed its original
break the system::break the system
system into subsystems::system into subsystems
distinction between user::distinction between user
user and kernel::user and kernel
allowing all programs::allowing all programs
programs direct access::programs direct access
note that user::note that user
user versus kernel::user versus kernel
versus kernel mode::versus kernel mode
nt an option::nt an option
ms-dos layer structure::ms-dos layer structure
structure the original::structure the original
simple layered approach::simple layered approach
traditional unix system::traditional unix system
unix system structure::unix system structure
structure 2.7.2 layered::structure 2.7.2 layered
2.7.2 layered approach::2.7.2 layered approach
number of smaller::number of smaller
developed and debugged::developed and debugged
trusted to deliver::trusted to deliver
deliver proper services::deliver proper services
problem is deciding::problem is deciding
deciding what order::deciding what order
place the layers::place the layers
layer can call::layer can call
situations may arise::situations may arise
arise * layered::arise * layered
request for service::request for service
possibly with significant::possibly with significant
layered operating system::layered operating system
system 2.7.3 microkernels::system 2.7.3 microkernels
idea behind micro::idea behind micro
remove all non-essential::remove all non-essential
making the kernel::making the kernel
kernel as small::kernel as small
