computer networks prof::computer networks prof
actual data transfer::actual data transfer
reliable the byte-stream::reliable the byte-stream
byte-stream is broken::byte-stream is broken
segments the receiver::segments the receiver
receiver sends acknowledgements::receiver sends acknowledgements
acknowledgements for segments::acknowledgements for segments
reliability is brought::reliability is brought
segment is acknowledged::segment is acknowledged
acknowledged tcp maintains::acknowledged tcp maintains
maintains a timer::maintains a timer
segment is retransmitted::segment is retransmitted
mechanism for reliability::mechanism for reliability
reliability the sender::reliability the sender
sends a packet::sends a packet
lost and sends::lost and sends
sends the packet::sends the packet
packet again hoping::packet again hoping
reach the receiver::reach the receiver
receiver will send::receiver will send
send the acknowledgement::send the acknowledgement
lead to duplicate::lead to duplicate
receiver has received::receiver has received
acknowledgement got lost::acknowledgement got lost
naturally the original::naturally the original
receive any acknowledgement::receive any acknowledgement
tcp can detect::tcp can detect
detect errors tcp::detect errors tcp
tcp has checksum::tcp has checksum
checksum for header::checksum for header
header and data::header and data
data like udp::data like udp
segment with invalid::segment with invalid
checksums are discarded::checksums are discarded
discarded each byte::discarded each byte
intermediate sequence number::intermediate sequence number
number is missing::number is missing
missing the receiver::missing the receiver
lower layers tcp::lower layers tcp
layers tcp handles::layers tcp handles
tcp handles data::tcp handles data
data in blocks::data in blocks
packets actually originate::packets actually originate
higher layer tcp::higher layer tcp
layer tcp handles::layer tcp handles
sequence of bytes::sequence of bytes
boundaries between bytes::boundaries between bytes
beginning and end::beginning and end
end of segments::end of segments
stream of bytes::stream of bytes
queues are bytes::queues are bytes
queue of bytes::queue of bytes
unit of data::unit of data
transfer between devices::transfer between devices
devices using tcp::devices using tcp
bytes of option::bytes of option
protocol to run::protocol to run
bit source port::bit source port
source port address::source port address
bit destination port::bit destination port
destination port address::destination port address
options like window::options like window
options and padding::options and padding
processes actually communicate::processes actually communicate
communicate through ports::communicate through ports
address together form::address together form
form the socket::form the socket
identifies every session::identifies every session
sides two port::sides two port
two port numbers::two port numbers
numbers are assigned::numbers are assigned
assigned for standard::assigned for standard
applications the first::applications the first
communication will start::communication will start
start on well-known::start on well-known
well-known port number::well-known port number
switch to ephemeral::switch to ephemeral
ephemeral port numbers::ephemeral port numbers
address that defines::address that defines
defines the port::defines the port
sending the segment::sending the segment
bits the port::bits the port
port numbers destination::port numbers destination
numbers destination port::numbers destination port
port address defines::port address defines
receiving the segment::receiving the segment
number it defines::number it defines
defines the number::defines the number
byte of data::byte of data
segment during connection::segment during connection
establishment a random::establishment a random
random number generator::random number generator
create an initial::create an initial
initial sequence number::initial sequence number
number of bits::number of bits
number was small::number was small
starts it sends::starts it sends
sends the number::sends the number
finite length sequence::finite length sequence
length sequence number::length sequence number
back and starts::back and starts
starts these numbers::starts these numbers
small segment size::small segment size
similarly other kinds::similarly other kinds
kinds of confusion::kinds of confusion
confusion might arise::confusion might arise
large sequence number::large sequence number
number is generated::number is generated
receiving very high::receiving very high
low sequence numbers::low sequence numbers
range of sequence::range of sequence
number and random::number and random
generate the initial::generate the initial
number this initial::number this initial
sequence is expected::sequence is expected
isn is exchanged::isn is exchanged
similarly these segments::similarly these segments
stream of acknowledgements::stream of acknowledgements
number will start::number will start
set up phase::set up phase
large it defines::large it defines
defines the byte::defines the byte
segment is expecting::segment is expecting
expecting to receive::expecting to receive
length the header::length the header
bits for future::bits for future
flags it defines::flags it defines
controls flags urg::controls flags urg
flags urg defines::flags urg defines
defines the urgent::defines the urgent
pointer which determines::pointer which determines
pointer is valid::pointer is valid
valid the urgent::valid the urgent
urgent pointer field::urgent pointer field
garbage ack tells::garbage ack tells
tells whether acknowledgement::tells whether acknowledgement
acknowledgement is valid::acknowledgement is valid
request for push::request for push
resetting the connection::resetting the connection
synchronize sequence number::synchronize sequence number
number and fin::number and fin
terminate these connections::terminate these connections
connections these flags::connections these flags
termination of connections::termination of connections
bit which defines::bit which defines
defines the size::defines the size
window in bytes::window in bytes
party must maintain::party must maintain
sort of controlled::sort of controlled
receiver the receiver::receiver the receiver
bits the checksum::bits the checksum
flag is set::flag is set
set it defines::set it defines
number to determine::number to determine
determine the last::determine the last
last urgent byte::last urgent byte
single-byte or multiple-byte::single-byte or multiple-byte
multiple-byte in options::multiple-byte in options
maximum segment size::maximum segment size
windows scale factor::windows scale factor
factor and timestamp::factor and timestamp
end of options::end of options
operation for padding::operation for padding
end of option::end of option
size which defines::size which defines
chunk of data::chunk of data
taking the header::taking the header
header field out::header field out
window scale factor::window scale factor
scale factor defines::scale factor defines
timestamp is filled::timestamp is filled
filled by source::filled by source
source when segment::source when segment
leaves and destination::leaves and destination
echo reply field::echo reply field
source to determine::source to determine
determine the round::determine the round
essential because suppose::essential because suppose
sender is expecting::sender is expecting
expecting an acknowledgement::expecting an acknowledgement
make an estimate::make an estimate
estimate is based::estimate is based
round trip delay::round trip delay
maximum segment life::maximum segment life
sender would sort::sender would sort
packet is lost::packet is lost
acknowledgement is lost::acknowledgement is lost
case the packet::case the packet
calculation as udp::calculation as udp
udp and inclusion::udp and inclusion
inclusion is mandatory::inclusion is mandatory
mandatory with tcp::mandatory with tcp
setting up connections::setting up connections
connections and resetting::connections and resetting
resetting of connections::resetting of connections
path because remember::path because remember
remember that tcp::remember that tcp
tcp is working::tcp is working
underlying actual service::underlying actual service
connectionless but tcp::connectionless but tcp
thing that means::thing that means
means all good::means all good
things about connection::things about connection
orientation like segments::orientation like segments
arriving in order::arriving in order
order and reliability::order and reliability
present but tcp::present but tcp
connectionless ip network::connectionless ip network
established from source::established from source
path unlike traditional::path unlike traditional
unlike traditional strict::unlike traditional strict
traditional strict connection-oriented::traditional strict connection-oriented
strict connection-oriented service::strict connection-oriented service
establishment four actions::establishment four actions
actions are required::actions are required
required before sending::required before sending
actions first host::actions first host
host a sends::host a sends
sends a segment::sends a segment
establish a connection::establish a connection
segment to announce::segment to announce
connection and includes::connection and includes
includes its initialization::includes its initialization
host b sends::host b sends
segment to acknowledge::segment to acknowledge
acknowledge the request::acknowledge the request
back an acknowledgement::back an acknowledgement
segment that includes::segment that includes
includes the initialization::includes the initialization
means the host::means the host
request of host::request of host
send the initialization::send the initialization
initialization information meaning::initialization information meaning
meaning the sequence::meaning the sequence
synchronization the sender::synchronization the sender
sends a synchronization::sends a synchronization
request to set::request to set
number the receiver::number the receiver
receiver then sends::receiver then sends
sends a syn::sends a syn
syn the sequence::syn the sequence
consumes the first::consumes the first
first sequence number::first sequence number
acknowledging it sends::acknowledging it sends
sends the value::sends the value
receiver is expecting::receiver is expecting
tcp is sitting::tcp is sitting
send the syn::send the syn
sends the sequence::sends the sequence
sends sequence number1200::sends sequence number1200
number1200 it replies::number1200 it replies
transmission can start::transmission can start
termination to terminate::termination to terminate
terminate the connection::terminate the connection
connection either party::connection either party
party can close::party can close
close the connection::close the connection
connection if connection::connection if connection
connection is terminated::connection is terminated
data can continue::data can continue
full loop-less communication::full loop-less communication
communication which means::communication which means
side is sending::side is sending
side the acknowledgement::side the acknowledgement
acknowledgement is coming::acknowledgement is coming
initialize the termination::initialize the termination
required to close::required to close
segment announcing connection::segment announcing connection
announcing connection termination::announcing connection termination
termination this means::termination this means
means it sends::means it sends
sends the segments::sends the segments
segments containing fin::segments containing fin
acknowledging the request::acknowledging the request
connection is closed::connection is closed
finished sending data::finished sending data
data it sends::data it sends
segment indicating connection::segment indicating connection
indicating connection closure::indicating connection closure
sort of allowing::sort of allowing
allowing the termination::allowing the termination
termination of connection::termination of connection
things to send::things to send
indicating a connection::indicating a connection
connection closure host::connection closure host
host a acknowledges::host a acknowledges
diagram showing four-way::diagram showing four-way
showing four-way handshaking::showing four-way handshaking
receives the fin::receives the fin
back an ack::back an ack
side is sequence::side is sequence
sends a fin::sends a fin
closing the connection::closing the connection
network is unreliable::network is unreliable
fin is missed::fin is missed
send the fin::send the fin
send this fin::send this fin
sending this acknowledgement::sending this acknowledgement
acknowledgement the sender::acknowledgement the sender
sender will assume::sender will assume
send any ack::send any ack
ack any longer::ack any longer
closed that means::closed that means
means no connection::means no connection
connection is active::connection is active
active or pending::active or pending
server is waiting::server is waiting
incoming call syn::incoming call syn
call syn rcvd::call syn rcvd
syn rcvd means::syn rcvd means
made a request::made a request
request has arrived::request has arrived
waiting for acknowledgement::waiting for acknowledgement
client has started::client has started
started to open::started to open
open a connection::open a connection
connection established means::connection established means
means a connection::means a connection
normal data transfer::normal data transfer
data transfer state::data transfer state
transfer state fin::transfer state fin
state fin wait::state fin wait
finished fin wait::finished fin wait
server has agreed::server has agreed
agreed to release::agreed to release
release timed wait::release timed wait
timed wait means::timed wait means
wait means wait::wait means wait
wait for pending::wait for pending
msl wait state::msl wait state
last pending packet::last pending packet
sort of estimated::sort of estimated
trip time closing::trip time closing
means both sides::means both sides
close simultaneously close::close simultaneously close
simultaneously close wait::simultaneously close wait
close wait means::close wait means
wait means server::wait means server
server has initiated::server has initiated
initiated a release::initiated a release
ack is waiting::ack is waiting
syn or syn::syn or syn
syn plus ack::syn plus ack
ack it receives::ack it receives
syn rcvd state::syn rcvd state
state as explained::state as explained
reaches the established::reaches the established
two way communication::two way communication
control is implemented::control is implemented
implemented by tcp::implemented by tcp
tcp this defines::tcp this defines
defines the amount::defines the amount
amount of data::amount of data
data a source::data a source
source can send::source can send
send before receiving::send before receiving
receiving an acknowledgment::receiving an acknowledgment
buffer of data::buffer of data
data to limit::data to limit
limit the amount::limit the amount
traditional sliding window::traditional sliding window
protocol a sliding::protocol a sliding
transmission more efficient::transmission more efficient
control the flow::control the flow
flow of data::flow of data
overwhelmed with data::overwhelmed with data
number or packets::number or packets
packets or segments::packets or segments
sending these bytes::sending these bytes
case the sender::case the sender
acknowledgment comes suppose::acknowledgment comes suppose
buffer the destination::buffer the destination
consuming the data::consuming the data
suppose the size::suppose the size
receiver window size::receiver window size
size the point::size the point
sender may send::sender may send
lot of packets::lot of packets
sender will push::sender will push
lot of data::lot of data
make the congestion::make the congestion
reach that side::reach that side
buffer has overflowed::buffer has overflowed
router has dropped::router has dropped
dropped some packets::dropped some packets
size the window::size the window
effective data transfer::effective data transfer
transfer is taking::transfer is taking
sending two segments::sending two segments
segments the sender::segments the sender
acknowledgment comes back::acknowledgment comes back
acknowledgement the packet::acknowledgement the packet
packet will reach::packet will reach
acknowledgment will travel::acknowledgment will travel
delay now suppose::delay now suppose
suppose the window::suppose the window
sending each segment::sending each segment
byte you wait::byte you wait
minimum possible rate::minimum possible rate
rate at witch::rate at witch
witch the sender::witch the sender
sender is sending::sender is sending
large a large::large a large
data transfer speed::data transfer speed
byte its waiting::byte its waiting
send any acknowledgement::send any acknowledgement
sender will realize::sender will realize
gap is closed::gap is closed
put in proper::put in proper
sequence because sequence::sequence because sequence
protocol is reliable::protocol is reliable
acknowledged the window::acknowledged the window
sending some packets::sending some packets
network is congested::network is congested
reducing the window::reducing the window
control the congestion::control the congestion
built into tcp::built into tcp
details about congestion::details about congestion
tcp the sender::tcp the sender
sender window size::sender window size
receiver window value::receiver window value
number of empty::number of empty
actual window size::actual window size
send a full::send a full
worth of data::worth of data
increased or decreased::increased or decreased
destination the destination::destination the destination
destination can send::destination can send
send an acknowledgment::send an acknowledgment
transport protocol tcp::transport protocol tcp
protocol tcp delivers::protocol tcp delivers
delivers the entire::delivers the entire
end in order::end in order
order without error::order without error
lost or duplicated::lost or duplicated
duplicated so tcp::duplicated so tcp
tcp provides reliability::tcp provides reliability
reliability using error::reliability using error
things that tcp::things that tcp
detects corrupt segments::detects corrupt segments
detecting lost segments::detecting lost segments
out of order::out of order
detecting duplicated segments::detecting duplicated segments
detected detecting corrupt::detected detecting corrupt
detecting corrupt segments::detecting corrupt segments
correct the error::correct the error
segments is achieved::segments is achieved
number is lost::number is lost
missing detecting segments::missing detecting segments
detect and correct::detect and correct
lost or delayed::lost or delayed
detection is achieved::detection is achieved
acknowledgement and time-out::acknowledgement and time-out
give a time-out::give a time-out
things together offer::things together offer
reliability and error::reliability and error
detection and correction::detection and correction
capability of tcp::capability of tcp
correction when time-out::correction when time-out
time-out counter expires::time-out counter expires
counter expires segment::counter expires segment
segment is considered::segment is considered
corrupted or lost::corrupted or lost
maintain a number::maintain a number
number of timers::number of timers
timers inside tcp::timers inside tcp
lot of work::lot of work
work to give::work to give
give that reliability::give that reliability
unreliable ip service::unreliable ip service
sending a file::sending a file
file transfer protocol::file transfer protocol
transferring a file::transferring a file
bits will make::bits will make
protocols like ftp::protocols like ftp
ftp and actp::ftp and actp
connection and absolute::connection and absolute
absolute error control::absolute error control
nature of communication::nature of communication
bits or bytes::bits or bytes
carrying a voice::carrying a voice
carrying voice communication::carrying voice communication
lost the quality::lost the quality
kind of communication::kind of communication
kinds of network::kinds of network
bits are lost::bits are lost
delay and differing::delay and differing
rate of transmission::rate of transmission
size is large::size is large
large the rate::large the rate
transmit is high::transmit is high
size is small::size is small
small the rate::small the rate
transmit is small::transmit is small
transmission is taking::transmission is taking
varying or takes::varying or takes
takes a lot::takes a lot
acceptable for voice::acceptable for voice
tcp so ftp::tcp so ftp
ftp and http::ftp and http
examples where tcp::examples where tcp
timer and time-waited::timer and time-waited
control a lost::control a lost
lost or discarded::lost or discarded
discarded segment suppose::discarded segment suppose
suppose a segment::suppose a segment
segment is lost::segment is lost
set your retransmission::set your retransmission
immediately the retransmission::immediately the retransmission
retransmission timer starts::retransmission timer starts
window size happened::window size happened
maintaining this retransmission::maintaining this retransmission
timers is timed-out::timers is timed-out
timed-out it means::timed-out it means
retransmit that packet::retransmit that packet
retransmission timer tcp::retransmission timer tcp
timer tcp creates::timer tcp creates
creates a retransmission::creates a retransmission
acknowledgement is received::acknowledgement is received
timer is destroyed::timer is destroyed
segment you start::segment you start
means the acknowledgement::means the acknowledgement
timer is reset::timer is reset
retransmit the retransmitted::retransmit the retransmitted
start the retransmission::start the retransmission
lot of connections::lot of connections
number of people::number of people
server is sort::server is sort
sort of serving::sort of serving
number of tcp::number of tcp
process this belongs::process this belongs
two different networks::two different networks
kind of retransmission::kind of retransmission
timer when tcp::timer when tcp
receives an acknowledgment::receives an acknowledgment
starts a persistence::starts a persistence
persistence timer window::persistence timer window
timer window size::timer window size
sort of wrong::sort of wrong
start a persistence::start a persistence
sends a special::sends a special
sending a packet::sending a packet
send a probe::send a probe
prevents a deadlock::prevents a deadlock
deadlock from occurring::deadlock from occurring
occurring in case::occurring in case
case an acknowledgment::case an acknowledgment
acknowledgment is lost::acknowledgment is lost
timer that prevents::timer that prevents
prevents long idle::prevents long idle
long idle connections::long idle connections
suppose two sides::suppose two sides
sides the connection::sides the connection
closed the connection::closed the connection
sides are idle::sides are idle
connection is setup::connection is setup
communication this keep-alive::communication this keep-alive
disruption in connection::disruption in connection
client it resets::client it resets
resets the timer::resets the timer
timer and starts::timer and starts
starts the countdown::starts the countdown
sends a probe::sends a probe
side is alive::side is alive
action to close::action to close
termination when tcp::termination when tcp
closes a connection::closes a connection
timer times out::timer times out
case the last::case the last
terminated the condition::terminated the condition
condition and stopped::condition and stopped
close our discussion::close our discussion
discussion on tcp::discussion on tcp
variance of tcp::variance of tcp
control the window::control the window
discuss congestion control::discuss congestion control
congestion control lecture::congestion control lecture
modes of operation::modes of operation
unicast that means::unicast that means
means one sender::means one sender
broadcast which means::broadcast which means
receivers that means::receivers that means
group of hosts::group of hosts
multicast communication refers::multicast communication refers
refers to one-to-many::refers to one-to-many
one-to-many or many-to-many::one-to-many or many-to-many
many-to-many communication unicast::many-to-many communication unicast
communication unicast refers::communication unicast refers
implementation of multicast::implementation of multicast
internet individual hosts::internet individual hosts
hosts are configured::hosts are configured
configured as members::configured as members
multicast groups multicasting::multicast groups multicasting
group is identified::group is identified
class d address::class d address
connection-oriented that means::connection-oriented that means
packet by packet::packet by packet
multicasting good day::multicasting good day
good day today::good day today
network and multicasting::network and multicasting
topic for today::topic for today
multicast communications refers::multicast communications refers
one-to-many and many-to-many::one-to-many and many-to-many
identified by class::identified by class
thing to understand::thing to understand
source multiple channels::source multiple channels
channels are prairie::channels are prairie
multicast the class::multicast the class
beginning four bits::beginning four bits
applications like news::applications like news
stock and weather::stock and weather
interested in stock::interested in stock
group of people::group of people
group of stock::group of stock
feed should reach::feed should reach
reach these people::reach these people
people then multicasting::people then multicasting
applied in distance::applied in distance
material is distributed::material is distributed
distributed to distance::distributed to distance
group of learners::group of learners
areas where multicast::areas where multicast
applied pointcast-type push::applied pointcast-type push
pointcast-type push applications::pointcast-type push applications
applications where push::applications where push
source of information::source of information
interesting and important::interesting and important
application of multicasting::application of multicasting
multicasting that means::multicasting that means
stream should reach::stream should reach
reach the entire::reach the entire
distributed interactive gaming::distributed interactive gaming
gaming or simulations::gaming or simulations
people are participating::people are participating
email distribution lists::email distribution lists
distribution ; software::distribution ; software
web cache updates::web cache updates
database replication multicasting::database replication multicasting
number of applications::number of applications
complex the technology::complex the technology
configured for multicasting::configured for multicasting
takes a toll::takes a toll
routers respectively suppose::routers respectively suppose
group of machines::group of machines
decide to join::decide to join
join the multicast::join the multicast
members may choose::members may choose
choose to leave::choose to leave
group membership protocol::group membership protocol
question of multicast::question of multicast
internet group management::internet group management
group management protocol::group management protocol
runs between host::runs between host
immediately neighboring multicast::immediately neighboring multicast
neighboring multicast routers::neighboring multicast routers
multicast routing protocol::multicast routing protocol
routing protocol running::routing protocol running
hosts and host::hosts and host
host to router::host to router
types of multicast::types of multicast
multicasting only supports::multicasting only supports
udp as higher::udp as higher
multicast tcp udp::multicast tcp udp
connectionless datagram oriented::connectionless datagram oriented
datagram oriented protocol::datagram oriented protocol
protocol and tcp::protocol and tcp
tcp is connection-oriented::tcp is connection-oriented
transport layer protocol::transport layer protocol
network layer takes::network layer takes
layer takes part::layer takes part
normal routing protocol::normal routing protocol
multicast part takes::multicast part takes
part takes care::part takes care
multicasting routing protocol::multicasting routing protocol
tcp ip stack::tcp ip stack
udp to send::udp to send
send multicast messages::send multicast messages
multicast supporting routers::multicast supporting routers
groups are identified::groups are identified
class d addresses::class d addresses
precisely every network::precisely every network
network interface card::network interface card
join or leave::join or leave
leave multicast group::leave multicast group
multicast group dynamically::multicast group dynamically
group which requires::group which requires
requires access control::requires access control
protocol stands today::protocol stands today
multicasting in actual::multicasting in actual
actual practice constitutes::actual practice constitutes
amount of traffic::amount of traffic
potential true multicasting::potential true multicasting
multicasting and simulated::multicasting and simulated
multicasting but actual::multicasting but actual
actual true multicasting::actual true multicasting
true multicasting traffic::true multicasting traffic
configured to support::configured to support
group is transmitted::group is transmitted
range of addresses::range of addresses
means the last::means the last
first range inclusive::first range inclusive
inclusive is reserved::inclusive is reserved
low level topology::low level topology
level topology discovery::level topology discovery
discovery or maintenance::discovery or maintenance
forward any multicast::forward any multicast
datagram with destination::datagram with destination
examples of special::examples of special
special reserved class::special reserved class
224.0.0.1 really means::224.0.0.1 really means
means all systems::means all systems
means all routers::means all routers
network time protocol::network time protocol
multicast address translation::multicast address translation
translation you remember::translation you remember
case of unicast::case of unicast
data link layer::data link layer
out the hardware::out the hardware
out the ethernet::out the ethernet
ethernet or mac::ethernet or mac
address is put::address is put
number of machines::number of machines
ethernet mac addresses::ethernet mac addresses
addresses a multicast::addresses a multicast
address is identified::address is identified
identified by setting::identified by setting
setting the lowest::setting the lowest
cards can filter::cards can filter
filter multicast addresses::filter multicast addresses
addresses in hardware::addresses in hardware
done in hardware::done in hardware
hardware then filtering::hardware then filtering
done in software::done in software
accept the packet::accept the packet
mapping is done::mapping is done
bits and suppose::bits and suppose
first four bits::first four bits
address comes straight::address comes straight
bits are matched::bits are matched
first three bytes::first three bytes
bytes are reserved::bytes are reserved
reserved for multicast::reserved for multicast
part comes straight::part comes straight
igmp is defined::igmp is defined
defined in rfc::defined in rfc
single ethernet segment::single ethernet segment
router is connected::router is connected
segment so igmp::segment so igmp
local multicasting router::local multicasting router
joining a multicast::joining a multicast
membership and send::membership and send
send membership reports::send membership reports
router will send::router will send
host will respond::host will respond
segment and number::segment and number
router and igmp::router and igmp
igmp general query::igmp general query
query that igmp::query that igmp
igmp group address::igmp group address
address is set::address is set
groups and destination::groups and destination
destination ip address::destination ip address
address is broadcast::address is broadcast
subnet you remember::subnet you remember
224.0.0.1 is broadcast::224.0.0.1 is broadcast
subnet and source::subnet and source
source ip address::source ip address
routers ip address::routers ip address
groups specific query::groups specific query
case the igmp::case the igmp
give this query::give this query
group and source::group and source
individual host sends::individual host sends
sends the reports::sends the reports
igmp membership report::igmp membership report
report therefore igmp::report therefore igmp
address and source::address and source
address is equal::address is equal
equal to host::equal to host
igmp message format::igmp message format
version and type::version and type
32-bit group address::32-bit group address
group address type::group address type
host group address::host group address
address on query::address on query
address being reported::address being reported
sends an igmp::sends an igmp
joins a multicast::joins a multicast
host can join::host can join
join a report::join a report
leave a group::leave a group
traffic any longer::traffic any longer
leave that group::leave that group
kind of aging::kind of aging
group membership list::group membership list
router would maintain::router would maintain
leaves a group::leaves a group
router regularly multicasts::router regularly multicasts
multicasts an igmp::multicasts an igmp
fails to respond::fails to respond
left the group::left the group
igmp host reports::igmp host reports
sends a report::sends a report
joins a group::joins a group
leaves the group::leaves the group
address is group::address is group
address is host::address is host
host ip address::host ip address
broadcast and source::broadcast and source
routers sends query::routers sends query
query at regular::query at regular
group queries send::group queries send
out each interface::out each interface
responds by sending::responds by sending
sending one response::sending one response
part is unused::part is unused
network with multiple::network with multiple
multiple multicast routers::multiple multicast routers
routers that means::routers that means
responds to igmp::responds to igmp
smallest ip address::smallest ip address
network one router::network one router
router forwards multicast::router forwards multicast
forwards multicast packets::forwards multicast packets
two routers connected::two routers connected
smaller ip address::smaller ip address
topic of multicast::topic of multicast
special in multicast::special in multicast
support for multicast::support for multicast
sort of simulate::sort of simulate
multicasting by doing::multicasting by doing
doing repeated unicast::doing repeated unicast
sends the message::sends the message
successive unicast done::successive unicast done
packets are packed::packets are packed
packed into hops::packed into hops
impose some kind::impose some kind
kind of access::kind of access
support for multicasting::support for multicasting
source will send::source will send
router this router::router this router
duplicate the packet::duplicate the packet
link this packet::link this packet
number of packets::number of packets
minimized a lot::minimized a lot
number of users::number of users
hop count kind::hop count kind
sense for packets::sense for packets
requires two things::requires two things
send multiple copies::send multiple copies
router is receiving::router is receiving
sort of users::sort of users
packet is supposed::packet is supposed
forwards multiple copies::forwards multiple copies
packet this capability::packet this capability
multicast routing algorithm::multicast routing algorithm
routing algorithm builds::routing algorithm builds
builds a spanning::builds a spanning
spanning tree dynamically::spanning tree dynamically
found this tree::found this tree
similar to forming::similar to forming
forming a routing::forming a routing
tree for unicast::tree for unicast
differences this tree::differences this tree
run ip multicasting::run ip multicasting
routers are supporting::routers are supporting
goal of multicast::goal of multicast
build a spanning::build a spanning
graph theoretical problem::graph theoretical problem
embed the tree::embed the tree
multicast group members::multicast group members
members are connected::members are connected
form a tree::form a tree
shortest path tree::shortest path tree
tree or source-based::tree or source-based
build a tree::build a tree
tree that minimizes::tree that minimizes
minimizes the path::minimizes the path
central news service::central news service
kind of financial::kind of financial
financial advisory service::financial advisory service
group of stocks::group of stocks
stocks this company::stocks this company
making a source-based::making a source-based
source-based tree makes::source-based tree makes
makes quite lot::makes quite lot
lot of sense::lot of sense
tree per sender::tree per sender
members are interacting::members are interacting
sender is easy::sender is easy
easy to compute::easy to compute
routing is happening::routing is happening
happening through osp::happening through osp
multicast is sitting::multicast is sitting
unicast routing table::unicast routing table
compute the tree::compute the tree
tree is built::tree is built
reverse shortest path::reverse shortest path
path or reverse::path or reverse
reverse path forwarding::reverse path forwarding
minimizes the total::minimizes the total
sense to make::sense to make
make the tree::make the tree
minimum total cost::minimum total cost
cost of edges::cost of edges
kind of solution::kind of solution
difficult to compute::difficult to compute
keeping one source-based::keeping one source-based
expensive to compute::expensive to compute
selects one router::selects one router
router as core::router as core
build a shortest::build a shortest
rendezvous point depends::rendezvous point depends
good your core::good your core
core based tree::core based tree
choose the core::choose the core
chosen the core::chosen the core
details of reverse::details of reverse
build the tree::build the tree
builds a shortest::builds a shortest
fashion by taking::fashion by taking
advantage of unicast::advantage of unicast
unicast routing tables::unicast routing tables
source this tree::source this tree
selects its upstream::selects its upstream
neighbor for forwarding::neighbor for forwarding
forwarding unicast packets::forwarding unicast packets
minimize the path::minimize the path
sending a message::sending a message
two different potential::two different potential
two different recipients::two different recipients
source of multicast::source of multicast
idea of reverse::idea of reverse
forward a packet::forward a packet
set up multicast::set up multicast
multicast routing table::multicast routing table
table in accordance::table in accordance
accordance from receiver::accordance from receiver
receiver to sender::receiver to sender
source and rpf::source and rpf
routing table entries::routing table entries
entries for source-based::entries for source-based
arrives the router::arrives the router
forward one copy::forward one copy
reach some members::reach some members
building a source-based::building a source-based
set routing tables::set routing tables
packets that arrive::packets that arrive
arrive on rpf::arrive on rpf
non-rpf interfaces receiver::non-rpf interfaces receiver
interfaces receiver drops::interfaces receiver drops
receiver drops packets::receiver drops packets
packets not received::packets not received
received on rpf::received on rpf
interfaces these routers::interfaces these routers
require the capability::require the capability
capability of forwarding::capability of forwarding
forwarding multiple copies::forwarding multiple copies
bearing this address::bearing this address
