v.srinivasa rajkumar educational::v.srinivasa rajkumar educational
machine its architecture::machine its architecture
features of pascal::features of pascal
features of list::features of list
language is implemented::language is implemented
learn new languages::learn new languages
design new languages::design new languages
understand the underlying::understand the underlying
incorporate new features::incorporate new features
languages we sort::languages we sort
sort of classify::sort of classify
classify what kinds::classify what kinds
kinds of languages::kinds of languages
level and low::level and low
low level languages::low level languages
languages some machine::languages some machine
architecture or organization::architecture or organization
class of imperative::class of imperative
last forty years::last forty years
first digital computers::first digital computers
functional or applicative::functional or applicative
impure functional languages::impure functional languages
imperative language means::imperative language means
state to change::state to change
change a state::change a state
commands change states::commands change states
classification of languages::classification of languages
terms of high::terms of high
level languages imperative::level languages imperative
languages imperative functional::languages imperative functional
imperative functional logic::imperative functional logic
languages by features::languages by features
purely sequential languages::purely sequential languages
single instruction multiple::single instruction multiple
instruction multiple data::instruction multiple data
data you execute::data you execute
things in parallel::things in parallel
language you assume::language you assume
synchronous lock step::synchronous lock step
lock step fashion::lock step fashion
sequential languages vectorized::sequential languages vectorized
vectorized or made::vectorized or made
case fortan ninety::case fortan ninety
fortan ninety vector::fortan ninety vector
ninety vector processing::ninety vector processing
vector processing fortan::vector processing fortan
lye geographically distributed::lye geographically distributed
operate to achieve::operate to achieve
parallel and distributed::parallel and distributed
program is split::program is split
number of units::number of units
units of computation::units of computation
computation that number::computation that number
riding one process::riding one process
process per processor::process per processor
case of concurrent::case of concurrent
taking the notion::taking the notion
processes the notion::processes the notion
process gets delinked::process gets delinked
modules separate compilation::modules separate compilation
object oriented languages::object oriented languages
add extra features::add extra features
features on top::features on top
lets so lets::lets so lets
history of programming::history of programming
first high level::first high level
speak were fortan::speak were fortan
meant for scientific::meant for scientific
meant for business::meant for business
full english sentences::full english sentences
sentences to represent::sentences to represent
computations it made::computations it made
made the first::made the first
first division distinction::first division distinction
distinction between data::distinction between data
data and program::data and program
amount of data::amount of data
programs whereas fortan::programs whereas fortan
fortan was meant::fortan was meant
meant for minimal::meant for minimal
languages gave rise::languages gave rise
class of languages::class of languages
algol like languages::algol like languages
report the algol::report the algol
algol sixty report::algol sixty report
sixty report fortan::sixty report fortan
offshoots in basic::offshoots in basic
scientific and business::scientific and business
business commercial processing::business commercial processing
features some thing::features some thing
thing like modula::thing like modula
modula and ada::modula and ada
ada from simula::ada from simula
oriented languages starting::oriented languages starting
starting from small::starting from small
small talk eighty::small talk eighty
derived from bcpl::derived from bcpl
bcpl by modification::bcpl by modification
object oriented ness::object oriented ness
pedigree of languages::pedigree of languages
basically the first::basically the first
first functional language::first functional language
language was lisp::language was lisp
derived various versions::derived various versions
versions maclisp scheme::versions maclisp scheme
maclisp scheme commonlisp::maclisp scheme commonlisp
commonlisp um maclisp::commonlisp um maclisp
maclisp and commonlisp::maclisp and commonlisp
versions of lisp::versions of lisp
cleaned up version::cleaned up version
version of lisp::version of lisp
imparrallel with lisp::imparrallel with lisp
meant for lisp::meant for lisp
meant for string::meant for string
processing which allowed::processing which allowed
allowed efficient pattern::allowed efficient pattern
efficient pattern matching::efficient pattern matching
pattern matching constructs::pattern matching constructs
emphasis on tied::emphasis on tied
languages ok transcriptor::languages ok transcriptor
languages by dr.s.arun::languages by dr.s.arun
dr.s.arun kumar deptt::dr.s.arun kumar deptt
comp.sc & engg::comp.sc & engg
engg i.i.t delhi::engg i.i.t delhi
i.i.t delhi lecture::i.i.t delhi lecture
high level programming::high level programming
level programming languages::level programming languages
kinds imperative functional::kinds imperative functional
important and logic::important and logic
imperative and functional::imperative and functional
respects so imperative::respects so imperative
state based languages::state based languages
languages where state::languages where state
value based languages::value based languages
languages much closer::languages much closer
notion of variables::notion of variables
variables in functional::variables in functional
variables in mathematics::variables in mathematics
quantities in physics::quantities in physics
quantities like acceleration::quantities like acceleration
based languages means::based languages means
trimaxes though unlike::trimaxes though unlike
talking of continuous::talking of continuous
talking of discrete::talking of discrete
case of functional::case of functional
languages the notion::languages the notion
variable in mathematics::variable in mathematics
mathematics which means::mathematics which means
history of languages::history of languages
hundreds and hundreds::hundreds and hundreds
hundreds of programming::hundreds of programming
impossible to study::impossible to study
fifties and sixties::fifties and sixties
sixties a large::sixties a large
represent the basic::represent the basic
basic control structures::basic control structures
structures the exploration::structures the exploration
basic data structures::basic data structures
structures in order::structures in order
order to obtain::order to obtain
obtain clean readable::obtain clean readable
clean readable programs::clean readable programs
programs efficiently implement::programs efficiently implement
implement able programs::implement able programs
programs um efficient::programs um efficient
efficient running programs::efficient running programs
things were fixed::things were fixed
seventies and eighties::seventies and eighties
exploration of programming::exploration of programming
extension of pascal::extension of pascal
pascal most important::pascal most important
ada it combines::ada it combines
combines the module::combines the module
features of modula::features of modula
modula and adds::modula and adds
adds more features::adds more features
features like concurrency::features like concurrency
important feature exception::important feature exception
feature exception handling::feature exception handling
exception handling generics::exception handling generics
generics or polymorphism::generics or polymorphism
module based language::module based language
extensions of pascal::extensions of pascal
sense the basic::sense the basic
basic contrl structure::basic contrl structure
contrl structure remain::contrl structure remain
extend the language::extend the language
arrow mark denote::arrow mark denote
denote the decendency::denote the decendency
decendency in terms::decendency in terms
terms of similarity::terms of similarity
talk eighty control::talk eighty control
eighty control structures::eighty control structures
structures or syntax::structures or syntax
simula the basic::simula the basic
basic extensional feature::basic extensional feature
feature of simula::feature of simula
notion of class::notion of class
class or objects::class or objects
language of sequential::language of sequential
sixties were sequential::sixties were sequential
biolarge their exploration::biolarge their exploration
features what kind::features what kind
state of art::state of art
art large amount::art large amount
amount of work::amount of work
basic functional languages::basic functional languages
early functional languages::early functional languages
structures and controls::structures and controls
controls and control::controls and control
structures then languages::structures then languages
caml actually signify::caml actually signify
signify the addition::signify the addition
features in fact::features in fact
fact the syntax::fact the syntax
lisp like language::lisp like language
state based language::state based language
introduction of modules::introduction of modules
introduction of exceptional::introduction of exceptional
handling the introduction::handling the introduction
powerful data abstraction::powerful data abstraction
data abstraction mechanisms::data abstraction mechanisms
lisp is lisp::lisp is lisp
study the basic::study the basic
features of languages::features of languages
thing like language::thing like language
design a language::design a language
language what kinds::language what kinds
kinds of issues::kinds of issues
pascal has taught::pascal has taught
set of unified::set of unified
unified unified primitives::unified unified primitives
primitives for expressing::primitives for expressing
thing about pascal::thing about pascal
sixty like languages::sixty like languages
algorithms are written::algorithms are written
dialect of pascal::dialect of pascal
pascal or algol::pascal or algol
language easily learnable::language easily learnable
people are taught::people are taught
absolutely clear syntax::absolutely clear syntax
highly readable programs::highly readable programs
readability that means::readability that means
means by readability::means by readability
readability it means::readability it means
read the source::read the source
piece of software::piece of software
fixed what hsppens::fixed what hsppens
pieces of software::pieces of software
software have bugs::software have bugs
years and years::years and years
years after means::years after means
bug is detected::bug is detected
understand the algorithms::understand the algorithms
source code contained::source code contained
write the person::write the person
person or persons::person or persons
written this software::written this software
maintain the software::maintain the software
software in general::software in general
years the software::years the software
extend the software::extend the software
adding new features::adding new features
features by adding::features by adding
reason so part::reason so part
detection and correction::detection and correction
correction of bugs::correction of bugs
software as years::software as years
team that wrote::team that wrote
wrote the software::wrote the software
language should provide::language should provide
support for abstraction::support for abstraction
abstraction the basic::abstraction the basic
basic abstraction mechanisms::basic abstraction mechanisms
abstractions or things::abstractions or things
things like procedures::things like procedures
functions in pascal::functions in pascal
loops loop statements::loops loop statements
kinds of control::kinds of control
kind of data::kind of data
abstraction that pascal::abstraction that pascal
abstraction that means::abstraction that means
sequence of elements::sequence of elements
single logical unit::single logical unit
unit um records::unit um records
records variant records::records variant records
abstraction data abstraction::abstraction data abstraction
sets of data::sets of data
unit so combinations::unit so combinations
combinations of operations::combinations of operations
operations and data::operations and data
provide the notion::provide the notion
generic or polymorphism::generic or polymorphism
variables and change::variables and change
types and instantiate::types and instantiate
kinds of algorithms::kinds of algorithms
stacks it doesn::stacks it doesn
doesn t matter::doesn t matter
stack of integers::stack of integers
integers a stack::integers a stack
stack of characters::stack of characters
characters a stack::characters a stack
stack of reals::stack of reals
reals a stack::reals a stack
complicated data element::complicated data element
record of things::record of things
things or stacks::things or stacks
stacks of arrays::stacks of arrays
arrays of things::arrays of things
things the basic::things the basic
operation on stacks::operation on stacks
pop push checking::pop push checking
checking for emptiness::checking for emptiness
repeat the code::repeat the code
piece of code::piece of code
code carefully written::code carefully written
carefully written verified::carefully written verified
tested and instantiate::tested and instantiate
instantiate the types::instantiate the types
kinds of stacks::kinds of stacks
kinds of operations::kinds of operations
important modern language::important modern language
modern language design::modern language design
language design issue::language design issue
verify your programs::verify your programs
support for verification::support for verification
provability of programs::provability of programs
necessarily machine based::necessarily machine based
machine based provability::machine based provability
possibly hand based::possibly hand based
hand based provability::hand based provability
user interactive provability::user interactive provability
effort was expended::effort was expended
case of fortan::case of fortan
fortan and cobol::fortan and cobol
compilers was portability::compilers was portability
portability ok nowadays::portability ok nowadays
portability what means::portability what means
architecture or machine::architecture or machine
independent or machine::independent or machine
language other machines::language other machines
machine independence means::machine independence means
basic instruction set::basic instruction set
users um convenience::users um convenience
convenience the abstractions::convenience the abstractions
machine instructions sets::machine instructions sets
register based architectures::register based architectures
architectures or stack::architectures or stack
stack based architectures::stack based architectures
design the language::design the language
specific or machine::specific or machine
move the entire::move the entire
amount of effort::amount of effort
archi certain machine::archi certain machine
machine specific details::machine specific details
move an entire::move an entire
entire language implementation::entire language implementation
alter of portability::alter of portability
portability um ease::portability um ease
implementation the availability::implementation the availability
availability of ready::availability of ready
algorithms for implementing::algorithms for implementing
implementing the language::implementing the language
low level primitives::low level primitives
run very fast::run very fast
common clear syntax::common clear syntax
clear syntax common::clear syntax common
syntax common clear::syntax common clear
common clear semantics::common clear semantics
construct each construct::construct each construct
notion of semantics::notion of semantics
run time efficient::run time efficient
efficient by run::efficient by run
implementation which means::implementation which means
compile time efficiency::compile time efficiency
efficiency how fast::efficiency how fast
compile programs written::compile programs written
excellent runtime support::excellent runtime support
program should run::program should run
run as fast::run as fast
language should run::language should run
fast yeah ease::fast yeah ease
ease of maintenance::ease of maintenance
maintenance of programs::maintenance of programs
translation and support::translation and support
support for extensibility::support for extensibility
language of pascal::language of pascal
add new features::add new features
support for subsets::support for subsets
programming languages books::programming languages books
language should support::language should support
set of operations::set of operations
operations or features::operations or features
kernel and larger::kernel and larger
larger large sort::larger large sort
sort of extensions::sort of extensions
language of ada::language of ada
affects the portability::affects the portability
portability of programs::portability of programs
language for embedded::language for embedded
real time things::real time things
things with systems::things with systems
systems that control::systems that control
sensors various kinds::sensors various kinds
kinds of hardware::kinds of hardware
hardware ballistic missiles::hardware ballistic missiles
affect their portability::affect their portability
move the program::move the program
support that feature::support that feature
don t run::don t run
language gets affected::language gets affected
hundred and hundreds::hundred and hundreds
theory of programming::theory of programming
languages is based::languages is based
highly simplified natural::highly simplified natural
simplified natural language::simplified natural language
grammar certain things::grammar certain things
things can occur::things can occur
arbitrarily form sentences::arbitrarily form sentences
languages all natural::languages all natural
languages one thing::languages one thing
category called predicates::category called predicates
words a predicate::words a predicate
sentence in natural::sentence in natural
predicate no complete::predicate no complete
subject well subject::subject well subject
phrases which means::phrases which means
qualified by object::qualified by object
object um adjectives::object um adjectives
grammatically correct sentence::grammatically correct sentence
firstly various clauses::firstly various clauses
clauses each clause::clauses each clause
greatly simplified form::greatly simplified form
parts of speech::parts of speech
specifies various parts::specifies various parts
language and parse::language and parse
similarities with natural::similarities with natural
inspired by natural::inspired by natural
construction of artificial::construction of artificial
lot of problems::lot of problems
study of pascal::study of pascal
iso standard pascal::iso standard pascal
standard pascal reference::standard pascal reference
pascal reference manual::pascal reference manual
manual by janson::manual by janson
manual really specifies::manual really specifies
expected by executing::expected by executing
executing that syntactic::executing that syntactic
notion of meanings::notion of meanings
unlike natural language::unlike natural language
language the notion::language the notion
notion of meaning::notion of meaning
machine independent fashion::machine independent fashion
implemented in general::implemented in general
talking about meanings::talking about meanings
restrictions on memory::restrictions on memory
restrictions on computational::restrictions on computational
number of operations::number of operations
assume a sort::assume a sort
semantic the programming::semantic the programming
entity quite independent::entity quite independent
ideal environment form::ideal environment form
actual reference manual::actual reference manual
manual of pascal::manual of pascal
manual is independent::manual is independent
specific machine paragraphs::specific machine paragraphs
implementation dependent features::implementation dependent features
general the semantics::general the semantics
follow the syntax::follow the syntax
syntax the syntax::syntax the syntax
compound forming operations::compound forming operations
compound um connective::compound um connective
form um compound::form um compound
sentences from simpler::sentences from simpler
meanings in general::meanings in general
gave the meanings::gave the meanings
give the meanings::give the meanings
connectives in terms::connectives in terms
set of programs::set of programs
express the effects::express the effects
effects of connectives::effects of connectives
predict the behavior::predict the behavior
follow this discipline::follow this discipline
kind of semantics::kind of semantics
programs which means::programs which means
derive the meaning::derive the meaning
elements are formed::elements are formed
derivable in terms::derivable in terms
connectives which formed::connectives which formed
formed a complex::formed a complex
set of allowable::set of allowable
set theory notation::set theory notation
right the set::right the set
give a finitary::give a finitary
structure in terms::structure in terms
syntax the finitary::syntax the finitary
expressed in terms::expressed in terms
ideal environment don::ideal environment don
don t worry::don t worry
worry about machine::worry about machine
machine constraints don::machine constraints don
worry about architecture::worry about architecture
portable ok don::portable ok don
worry about word::worry about word
word lengths don::word lengths don
worry about limits::worry about limits
worry about memory::worry about memory
memory constraints assume::memory constraints assume
constraints assume infinite::constraints assume infinite
assume infinite amount::assume infinite amount
amount of memory::amount of memory
implementation dependant features::implementation dependant features
associate a disc::associate a disc
variable in side::variable in side
side the program::side the program
implementation dependant feature::implementation dependant feature
operating system interface::operating system interface
language all kinds::language all kinds
kinds of machine::kinds of machine
machine and architectural::machine and architectural
maxint the maximum::maxint the maximum
maximum integer allowable::maximum integer allowable
typically implementation dependant::typically implementation dependant
depends upon word::depends upon word
length or byte::length or byte
bytes for representing::bytes for representing
representing a integers::representing a integers
machine to machine::machine to machine
machine the amount::machine the amount
program can vary::program can vary
stack based machine::stack based machine
register based machine::register based machine
things are implement::things are implement
things are implementation::things are implementation
implementation in order::implementation in order
order to make::order to make
make the language::make the language
out the basic::out the basic
algorithms of implementation::algorithms of implementation
architectural specific nature::architectural specific nature
machine dependant features::machine dependant features
features the actual::features the actual
input and output::input and output
file based terminal::file based terminal
based terminal based::based terminal based
terminal based sensor::terminal based sensor
based sensor based::based sensor based
interface also includes::interface also includes
includes the file::includes the file
interact in general::interact in general
done about errors::done about errors
written by errors::written by errors
introduced by users::introduced by users
programs so errors::programs so errors
syntactic nature errors::syntactic nature errors
recovering from errors::recovering from errors
out the program::out the program
reduces the amount::reduces the amount
amount of compilation::amount of compilation
decent error reporting::decent error reporting
error reporting mechanism::error reporting mechanism
mechanism some error::mechanism some error
error handling mechanism::error handling mechanism
thing but errors::thing but errors
attitudes different implementations::attitudes different implementations
notion of syntax::notion of syntax
separately the semantic::separately the semantic
semantic and pragmatic::semantic and pragmatic
possibly an abstract::possibly an abstract
numbers um numbers::numbers um numbers
twentieth century attitude::twentieth century attitude
attitude towards numbers::attitude towards numbers
form of numerals::form of numerals
ways of representing::ways of representing
hundred and twenty::hundred and twenty
twenty six written::twenty six written
written in hexadecimal::written in hexadecimal
roman representation differs::roman representation differs
representation of numbers::representation of numbers
base the character::base the character
representations yeah positional::representations yeah positional
representations i hope::representations i hope
hope everybody understands::hope everybody understands
units tens hundreds::units tens hundreds
sixteen s sixty::sixteen s sixty
roman same number::roman same number
thing fundamental difference::thing fundamental difference
disregard the change::disregard the change
change in character::change in character
set what makes::set what makes
cases the grammar::cases the grammar
identical the character::identical the character
enlarge the grammar::enlarge the grammar
sense the form::sense the form
form of representation::form of representation
represent compound forms::represent compound forms
forms from simpler::forms from simpler
roman and arabic::roman and arabic
call a complete::call a complete
dictionary of words::dictionary of words
language is formed::language is formed
fixed character set::fixed character set
identify certain strings::identify certain strings
strings of characters::strings of characters
characters as words::characters as words
words as allowable::words as allowable
words as part::words as part
constitutes that states::constitutes that states
languages like konkani::languages like konkani
konkani or sindi::konkani or sindi
collection of words::collection of words
words ok sindi::words ok sindi
people some people::people some people
write in devanagri::write in devanagri
devanagri some people::devanagri some people
script the arabic::script the arabic
devanagri can communicate::devanagri can communicate
person who doesn::person who doesn
script by speech::script by speech
communicate by letter::communicate by letter
words whose actual::words whose actual
form might depend::form might depend
ways of combining::ways of combining
language to form::language to form
set really depends::set really depends
kind of codes::kind of codes
frame the character::frame the character
kinds of differences::kinds of differences
tuple of objects::tuple of objects
set of non::set of non
terminals really specifies::terminals really specifies
specifies various kinds::specifies various kinds
kinds of grammatical::kinds of grammatical
speech noun phrase::speech noun phrase
noun phrase verb::noun phrase verb
phrase verb phrase::phrase verb phrase
verb phrase adjectival::verb phrase adjectival
phrase adjectival phrase::phrase adjectival phrase
adjectival phrase noun::adjectival phrase noun
phrase noun clause::phrase noun clause
noun clause subject::noun clause subject
clause subject clauses::clause subject clauses
subject clauses subject::subject clauses subject
clauses subject phrases::clauses subject phrases
subject phrases object::subject phrases object
phrases object clauses::phrases object clauses
object clauses predicates::object clauses predicates
set n consists::set n consists
basic grammatical categories::basic grammatical categories
sets are finite::sets are finite
symbols or terminal::symbols or terminal
collection of formation::collection of formation
represents a grammatical::represents a grammatical
constitutes a sentence::constitutes a sentence
grammar specifying boolean::grammar specifying boolean
categories the grammatical::categories the grammatical
add boolean expression::add boolean expression
symbol any boolean::symbol any boolean
set of boolean::set of boolean
languages are boolean::languages are boolean
fully parenthesized boolean::fully parenthesized boolean
parenthesized boolean expressions::parenthesized boolean expressions
two boolean expression::two boolean expression
form which consists::form which consists
two boolean expressions::two boolean expressions
boolean expressions enclosed::boolean expressions enclosed
enclosed in parenthesis::enclosed in parenthesis
parenthesis and separated::parenthesis and separated
boolean expression enclosed::boolean expression enclosed
simple sentence generation::simple sentence generation
