list from wikipedia::list from wikipedia
linked list approach::linked list approach
comparison of list-processing::comparison of list-processing
list-processing computer languages::list-processing computer languages
bobrow and raphael::bobrow and raphael
appeared in communications::appeared in communications
acm in april::acm in april
operating systems developed::operating systems developed
developed by technical::developed by technical
technical systems consultants::technical systems consultants
originally of west::originally of west
west lafayette indiana::west lafayette indiana
lists as file::lists as file
structures a directory::structures a directory
directory entry pointed::directory entry pointed
file were located::file were located
located by traversing::located by traversing
traversing pointers systems::traversing pointers systems
technique included flex::technique included flex
developed by tsc::developed by tsc
marketed by smoke::marketed by smoke
smoke signal broadcasting::smoke signal broadcasting
broadcasting in california::broadcasting in california
tss operating system::NNP operating system
developed by ibm::developed by ibm
double linked list::double linked list
file system catalog::file system catalog
catalog the directory::catalog the directory
structure was similar::structure was similar
similar to unix::similar to unix
directories and extend::directories and extend
depth basic concepts::depth basic concepts
node the field::node the field
pointer the remaining::pointer the remaining
payload  fields::payload  fields
fields the head::fields the head
node the tail::node the tail
list in lisp::list in lisp
car singly linked::car singly linked
lists contain nodes::lists contain nodes
next  field::next  field
node in line::node in line
line of nodes::line of nodes
linked lists include::linked lists include
lists include insertion::lists include insertion
deletion and traversal::deletion and traversal
node doubly linked::node doubly linked
doubly linked list::doubly linked list
link field pointing::link field pointing
previous  node::previous  node
node a technique::node a technique
single link field::single link field
requires the ability::requires the ability
operations on addresses::operations on addresses
languages multiply linked::languages multiply linked
multiply linked list::multiply linked list
set of data::set of data
date of birth::date of birth
leads to simpler::leads to simpler
separate case circular::separate case circular
case circular linked::case circular linked
make it point::make it point
case the list::case the list
linear a circular::linear a circular
circular doubly linked::circular doubly linked
change that occurs::change that occurs
list is linked::list is linked
list and vice::list and vice
vice versa sentinel::vice versa sentinel
versa sentinel nodes::versa sentinel nodes
dummy  node::dummy  node
first data record::first data record
simplifies and accelerates::simplifies and accelerates
accelerates some list-handling::accelerates some list-handling
last " node::last " node
node empty lists::node empty lists
nodes if sentinel::nodes if sentinel
sentinel nodes hash::sentinel nodes hash
nodes hash linking::nodes hash linking
records are stored::records are stored
array and referenced::array and referenced
data records list::data records list
records list handles::records list handles
node gives access::node gives access
algorithms that manipulate::algorithms that manipulate
manipulate linked lists::manipulate linked lists
lists and return::lists and return
return the handles::return the handles
lists in fact::lists in fact
word " list::word " list
means " list::means " list
handle that consists::handle that consists
first and last::first and last
last nodes combining::last nodes combining
nodes combining alternatives::nodes combining alternatives
lists without sentinels::lists without sentinels
circular singly linked::circular singly linked
lists with sentinels::lists with sentinels
choices in computer::choices in computer
programming and design::programming and design
circumstances a linked::circumstances a linked
linked list data::linked list data
list data structure::list data structure
structure might work::structure might work
common tradeoffs involving::common tradeoffs involving
tradeoffs involving linked::tradeoffs involving linked
involving linked list::involving linked list
linked list structures::linked list structures
list structures linked::list structures linked
structures linked lists::structures linked lists
comparison of list::comparison of list
list data structures::list data structures
data structures linked::data structures linked
structures linked list::structures linked list
linked list array::linked list array
list array dynamic::list array dynamic
array dynamic array::array dynamic array
dynamic array balanced::dynamic array balanced
array balanced tree::array balanced tree
balanced tree random::balanced tree random
tree random access::tree random access
random access list::random access list
access list indexing::access list indexing
element is unknown::element is unknown
updating wasted space::updating wasted space
structure that allocates::structure that allocates
allocates all elements::allocates all elements
number of elements::number of elements
array is exceeded::array is exceeded
expensive operation linked::expensive operation linked
operation linked lists::operation linked lists
advantages over dynamic::advantages over dynamic
dynamic arrays insertion::dynamic arrays insertion
insertion or deletion::insertion or deletion
indexed a pointer::indexed a pointer
array at random::array at random
locations will require::locations will require
require moving half::require moving half
elements on average::elements on average
array in constant::array in constant
marking its slot::marking its slot
fragmentation that impedes::fragmentation that impedes
impedes the performance::impedes the performance
performance of iteration::performance of iteration
arbitrarily many elements::arbitrarily many elements
underlying array data::underlying array data
array data structure::array data structure
reallocate an expensive::reallocate an expensive
memory is fragmented::memory is fragmented
cost of reallocation::cost of reallocation
averaged over insertions::averaged over insertions
due to reallocation::due to reallocation
helps with appending::helps with appending
array s end::array s end
positions still carries::positions still carries
carries prohibitive costs::carries prohibitive costs
prohibitive costs due::prohibitive costs due
due to data::due to data
moving to maintain::moving to maintain
contiguity an array::contiguity an array
elements are removed::elements are removed
resized in order::resized in order
order to avoid::order to avoid
fixed-size array data::fixed-size array data
array data structures::array data structures
constant-time random access::constant-time random access
access to elements::access to elements
elements singly linked::elements singly linked
direction this makes::direction this makes
makes linked lists::makes linked lists
linked lists unsuitable::linked lists unsuitable
unsuitable for applications::unsuitable for applications
heapsort sequential access::heapsort sequential access
access on arrays::access on arrays
arrays and dynamic::arrays and dynamic
locality of referenceand::locality of referenceand
referenceand thus make::referenceand thus make
caching another disadvantage::caching another disadvantage
disadvantage of linked::disadvantage of linked
extra storage needed::extra storage needed
needed for references::needed for references
makes them impractical::makes them impractical
impractical for lists::impractical for lists
lists of small::lists of small
small data items::small data items
characters or boolean::characters or boolean
links may exceed::links may exceed
data in contrast::data in contrast
dynamic array requires::dynamic array requires
amount of control::amount of control
problem generally solved::problem generally solved
solved using memory::solved using memory
pools some hybrid::pools some hybrid
combine the advantages::combine the advantages
two representations unrolled::two representations unrolled
representations unrolled linked::representations unrolled linked
unrolled linked lists::unrolled linked lists
store several elements::store several elements
increasing cache performance::increasing cache performance
performance while decreasing::performance while decreasing
decreasing memory overhead::decreasing memory overhead
overhead for references::overhead for references
references cdr coding::references cdr coding
actual data referenced::actual data referenced
record a good::record a good
highlights the pros::highlights the pros
pros and cons::pros and cons
arrays vs linked::arrays vs linked
implementing a program::implementing a program
program that resolves::program that resolves
resolves the josephus::resolves the josephus
problem the josephus::problem the josephus
method that works::method that works
group of people::group of people
circle n times::circle n times
reach the nth::reach the nth
close the circle::close the circle
circle then count::circle then count
times and repeat::times and repeat
repeat the process::repeat the process
person is left::person is left
left that person::left that person
wins the election::wins the election
election this shows::election this shows
shows the strengths::shows the strengths
strengths and weaknesses::strengths and weaknesses
view the people::view the people
people as connected::people as connected
easily the linked::easily the linked
rearrange the links::rearrange the links
poor at finding::poor at finding
person to remove::person to remove
finds that person::finds that person
person a dynamic::person a dynamic
poor at deleting::poor at deleting
remove one node::remove one node
easy to find::easy to find
find the nth::find the nth
array the list::array the list
list ranking problem::list ranking problem
ranking problem concerns::ranking problem concerns
concerns the efficient::concerns the efficient
linked list representation::linked list representation
array although trivial::array although trivial
solving this problem::solving this problem
problem by aparallel::problem by aparallel
algorithm is complicated::algorithm is complicated
research a balanced::research a balanced
tree has similar::tree has similar
similar memory access::similar memory access
memory access patterns::memory access patterns
patterns and space::patterns and space
list while permitting::list while permitting
overhead of tree::overhead of tree
manipulations to maintain::manipulations to maintain
maintain balance schemes::maintain balance schemes
balance schemes exist::balance schemes exist
exist for trees::exist for trees
trees or red-black::trees or red-black
trees singly linked::trees singly linked
doubly-linked and circular::doubly-linked and circular
lists have advantages::lists have advantages
advantages over singly-linked::advantages over singly-linked
singly-linked linear lists::singly-linked linear lists
linear lists offer::linear lists offer
offer some advantages::offer some advantages
advantages that make::advantages that make
make them preferable::make them preferable
linked linear list::linked linear list
recursive data structure::recursive data structure
merging two lists::merging two lists
enumerating the elements::enumerating the elements
elements in reverse::elements in reverse
simple recursive algorithms::simple recursive algorithms
solution using iterative::solution using iterative
circularly linked lists::circularly linked lists
generally need extra::generally need extra
complicated base cases::complicated base cases
base cases linear::base cases linear
linear singly linked::linear singly linked
common final portion::common final portion
portion of sub-list::portion of sub-list
two different lists::two different lists
node is added::node is added
persistent data structure::persistent data structure
two different circular::two different circular
singly linked non-circular::singly linked non-circular
linked non-circular lists::linked non-circular lists
proper list ends::proper list ends
denoted by nil::denoted by nil
car and cdr::car and cdr
cdr links point::cdr links point
car or cdr::car or cdr
cdr of anylist::cdr of anylist
anylist the advantages::anylist the advantages
efficiency a circular::efficiency a circular
variables that point::variables that point
cost doubly linked::cost doubly linked
double-linked lists require::double-linked lists require
require more space::require more space
space per node::space per node
easier to manipulate::easier to manipulate
fast and easy::fast and easy
easy sequential access::easy sequential access
insert or delete::insert or delete
delete a node::delete a node
node s address::node s address
node some algorithms::node some algorithms
algorithms require access::algorithms require access
persistent data structures::persistent data structures
structures circularly linked::structures circularly linked
option to represent::option to represent
e.g the corners::e.g the corners
pool of buffers::pool of buffers
released in fifo::released in fifo
set of processes::set of processes
time-shared in round-robin::time-shared in round-robin
node gives easy::node gives easy
applications that require::applications that require
handle the structure::handle the structure
two a circular::two a circular
two circular lists::two circular lists
giving the addresses::giving the addresses
piece the operation::piece the operation
consists in swapping::consists in swapping
swapping the contents::swapping the contents
two nodes applying::two nodes applying
two distinct lists::two distinct lists
distinct lists joins::distinct lists joins
property greatly simplifies::property greatly simplifies
simplifies some algorithms::simplifies some algorithms
algorithms and data::algorithms and data
quad-edge and face-edge::quad-edge and face-edge
face-edge the simplest::face-edge the simplest
empty circular list::empty circular list
thing makes sense::thing makes sense
handle it separately::handle it separately
separately by contrast::separately by contrast
null to denote::null to denote
denote an empty::denote an empty
empty linear list::empty linear list
creates fewer special::creates fewer special
fewer special cases::fewer special cases
cases using sentinel::cases using sentinel
node may simplify::node may simplify
simplify certain list::simplify certain list
previous nodes exist::previous nodes exist
eliminate some end-of-list::eliminate some end-of-list
scanning the list::scanning the list
setting the sentinel::setting the sentinel
sentinel s data::sentinel s data
makes it unnecessary::makes it unnecessary
unnecessary to test::unnecessary to test
test for end-of-list::test for end-of-list
inside the loop::inside the loop
merging two sorted::merging two sorted
two sorted lists::two sorted lists
sentinels have data::sentinels have data
data fields set::data fields set
handling for empty::handling for empty
complicate other operations::complicate other operations
simulate a linear::simulate a linear
complexity by adding::complexity by adding
adding a single::adding a single
single sentinel node::single sentinel node
first data nodes::first data nodes
empty list consists::empty list consists
link the list::link the list
last data node::last data node
list is empty::list is empty
simplify the handling::simplify the handling
doubly linked linear::doubly linked linear
manipulating linked lists::manipulating linked lists
invalidated in previous::invalidated in previous
assignments this makes::assignments this makes
algorithms for inserting::algorithms for inserting
inserting or deleting::inserting or deleting
deleting linked list::deleting linked list
linked list nodes::linked list nodes
nodes somewhat subtle::nodes somewhat subtle
subtle this section::subtle this section
section gives pseudocode::section gives pseudocode
pseudocode for adding::pseudocode for adding
adding or removing::adding or removing
linked lists in-place::linked lists in-place
marker or sentinel::marker or sentinel
number of ways::number of ways
ways linearly linked::ways linearly linked
node data structure::node data structure
empty list record::empty list record
list record node::list record node
data being stored::data being stored
null for last::null for last
node firstnode points::node firstnode points
points to first::points to first
node of list::node of list
list ; null::list ; null
null for empty::null for empty
list is simple::list is simple
list.firstnode while node::list.firstnode while node
node not null::node not null
inserts a node::inserts a node
list the diagram::list the diagram
inserting a node::inserting a node
node and insert::node and insert
insert a node::insert a node
newnode after node::newnode after node
requires a separate::requires a separate
function this requires::function this requires
requires updating firstnode::requires updating firstnode
updating firstnode function::updating firstnode function
firstnode function insertbeginning::firstnode function insertbeginning
node before current::node before current
current first node::current first node
first node newnode.next::first node newnode.next
functions for removing::functions for removing
removing the node::removing the node
removing a node::removing a node
find and remove::find and remove
previous element function::previous element function
element function removeafter::element function removeafter
remove node past::remove node past
node.next.next destroy obsoletenode::node.next.next destroy obsoletenode
destroy obsoletenode function::destroy obsoletenode function
obsoletenode function removebeginning::obsoletenode function removebeginning
remove first node::remove first node
first node obsoletenode::first node obsoletenode
list.firstnode.next point past::list.firstnode.next point past
point past deleted::point past deleted
past deleted node::past deleted node
deleted node destroy::deleted node destroy
node destroy obsoletenode::node destroy obsoletenode
destroy obsoletenode notice::destroy obsoletenode notice
notice that removebeginning::notice that removebeginning
list.firstnode to null::list.firstnode to null
null when removing::null when removing
removing the last::removing the last
nt iterate backwards::nt iterate backwards
insertbefore or removebefore::insertbefore or removebefore
appending one linked::appending one linked
traverse the entire::traverse the entire
entire first list::entire first list
list in order::list in order
order to find::order to find
find the tail::find the tail
two linearly linked::two linearly linked
appending has asymptotic::appending has asymptotic
asymptotic time complexity::asymptotic time complexity
family of languages::family of languages
appending is provided::appending is provided
cases of linked::cases of linked
eliminated by including::eliminated by including
including a dummy::including a dummy
list this ensures::list this ensures
list and renders::list and renders
renders both insertbeginning::renders both insertbeginning
first useful data::first useful data
atlist.firstnode.next circularly linked::atlist.firstnode.next circularly linked
nodes are linked::nodes are linked
null for lists::null for lists
stores a reference::stores a reference
first node elements::first node elements
list and removed::list and removed
front in constant::front in constant
linked both types::linked both types
linked lists benefit::linked lists benefit
ability to traverse::ability to traverse
traverse the full::traverse the full
full list beginning::full list beginning
avoid storing firstnode::avoid storing firstnode
firstnode and lastnode::firstnode and lastnode
variable which points::variable which points
representation significantly simplifies::representation significantly simplifies
significantly simplifies adding::significantly simplifies adding
adding and removing::adding and removing
special case algorithms::special case algorithms
assuming that somenode::assuming that somenode
starting with somenode::starting with somenode
somenode null node::somenode null node
node.next while node::node.next while node
node somenode notice::node somenode notice
test was moved::test was moved
procedure would fail::procedure would fail
node this function::node this function
node " newnode::node " newnode
node " node::node " node
empty function insertafter::empty function insertafter
node = null::node = null
newnode else newnode.next::newnode else newnode.next
append " newnode::append " newnode
newnode to insert::newnode to insert
insert " newnode::insert " newnode
newnode linked lists::newnode linked lists
support any type::support any type
type of reference::type of reference
links by replacing::links by replacing
pointers with array::pointers with array
indices the approach::indices the approach
array of records::array of records
record has integer::record has integer
integer fields indicating::integer fields indicating
indicating the index::indicating the index
linked list record::linked list record
entry in array::entry in array
array integer prev::array integer prev
prev ; previous::prev ; previous
build by creating::build by creating
creating an array::creating an array
variable to store::variable to store
store the index::store the index
first element integer::first element integer
element integer listhead::element integer listhead
integer listhead entry::integer listhead entry
listhead entry records::listhead entry records
links between elements::links between elements
elements are formed::elements are formed
formed by placing::formed by placing
placing the array::placing the array
index next prev::index next prev
prev name balance::prev name balance
notice that entry::notice that entry
list these cells::list these cells
list by creating::list by creating
creating a listfree::creating a listfree
listfree integer variable::listfree integer variable
code would traverse::code would traverse
traverse the list::traverse the list
list and display::list and display
names and account::names and account
.balance print entry::.balance print entry
.next when faced::.next when faced
list is relocatable::list is relocatable
serialized for storage::serialized for storage
storage on disk::storage on disk
disk or transfer::disk or transfer
indexes can occupy::indexes can occupy
significantly less space::significantly less space
architectures * locality::architectures * locality
locality of reference::locality of reference
improved by keeping::improved by keeping
keeping the nodes::keeping the nodes
dynamic memory allocators::dynamic memory allocators
allocators can produce::allocators can produce
produce an excessive::produce an excessive
amount of overhead::amount of overhead
overhead is incurred::overhead is incurred
incurred per node::incurred per node
approach * seizing::approach * seizing
seizing an entry::seizing an entry
array is faster::array is faster
dynamic memory allocation::dynamic memory allocation
allocation typically requires::allocation typically requires
requires a search::requires a search
free memory block::free memory block
size this approach::size this approach
creates and manages::creates and manages
manages a private::manages a private
private memory space::private memory space
nodes this leads::nodes this leads
implementation * growing::implementation * growing
growing a large::growing a large
difficult or impossible::difficult or impossible
linked list node::linked list node
general memory pool::general memory pool
easier * adding::easier * adding
unexpectedly take linear::unexpectedly take linear
memory pool leaves::memory pool leaves
leaves more memory::leaves more memory
list is smaller::list is smaller
smaller than expected::smaller than expected
nodes are freed::nodes are freed
support dynamic memory::support dynamic memory
allocation these disadvantages::allocation these disadvantages
array is created::array is created
created language support::created language support
lisp and scheme::lisp and scheme
linked lists built::linked lists built
lists are constructed::lists are constructed
constructed from nodes::constructed from nodes
consor cons cell::consor cons cell
cell the cons::cell the cons
node although cons::node although cons
build other data::build other data
purpose in languages::purpose in languages
languages that support::languages that support
support abstract data::support abstract data
types or templates::types or templates
linked list adts::linked list adts
adts or templates::adts or templates
building linked lists::building linked lists
built using references::built using references
constructing a linked::constructing a linked
store the data::store the data
store a reference::store a reference
external storage internal::external storage internal
storage internal storage::storage internal storage
advantage of making::advantage of making
data more efficient::data more efficient
requiring less storage::requiring less storage
simplifying memory management::simplifying memory management
data is allocated::data is allocated
allocated and deallocated::allocated and deallocated
structure and machine::structure and machine
list no matter::list no matter
makes it easy::makes it easy
easy to place::easy to place
data in multiple::data in multiple
multiple linked lists::multiple linked lists
lists by including::lists by including
multiple next references::multiple next references
create separate routines::create separate routines
routines to add::routines to add
add or delete::add or delete
delete cells based::delete cells based
create additional linked::create additional linked
additional linked lists::additional linked lists
lists of elements::lists of elements
lists store references::lists store references
data in general::data in general
included in linked::included in linked
generic linked list::generic linked list
linked list package::linked list package
package using external::package using external
sets of data::sets of data
single linked list::single linked list
prev if double::prev if double
location after defining::location after defining
defining separate structures::defining separate structures
type of data::type of data
amount of data::amount of data
structures and contained::structures and contained
structures then generic::structures then generic
structure to perform::structure to perform
perform linked list::perform linked list
linked list type::linked list type
list type operations::list type operations
handle the specific::handle the specific
data this approach::data this approach
message parsing routines::message parsing routines
types of messages::types of messages
messages are received::messages are received
set of fields::set of fields
including a field::including a field
field for message::field for message
type the generic::type the generic
add new messages::add new messages
queue in order::queue in order
order to process::order to process
process the message::process the message
message the message::message the message
message type field::message type field
call the correct::call the correct
routine to process::routine to process
process the specific::process the specific
type of message::type of message
suppose you wanted::suppose you wanted
wanted to create::wanted to create
create a linked::create a linked
list of families::list of families
members using internal::members using internal
firstname ; integer::firstname ; integer
lastname ; string::lastname ; string
address ; member::address ; member
member members head::member members head
head of list::head of list
list of members::list of members
print a complete::print a complete
start at head::start at head
head of families::head of families
afamily null loop::afamily null loop
loop through list::loop through list
families print information::families print information
information about family::information about family
afamily.members get head::afamily.members get head
family s members::family s members
members while amember::members while amember
amember null loop::amember null loop
members print information::members print information
information about member::information about member
afamily.next using external::afamily.next using external
generic link structure::generic link structure
link structure node::link structure node
pointer data generic::pointer data generic
data generic pointer::data generic pointer
pointer for data::pointer for data
data at node::data at node
structure for family::structure for family
family member string::family member string
member string firstname::member string firstname
family string lastname::family string lastname
address ; node::address ; node
node members head::node members head
members using external::members using external
list while famnode::list while famnode
famnode null loop::famnode null loop
famnode.data extract family::famnode.data extract family
family from node::family from node
node print information::node print information
afamily.members get list::afamily.members get list
list of family::list of family
members while memnode::members while memnode
memnode null loop::memnode null loop
memnode.data extract member::memnode.data extract member
member from node::member from node
step is needed::step is needed
needed to extract::needed to extract
extract the record::extract the record
node and cast::node and cast
proper data type::proper data type
family are stored::family are stored
two linked lists::two linked lists
number of families::number of families
member can belong::member can belong
internal storage works::internal storage works
finding a specific::finding a specific
disadvantages of linked::disadvantages of linked
structures in addition::structures in addition
two simple ways::two simple ways
ways to improve::ways to improve
heuristic for decreasing::heuristic for decreasing
decreasing average search::decreasing average search
moves an element::moves an element
found this scheme::found this scheme
handy for creating::handy for creating
creating simple caches::creating simple caches
recently used items::recently used items
quickest to find::quickest to find
efficient external data::efficient external data
external data structure::external data structure
build a red-black::build a red-black
tree or hash::tree or hash
table whose elements::table whose elements
elements are references::elements are references
list nodes multiple::list nodes multiple
multiple such indexes::multiple such indexes
list the disadvantage::list the disadvantage
list with support::list with support
support for fast::support for fast
fast random access::fast random access
access to read::access to read
read or modify::read or modify
modify any element::modify any element
skew binary random::skew binary random
binary random access::binary random access
random access listusing::random access listusing
listusing the skew::listusing the skew
skew binary number::skew binary number
binary number system::binary number system
involves a list::involves a list
list of trees::list of trees
trees with special::trees with special
logarithmic time random::logarithmic time random
element by index::element by index
implemented as persistent::implemented as persistent
viewed as immutable::viewed as immutable
immutable linked lists::immutable linked lists
head and tail::head and tail
extension to random::extension to random
operation that yields::operation that yields
yields the minimum::yields the minimum
list in constant::list in constant
implemented using linked::implemented using linked
restrict the type::restrict the type
type of operations::type of operations
supported the skip::supported the skip
linked list augmented::linked list augmented
augmented with layers::augmented with layers
layers of pointers::layers of pointers
jumping over large::jumping over large
numbers of elements::numbers of elements
layer this process::layer this process
list a binary::list a binary
type of linked::type of linked
nature the result::nature the result
node may include::node may include
include a reference::include a reference
two other linked::two other linked
form the subtrees::form the subtrees
node an unrolled::node an unrolled
unrolled linked list::unrolled linked list
array of data::array of data
values this leads::values this leads
leads to improved::leads to improved
improved cache performance::improved cache performance
elements are contiguous::elements are contiguous
contiguous in memory::contiguous in memory
reduced memory overhead::reduced memory overhead
list a hash::list a hash
lists to store::lists to store
store the chains::store the chains
chains of items::chains of items
items that hash::items that hash
table a heap::table a heap
references from node::references from node
node to node::node to node
previous data indexes::previous data indexes
indexes are calculated::indexes are calculated
data s index::data s index
index a self-organizing::index a self-organizing
self-organizing list rearranges::self-organizing list rearranges
rearranges its nodes::rearranges its nodes
heuristic which reduces::heuristic which reduces
reduces search times::reduces search times
times for data::times for data
retrieval by keeping::retrieval by keeping
keeping commonly accessed::keeping commonly accessed
commonly accessed nodes::commonly accessed nodes
control data required::control data required
number of dimensions::number of dimensions
algorithm design manual::algorithm design manual
linear time searching::linear time searching
complexity trade-offs juniata::complexity trade-offs juniata
trade-offs juniata college::trade-offs juniata college
juniata college spring::juniata college spring
style at goingnative::style at goingnative
channel9.msdn.com from minute::channel9.msdn.com from minute
andrej ; carlsson::andrej ; carlsson
svante ; sedgewick::svante ; sedgewick
robert ; munro::robert ; munro
arrays in optimal::arrays in optimal
department of computer::department of computer
university of waterloo::university of waterloo
william ; topp::william ; topp
purely functional random-access::purely functional random-access
functional random-access lists::functional random-access lists
functional programming languages::functional programming languages
languages and computer::languages and computer
ch20 data structures::ch20 data structures
structures ; id06::structures ; id06
programming with java::programming with java
book big java::book big java
vreda ; black::vreda ; black
eds " linked::eds " linked
dictionary of algorithms::dictionary of algorithms
data structures national::data structures national
structures national institute::structures national institute
institute of standards::institute of standards
standards and technology::standards and technology
2004-12-14 * antonakos::2004-12-14 * antonakos
practical data structures::practical data structures
0-13-280843-9 * collins::0-13-280843-9 * collins
java collections framework::java collections framework
framework new york::framework new york
0-07-282379-8 * cormen::0-07-282379-8 * cormen
introduction to algorithms::introduction to algorithms
algorithms mit press::algorithms mit press
0-262-03293-7 * cormen::0-262-03293-7 * cormen
0-262-03293-7 * green::0-262-03293-7 * green
0-201-89683-4 * newell::0-201-89683-4 * newell
allen ; shaw::allen ; shaw
linked list basics::linked list basics
stanford university retrieved::stanford university retrieved
2009-09-21 * sedgewick::2009-09-21 * sedgewick
0-201-31452-5 * shaffer::0-201-31452-5 * shaffer
introduction to data::introduction to data
structures and algorithm::structures and algorithm
analysis new jersey::analysis new jersey
0-13-660911-2 * wilkes::0-13-660911-2 * wilkes
simple list-processing language::simple list-processing language
review in automatic::review in automatic
90013-8 * wilkes::90013-8 * wilkes
acm national conference::acm national conference
linux kernel linked::linux kernel linked
kernel linked list::kernel linked list
linked list explained::linked list explained
retrieved 2009-09-21 external::retrieved 2009-09-21 external
2009-09-21 external links::2009-09-21 external links
commons has media::commons has media
related to linked::related to linked
lists * description::lists * description
structures * introduction::structures * introduction
introduction to linked::introduction to linked
stanford university computer::stanford university computer
university computer science::university computer science
computer science library::computer science library
library * linked::library * linked
linked list problems::linked list problems
library * open::library * open
