lecture we looked::lecture we looked
answering his question::answering his question
delete san franchiso::delete san franchiso
makes this pointer::makes this pointer
point to point::point to point
done in constant::done in constant
operation in constant::operation in constant
front or delete::front or delete
independent of number::independent of number
right your running::right your running
fairly generic data::fairly generic data
generic data type::generic data type
implement other data::implement other data
implementation of double::implementation of double
make a stack::make a stack
stack or make::stack or make
make a queue::make a queue
implementation to implement::implementation to implement
implement a stack::implement a stack
instance the method::instance the method
top would correspond::top would correspond
correspond to lets::correspond to lets
stack we make::stack we make
make the top::make the top
correspond to return::correspond to return
last element double::last element double
element double ended::element double ended
correspond to inserting::correspond to inserting
method pop correspond::method pop correspond
correspond to deleting::correspond to deleting
ended queue right::ended queue right
sacrificing about last::sacrificing about last
make this correspond::make this correspond
size just corresponds::size just corresponds
empty double ended::empty double ended
queue to implement::queue to implement
front would correspond::front would correspond
front first element::front first element
ended queue enqueue::ended queue enqueue
corresponds to last::corresponds to last
remove the first::remove the first
element of double::element of double
methods two implement::methods two implement
stack or queue::stack or queue
pattern so adaptor::pattern so adaptor
adaptor patterns implement::adaptor patterns implement
implement a class::implement a class
class using methods::class using methods
general adaptor classes::general adaptor classes
adaptor classes good::adaptor classes good
classes good specialized::classes good specialized
good specialized general::good specialized general
specialized general classes::specialized general classes
implement by changing::implement by changing
changing some methods::changing some methods
implement for stack::implement for stack
stack double ended::stack double ended
ended queue implement::ended queue implement
changing sum methods::changing sum methods
queue another application::queue another application
stack we define::stack we define
define an interface::define an interface
interface called stack::interface called stack
array right lets::array right lets
lets that implementation::lets that implementation
contents of array::contents of array
adapt this implementation::adapt this implementation
implementation called integer::implementation called integer
integer array stack::integer array stack
cast the type::cast the type
stack or removing::stack or removing
circularly linked list::circularly linked list
element is pointing::element is pointing
pointers first stack::pointers first stack
first stack head::first stack head
head and tail::head and tail
structure to implement::structure to implement
implement both queues::implement both queues
queues and stack::queues and stack
front the queue::front the queue
queue the rear::queue the rear
makes this front::makes this front
queue this right::queue this right
guy and make::guy and make
element your inserting::element your inserting
node and create::node and create
node and copy::node and copy
copy this element::copy this element
node right make::node right make
copying the reference::copying the reference
queue to remove::queue to remove
removing an element::removing an element
corresponds to removing::corresponds to removing
removing the first::removing the first
first one right::first one right
copy the contents::copy the contents
remove the rome::remove the rome
rome i copy::rome i copy
seatle to rome::seatle to rome
copy here means::copy here means
means just changing::means just changing
changing this reference::changing this reference
discuss about queues::discuss about queues
queues and double::queues and double
sequences so vectors::sequences so vectors
talk about vectors::talk about vectors
talk about positions::talk about positions
talk about list::talk about list
list and general::list and general
arrays and linked::arrays and linked
implement this data::implement this data
vector data type::vector data type
data type vector::data type vector
type vector data::type vector data
type is sequence::type is sequence
elements its support::elements its support
support these methods::support these methods
notion of rank::notion of rank
rank every element::rank every element
sequence of elements::sequence of elements
methods like give::methods like give
element at rank::element at rank
rank here corresponds::rank here corresponds
rank or integers::rank or integers
integers so first::integers so first
element was element::element was element
suppose i asked::suppose i asked
replaces the element::replaces the element
element e insert::element e insert
rank r insert::rank r insert
insert the element::insert the element
rank e rank::rank e rank
delete the element::delete the element
methods yeah note::methods yeah note
rank of student::rank of student
two and departmental::two and departmental
suppose departmental rank::suppose departmental rank
four does department::four does department
natural data type::natural data type
data type structure::data type structure
data structure implement::data structure implement
implement using arrays::implement using arrays
lets see lets::lets see lets
implementation using arrays::implementation using arrays
element with rank::element with rank
rank one element::rank one element
rank two element::rank two element
element as rank::element as rank
rank zero rank::rank zero rank
rank r whats::rank r whats
put an element::put an element
elements once step::elements once step
first n minus::first n minus
doing this first::doing this first
two is moved::two is moved
moved one step::moved one step
element is pushed::element is pushed
thing is increased::thing is increased
right n suppose::right n suppose
stores the size::stores the size
size of vector::size of vector
elements one step::elements one step
right all elements::right all elements
two n minus::two n minus
element at location::element at location
sitting at location::sitting at location
operations worst case::operations worst case
right this implementation::right this implementation
implementation is expensive::implementation is expensive
point of view::point of view
two operations insert::two operations insert
insert certain rank::insert certain rank
remove certain rank::remove certain rank
worst case order::worst case order
operations are faster::operations are faster
array and retrive::array and retrive
retrive theelements sitting::retrive theelements sitting
sitting there replace::sitting there replace
replace at rank::replace at rank
location and replace::location and replace
replace with element::replace with element
right chart shows::right chart shows
methods all elements::methods all elements
elements all methods::elements all methods
methods except inserted::methods except inserted
inserted at rank::inserted at rank
rank and remove::rank and remove
remove at rank::remove at rank
rank take constant::rank take constant
implementing this thing::implementing this thing
right doubly linked::right doubly linked
linked list vector::linked list vector
showing here operation::showing here operation
operation of inserting::operation of inserting
insert at rank::insert at rank
node and put::node and put
understand the process::understand the process
process of insertion::process of insertion
insertion right create::insertion right create
create this node::create this node
insert i make::insert i make
makes a previous::makes a previous
previous pointer point::previous pointer point
pointer would point::pointer would point
insert take order::insert take order
list goes seventeen::list goes seventeen
insert this location::insert this location
code for inserting::code for inserting
assuming the existence::assuming the existence
node at rank::node at rank
rank it tells::rank it tells
insert this node::insert this node
rank two first::rank two first
call this procedure::call this procedure
procedure with rank::procedure with rank
node because earlier::node because earlier
node this node::node this node
previous to rank::previous to rank
set its previous::set its previous
earlier at rank::earlier at rank
rank two right::rank two right
manner i create::manner i create
check the previous::check the previous
doing is assuming::doing is assuming
process of deletion::process of deletion
out the node::out the node
node and update::node and update
manner get rid::manner get rid
code for doing::code for doing
assuming the procedure::assuming the procedure
implement this procedure::implement this procedure
array except march::array except march
list and find::list and find
incrementing my counter::incrementing my counter
reach that rank::reach that rank
two i start::two i start
list has hundred::list has hundred
element rank nineteen::element rank nineteen
point to start::point to start
start and staring::start and staring
form the header::form the header
vector the vector::vector the vector
data type concerned::data type concerned
rank or insert::rank or insert
move the elements::move the elements
insert to delete::insert to delete
right so linked::right so linked
supporting node based::supporting node based
node based operation::node based operation
delete that node::delete that node
node in constant::node in constant
insert the node::insert the node
node after constant::node after constant
delete the insert::delete the insert
insert a node::insert a node
constant time operations::constant time operations
provide we give::provide we give
give it access::give it access
give you access::give you access
implemented my list::implemented my list
pointers and stuff::pointers and stuff
right without knowing::right without knowing
knowing the actual::knowing the actual
thing was done::thing was done
notion of positions::notion of positions
positions abstract data::positions abstract data
intuitively the place::intuitively the place
elements is stored::elements is stored
data structure captures::data structure captures
element is method::element is method
data type position::data type position
call this method::call this method
make much sense::make much sense
node your familiar::node your familiar
familiar with pointers::familiar with pointers
pointer which tells::pointer which tells
pointer is access::pointer is access
access the element::access the element
pointer to update::pointer to update
update or previous::update or previous
fields you don::fields you don
node is implemented::node is implemented
list we don::list we don
type which hides::type which hides
method that element::method that element
notion of position::notion of position
list second element::list second element
position is referring::position is referring
node50.53 second node::node50.53 second node
similarly first position::similarly first position
post \ ition::post \ ition
define a list::define a list
list abstract datatype::list abstract datatype
meythods like size::meythods like size
havce query method::havce query method
hacve a method::hacve a method
method whoich asks::method whoich asks
asks is first::asks is first
positionoif my list::positionoif my list
dfirst will give::dfirst will give
first position last::first position last
last would give::last would give
methods like swap::methods like swap
swaps the contents::swaps the contents
positions it wswaps::positions it wswaps
replace the element::replace the element
replace the elemtn::replace the elemtn
elemtn at position::elemtn at position
first ‘ position::first ‘ position
uinsert the element::uinsert the element
methods in constant::methods in constant
linked luist datastructure::linked luist datastructure
abstract datatype implementation::abstract datatype implementation
double linked luist::double linked luist
linked luist methods::linked luist methods
sequence abstract data::sequence abstract data
vector abstract data::vector abstract data
element list data::element list data
list data type::list data type
combines the vector::combines the vector
vector and list::vector and list
list abstract data::list abstract data
method that listed::method that listed
listed for vector::listed for vector
vector list abstract::vector list abstract
list abstract dat::list abstract dat
abstract dat type::abstract dat type
two additional methods::two additional methods
methods which kind::methods which kind
kind of suite::kind of suite
method at rank::method at rank
correspond this rank::correspond this rank
rank of method::rank of method
identify what rank::identify what rank
method implement rank::method implement rank
position a position::position a position
suppose you gave::suppose you gave
gave me rank::gave me rank
follow this reference::follow this reference
element certain rank::element certain rank
create new position::create new position
position the element::position the element
element would sit::element would sit
move to right::move to right
change the ranks::change the ranks
ranks will change::ranks will change
change rank move::change rank move
rank move step::rank move step
case similarly deleting::case similarly deleting
wanted to delete::wanted to delete
element that position::element that position
delete an element::delete an element
comparison of sequence::comparison of sequence
implement a sequence::implement a sequence
array the picture::array the picture
picture i shown::picture i shown
case of running::case of running
element ceratin rank::element ceratin rank
out the element::out the element
update the pointers::update the pointers
out the rank::out the rank
rank any rank::rank any rank
rank based operation::rank based operation
find the rank::find the rank
out the find::out the find
out the position::out the position
stop our class::stop our class
today where queues::today where queues
queues we learnt::queues we learnt
learnt about double::learnt about double
ise linked list::ise linked list
type the list::type the list
essentially a concretization::essentially a concretization
linked list data::linked list data
list data structure::list data structure
looked at sequence::looked at sequence
sequence data types::sequence data types
data types sequence::data types sequence
types sequence data::types sequence data
types basically inheriting::types basically inheriting
last lecture::last lecture
data type::data type
implement stacks::implement stacks
array today::array today
linked list::linked list
class today::class today
first part::first part
queues linked::queues linked
ended queues::ended queues
stack follow::stack follow
out principle::out principle
first right::first right
right queue::right queue
first element::first element
rear element::rear element
element inserted::element inserted
front rear::front rear
abstract data::abstract data
standard operations::standard operations
queue enqueue::queue enqueue
front element::front element
front end::front end
support method::support method
empty size::empty size
define axioms::define axioms
similar axioms::similar axioms
true suppose::true suppose
extra queue::extra queue
empty queue::empty queue
queue whichever::queue whichever
written front::written front
written queue::written queue
queue queue::queue queue
right lets::right lets
lets check::lets check
out lets::out lets
lets assume::lets assume
remaining queue::remaining queue
cases queue::cases queue
pros doubt::pros doubt
original queue::original queue
lets thing::lets thing
elements queues::elements queues
circular fashion::circular fashion
blue part::blue part
part occupied::part occupied
queue kind::queue kind
element lets::element lets
queue begin::queue begin
anymore elements::anymore elements
started front::started front
begin front::begin front
rear refers::rear refers
empty location::empty location
point starting::point starting
empty right::empty right
adding elements::adding elements
nth element::nth element
full exception::full exception
rear location::rear location
location put::location put
modern require::modern require
sized bracket::sized bracket
method size::method size
correct thing::correct thing
negative right::negative right
worst minus::worst minus
positive quantity::positive quantity
right number::right number
ambiguity recall::ambiguity recall
return empty::return empty
queue empty::queue empty
element done::element done
front index::front index
fixed size::fixed size
maximum size::maximum size
size queue::size queue
idea maximum::idea maximum
last class::last class
list assume::list assume
blinked list::blinked list
nodes list::nodes list
list implement::list implement
element remove::element remove
removing note::removing note
queue removal::queue removal
queue dequeue::queue dequeue
head point::head point
element head::element head
node connected::node connected
easy right::easy right
dequeue operation::dequeue operation
manner remove::manner remove
element enqueue::element enqueue
element recall::element recall
recall enqueue::recall enqueue
rear queue::rear queue
null right::null right
previous node::previous node
removing removing::removing removing
entire list::entire list
expensive operation::expensive operation
queue data::queue data
ended queue::ended queue
support insert::support insert
delete operations::delete operations
first insert::first insert
last remove::last remove
last insert::last insert
queue remove::queue remove
queue ofcourse::queue ofcourse
element operations::element operations
good idea::good idea
good solution::good solution
double double::double double
double ended::double ended
previous pointer::previous pointer
sentinel nodes::sentinel nodes
previous port::previous port
previous point::previous point
point trailer::point trailer
trailer nodes::trailer nodes
list header::list header
nodes dummy::nodes dummy
dummy nodes::dummy nodes
data inside::data inside
san franchiso::san franchiso
pointer point::pointer point
operations understand::operations understand
front insert::front insert
end delete::end delete
generic data::generic data
data types::data types
method top::method top
stack correspond::stack correspond
last element::last element
method push::method push
method pop::method pop
pop correspond::pop correspond
queue right::queue right
last year::last year
empty corresponds::empty corresponds
empty double::empty double
enqueue insert::enqueue insert
rear corresponds::rear corresponds
dequeue implementation::dequeue implementation
adaptor pattern::adaptor pattern
adaptor patterns::adaptor patterns
patterns implement::patterns implement
general adaptor::general adaptor
adaptor classes::adaptor classes
general classes::general classes
queue implement::queue implement
changing sum::changing sum
sum methods::sum methods
implement stack::implement stack
array stack::array stack
stack implemented::stack implemented
arbitrary objects::arbitrary objects
integer array::integer array
integer objects::integer objects
data structures::data structures
stack head::stack head
circular list::circular list
data structure::data structure
queue makes::queue makes
rear right::rear right
straight forward::straight forward
node make::node make
node copying::node copying
element removing::element removing
element corresponds::element corresponds
lets remove::lets remove
node copy::node copy
general sequence::general sequence
linked lists::linked lists
vector data::vector data
type vector::type vector
fourth element::fourth element
element rank::element rank
instance lets::instance lets
departmental rank::departmental rank
suppose departmental::suppose departmental
department change::department change
department rank::department rank
natural data::natural data
type structure::type structure
structure implement::structure implement
arrays lets::arrays lets
moving step::moving step
finally element::finally element
suppose stores::suppose stores
elements starting::elements starting
operations worst::operations worst
worst case::worst case
operations insert::operations insert
rank remove::rank remove
case order::case order
rth location::rth location
retrive theelements::retrive theelements
theelements sitting::theelements sitting
right chart::right chart
chart shows::chart shows
list vector::list vector
element insert::element insert
make point::make point
node makes::node makes
rank seventeen::rank seventeen
seventeen position::seventeen position
procedure node::procedure node
rank rank::rank rank
previous field::previous field
doing don::doing don
doing showing::doing showing
original list::original list
previous pointers::previous pointers
java code::java code
rank tells::rank tells
nodes sitting::nodes sitting
small improvement::small improvement
hundred elements::hundred elements
rank nineteen::rank nineteen
staring form::staring form
type concerned::type concerned
require order::require order
first case::first case
element correspond::element correspond
supporting node::supporting node
node based::node based
based operation::based operation
node delete::node delete
operations provide::operations provide
delete right::delete right
things information::things information
actual implementation::actual implementation
positions abstract::positions abstract
structure captures::structure captures
method element::method element
type position::type position
element sitting::element sitting
previous fields::previous fields
element element::element element
first position::first position
list abstract::list abstract
abstract datatype::abstract datatype
positions ruight::positions ruight
abtstract datatype::abtstract datatype
generic meythods::generic meythods
havce query::havce query
query method::query method
first positionoif::first positionoif
last position::last position
excessive methods::excessive methods
lsat position::lsat position
update methods::update methods
swap elemts::swap elemts
elemtsn sitting::elemtsn sitting
linked luist::linked luist
luist datastructure::luist datastructure
datatype implementation::datatype implementation
asbstract datatype::asbstract datatype
luist methods::luist methods
efficient implement::efficient implement
sequence abstract::sequence abstract
vector abstract::vector abstract
element list::element list
list data::list data
multiple inheritance::multiple inheritance
vector list::vector list
abstract dat::abstract dat
dat type::dat type
additional methods::additional methods
suite connect::suite connect
rank return::rank return
position correspond::position correspond
array refers::array refers
rank corresponds::rank corresponds
method implement::method implement
implement rank::implement rank
procedure position::procedure position
element store::element store
case newyork::case newyork
cross reference::cross reference
change rank::change rank
rank move::rank move
move step::move step
sequence operations::sequence operations
implement sequence::implement sequence
array implementation::array implementation
element ceratin::element ceratin
ceratin rank::ceratin rank
rank figure::rank figure
rank based::rank based
rank find::rank find
learnt today::learnt today
sequence data::sequence data
types sequence::types sequence
last::last
lecture::lecture
looked::looked
stacks::stacks
data::data
type::type
implement::implement
array::array
today::today
queues::queues
linked::linked
list::list
part::part
class::class
sequences::sequences
first::first
double::double
ended::ended
queue::queue
differ::differ
stack::stack
recall::recall
follow::follow
out::out
principle::principle
element::element
inserted::inserted
removed::removed
right::right
hand::hand
joins::joins
early::early
earlier::earlier
processed::processed
familiar::familiar
elements::elements
instance::instance
notion::notion
rear::rear
remove::remove
sitting::sitting
front::front
guilty::guilty
insert::insert
end::end
abstract::abstract
define::define
methods::methods
standard::standard
operations::operations
create::create
method::method
enqueue::enqueue
add::add
dequeue::dequeue
doesn::doesn
tells::tells
support::support
size::size
empty::empty
return::return
true::true
false::false
axioms::axioms
case::case
similar::similar
understand::understand
suppose::suppose
extra::extra
obtained::obtained
call::call
similarly::similarly
enqueued::enqueued
means::means
added::added
two::two
coming::coming
whichever::whichever
written::written
defined::defined
thing::thing
operation::operation
result::result
procedure::procedure
lets::lets
check::check
assume::assume
initially::initially
remaining::remaining
left::left
cases::cases
pros::pros
doubt::doubt
dequeued::dequeued
original::original
started::started
circular::circular
fashion::fashion
larger::larger
allocate::allocate
moving::moving
variables::variables
index::index
referring::referring
position::position
refers::refers
location::location
blue::blue
occupied::occupied
reached::reached
place::place
deleting::deleting
effect::effect
kind::kind
drift::drift
stage::stage
implies::implies
essentially::essentially
deleted::deleted
minus::minus
begin::begin
accurate::accurate
completely::completely
statement::statement
inserting::inserting
anymore::anymore
space::space
start::start
doing::doing
rap::rap
setting::setting
happen::happen
point::point
previous::previous
starting::starting
reaches::reaches
equation::equation
equals::equals
full::full
removing::removing
didn::didn
increment::increment
incremented::incremented
adding::adding
move::move
step::step
pointing::pointing
nth::nth
ambiguity::ambiguity
resolve::resolve
manner::manner
problem::problem
don::don
ensure::ensure
declare::declare
code::code
pseudo::pseudo
number::number
stop::stop
exception::exception
put::put
modern::modern
require::require
indices::indices
wanted::wanted
mod::mod
sized::sized
bracket::bracket
returns::returns
value::value
negative::negative
correct::correct
things::things
quantity::quantity
positive::positive
worst::worst
confused::confused
raise::raise
done::done
null::null
clear::clear
questions::questions
disadvantage::disadvantage
fixed::fixed
knew::knew
maximum::maximum
idea::idea
increases::increases
allotted::allotted
implementation::implementation
blinked::blinked
nodes::nodes
pointers::pointers
basically::basically
referred::referred
tail::tail
node::node
question::question
note::note
permit::permit
directly::directly
change::change
pointer::pointer
accessing::accessing
removal::removal
head::head
making::making
delete::delete
easily::easily
connected::connected
make::make
easy::easy
modified::modified
update::update
discuss::discuss
difficult::difficult
constant::constant
access::access
beginning::beginning
throw::throw
entire::entire
expensive::expensive
worth::worth
concern::concern
introduce::introduce
whats::whats
ends::ends
ofcourse::ofcourse
singly::singly
good::good
repeatedly::repeatedly
solution::solution
doubly::doubly
sentinel::sentinel
minute::minute
trail::trail
port::port
set::set
trailer::trailer
applied::applied
header::header
dummy::dummy
inside::inside
dare::dare
mark::mark
answering::answering
san::san
franchiso::franchiso
makes::makes
shown::shown
independent::independent
running::running
depend::depend
fairly::fairly
generic::generic
types::types
top::top
correspond::correspond
push::push
pop::pop
sacrificing::sacrificing
year::year
corresponds::corresponds
give::give
adaptor::adaptor
pattern::pattern
patterns::patterns
general::general
classes::classes
specialized::specialized
applications::applications
application::application
changing::changing
sum::sum
interface::interface
implemented::implemented
contents::contents
arbitrary::arbitrary
objects::objects
adapt::adapt
integer::integer
suitably::suitably
cast::cast
pushing::pushing
structures::structures
circularly::circularly
simple::simple
points::points
structure::structure
guy::guy
straight::straight
forward::forward
created::created
copy::copy
copying::copying
costly::costly
reference::reference
rome::rome
seatle::seatle
quickly::quickly
vectors::vectors
talk::talk
positions::positions
sequence::sequence
arrays::arrays
lists::lists
vector::vector
rank::rank
eleven::eleven
thirteen::thirteen
nineteen::nineteen
fourth::fourth
integers::integers
asked::asked
replaces::replaces
great::great
student::student
departmental::departmental
four::four
department::department
natural::natural
shift::shift
loop::loop
moved::moved
finally::finally
pushed::pushed
increased::increased
stores::stores
shifting::shifting
posi::posi
order::order
view::view
faster::faster
rth::rth
retrive::retrive
theelements::theelements
replace::replace
chart::chart
shows::shows
complexity::complexity
implementing::implementing
showing::showing
process::process
insertion::insertion
issues::issues
find::find
seventeen::seventeen
java::java
assuming::assuming
existence::existence
finding::finding
shortly::shortly
field::field
intimated::intimated
slides::slides
web::web
show::show
deletion::deletion
rid::rid
write::write
march::march
incrementing::incrementing
counter::counter
reach::reach
small::small
improvement::improvement
hundred::hundred
staring::staring
form::form
concerned::concerned
usen::usen
supporting::supporting
based::based
efficient::efficient
provide::provide
mention::mention
sense::sense
telling::telling
stuff::stuff
hide::hide
information::information
knowing::knowing
actual::actual
implementations::implementations
intuitively::intuitively
stored::stored
captures::captures
object::object
situated::situated
fields::fields
implementer::implementer
hides::hides
details::details
related::related
node50.53::node50.53
post::post
ition::ition
datatype::datatype
ruight::ruight
abtstract::abtstract
meythods::meythods
havce::havce
query::query
hacve::hacve
whoich::whoich
asks::asks
positionoif::positionoif
excessive::excessive
dfirst::dfirst
lsat::lsat
geive::geive
postion::postion
swap::swap
elemts::elemts
key::key
swaps::swaps
elemtsn::elemtsn
wswaps::wswaps
elemtn::elemtn
uinsert::uinsert
onya::onya
luist::luist
datastructure::datastructure
caprture::caprture
yuou::yuou
asbstract::asbstract
linear::linear
talked::talked
combines::combines
inherits::inherits
interfaces::interfaces
multiple::multiple
inheritance::inheritance
listed::listed
dat::dat
additional::additional
suite::suite
connect::connect
identify::identify
determine::determine
gave::gave
store::store
newyork::newyork
cross::cross
sit::sit
ranks::ranks
leave::leave
exercise::exercise
comparison::comparison
picture::picture
previously::previously
ceratin::ceratin
zap::zap
context::context
figure::figure
learnt::learnt
ise::ise
concretization::concretization
inheriting::inheriting
