keyphrase	tfidf	Frequency Occurance Ratio	cuewords	Contiguous Occurance Ratio	dispersion	Phrase Size	localspan	cscore	keyword
books and the material	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
chairs there people	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
projection	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
slices	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics book book	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
bit width	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
convert this representation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
ninety	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
sort of texture	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
unit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
projects or programming assignments	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
arms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
call	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
viewing transformations viewing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
things like shadows	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
award	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
emphasized in ninety	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
pixar pixar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
inserting the camera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
virtually created	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
skin change	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
give	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
involve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
issues of moments	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
assignments if you learn	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
end	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
clubbed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
turn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
bottom and random	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
model and put	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
specific the viewing out	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
gate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
engineering part	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
earlier	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
modeling right so curves	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
lab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
mesh	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	False
remember that the output	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
meaningful	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics shading	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
attempt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
effective	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
observe if physical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
perform the animation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
addressing the issues	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
order	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
operations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
affected resolution	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
find in engineering	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
deform	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
keyboard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
instance tooth	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
devices involve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
geometry of the object	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
differently	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
pixel right this basically	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
combination of computer vision	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
virtually	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
eventually	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
affected	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
interdisciplinary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
effects	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
ninety eighty	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
shadows	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
render this object	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
eighties particularly late ninety	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
animation of this character	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
schemes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
multiple images	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
quality of rendering	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
principles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
character right moving	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
objects which in turn	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
largely on the acquition	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
resolution of this frame	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
late seventies	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
phosphorous coating	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
content	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
reader	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
medicine	0.0	0.916666666667	0.0	3.17114565042	0.0	1	0.0	0.0	False
gridder	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics basically	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
eighties particularly late	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
continuity criteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
notion of transformation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
instances protein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
models of structures	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
determined by the number	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
enormous	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
created	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
days	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
special effect	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
render	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
fact started	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
power minus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
interaction scientific	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
analog converter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
transformation to that model	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
illustrate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
toy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
thirty percent	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
pit planes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
similarly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
top	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
lots of stimulations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
bits i assigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126797000058	False
percentage	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
processes with pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
proof reader	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
shading of an object	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
showed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
bits	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
geometry of object	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
enabled	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
rate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
final	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
project	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
scan wise display	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
historical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
enables	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
minus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
fashion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
rendering process	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
collection of point	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
talking	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
manner	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
contents	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
ray	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
kalra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
materials	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
transformation in terms means	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
reconstruction of parts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
object	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
regular	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
random access	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
karthick.d proof reader	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
transcriptor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
biographics meaning	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
bit planes in terms	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
log eventing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
out of the camera	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
talk about shading	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
medical	0.0	0.916666666667	0.0	3.17114565042	0.0	1	0.0	0.0	False
points	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
notion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
incorporate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
random	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
gross level of body	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
scientific visualization virtual reality	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
colors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
augmented reality multimedia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
interface which takes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
form okay in slices	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
situations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
camera moment	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
normality right visualize	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
virtual reality augmented reality	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
continuity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
dynamics objects	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
stop	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
perceive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
based on exams	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
inside volumetric representation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
interlaced means	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
assigned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
devices involve certain techniques	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
bad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
laws of physics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126797000058	False
human	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
reference	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
connections or other functional	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
scan wise	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
decided	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
result	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
viewing specification	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
techniques	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
capacity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
input devices what kind	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
lots	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
data in digital form	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
preserve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
terms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
nature	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
projects or programming	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
intensity values	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
volumetric representation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
modeling	0.0	3.66666666667	1.0	20.017915935	0.0	1	0.0	0.0	False
linkage	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
irregular	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
basically methods	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
rasterisation process first	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
pixels so the array	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
generated animations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
first in ninety	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
envelope of the object	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
film which was tin	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
conference	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
broadening	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
virtual parts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
instance studying the rasterisation	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
definition of a function	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
union	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
virtual reality	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
cleanation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
interest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
basic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
instance a face	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
application in education	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
computer vision and computer	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
animation company	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
apply an appropriate transformation	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
project called visible	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
gross level	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
cleanation okay so similarly	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
terms means	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
made the difference	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
fact started depending	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
aid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
introductory	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
larger to the size	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
told you that output	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
cylinder	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
coordinate system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
process of moment	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
displayed wise	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
mouse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
computer graphics	0.0	6.25	0.0	38.9301168156	0.00991294487533	1	1.0	1.0	True
perform	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
held first	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
thousand worth words	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
view which is defined	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
completely determine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
perform this projection	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
fairly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
add functional	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
study computer graphics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
register which earlier	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
hand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
illumination of the object	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
notion of sampling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
animations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
prescribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
give you the motion	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
collection of grid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
programs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
vision graphics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
contact	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
methods which are representation	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
assembling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
number of pixels	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
stimulations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
completely computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
envelope of this character	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
identify	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
observe if physical log	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
texture differences	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
thousand onwards	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
visualization	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
volumetric	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
elaborated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
character	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
half is decided	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
level of body	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
toy by pixar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
bit register so depending	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
moments and dynamics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126797000058	False
stimulate this through computer	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
gave	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
reverse order	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
biographics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
store to manipulate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
visible	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
basic and fundamental	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
specific	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
access display	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
displayed wise these days	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
computer generated animations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
applications of computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
trends continued	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
deal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
raster graphics basically	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
graphics workstation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
deflection	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
fundamental principles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
dense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
book book	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
buffer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
human body	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
planes in terms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
meanings	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
level of body structure	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
reconstruction of this room	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
issue of viewing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
manipulate to interrogate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
sampling of this point	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
process of rasterization	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
device gets completely	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
real person	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
dynamics of other parts	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
slot j monday wednesday	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
minor exams	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
